PhraseNumber,Manx,English,Notes
8a. ,"Easht lesh dagh cleaysh, eisht jean briwnys "," Listen with each ear, then do judgment (see The Body).",
,,70. — Weather Wisdom.,
176,Yn chiuney smoo erbee geay jiass sniessey j'ee , The greater the calm the nearer the south wind.,
177,"Cha daink lesh y gheay, nagh ragh lesh yn ushtey "," Nothing came with the wind, that would not go with the water (see Water).",
178,"My ta'n ghrian jiarg tra girree eh,","If the sun is red when he rises,",
,Foddee shiu jerkal rish fliaghey ,You may expect rain (see The Sun).,
179,Ta eayst Jy-sarn 'sy Vayrnt dyliooar ayns shiaght bleeaney , A Saturday's moon in March is enough in seven years (see Moon and Seasons).,
180,Sheeu kishan dy yoan Mayrnt mayll bleeaney Vannin , A peck of March dust is worth a year's rent of [the Isle of] Man (see Seasons and National).,
181,"Laa'l Breeshey bane,","A white St. Bridget's Day (February 1),",
,Dy chooilley yeeig lane,Every ditch full,
,Dy ghoo ny dy vane ,Of black or of white (see Country Objects and Holy Days).,
182,"Choud as hig y scell-greinney stiagh Laa'l Breeshey, hig y sniaghtey my jig Laa Boaldyn ", As long as the sunbeam comes in on St. Bridget's Day (February 1) the snow will come before May Day (see Holy Days).,
183,Foddee fastyr grianagh ve ec moghrey bodjalagh , A sunny evening may follow a cloudy morning.,
184,"Laa'l Paul ghorrinagh gheayee,","St. Paul's Day (January 25) tempestuous and windy,",
,Ghenney er y theihll as baase mooar sleih;,Scarcity in the world and great mortality;,
,"Laa'l Paul aalin as glen,","St. Paul's Day fine and clear,",
,Palchey er y theihll dy arroo as meinn ,Plenty in the world of corn and meal (see Agriculture and Holy Days).,
185,"Giare sheear, liauyr shiar "," Short west, long east.",
186,"Ny three geayghyn s'feayrey dennee Fion Mc Cooil,","The three coldest winds that Fion McCooill felt,",
,"Geay henneu as geay huill,","Wind from a thaw and wind from holes,",
,As geay fo ny shiauihll ,And wind from under the sails (see Ships and Persons).,
187,"Ta'n Vayrnt chionney, as yn nah vee fanney "," March tightens, and the next month skins (see Seasons).",
188,"Cha jean un ghollan-geayee sourey,","One swallow will not make summer,",
,Ny un chellagh-keylley geurey ,Nor one woodcock winter (see Birds and Seasons).,
189,Lane crou cabbyl dy ushtey Laa'l Eoin feeu mayl Vannin , A horse-shoe full of water on St. John's Day (July 5) is worth the rent of [the Isle of] Man (seeHoly Days and National).,
190,"Tra heidys Avril bing e chayrn,","When April shall shrilly blow his horn,",
,'Sy theihll vees palchey traagh as oarn ,In the world will be plenty of hay and barley (see Agriculture and Seasons).,
191,Ayns brishey jeh'n eayst ta mee er vakin moghrey grouw cur lesh fastyr aalin , In a break (change) of the moon I have seen a gloomy morning bring a fine evening.,
158a.,"Share craght ve 'sy cheer, na mee ny mannan cheet stiagh meein ", Better slaughter be in the country than the month of the kid (March) come in gently (see War).,
168a.,"Ollick vog, rhullic vea "," A wet Christmas, a rich churchyard (see Churchand Seasons).",
,"*Laa feailley fliaghee, as cagh buinn traagh "," A wet holiday, and one mowing hay (see Agriculture).",
,"*Ny nee yn rio gymmyrkey guiy roish yn Ollick, cha nymmyrkey e thunnag lurg yn Ollick "," If the frost will bear a goose before Christmas, it will not bear a duck after Christmas (see Birds and Seasons).",
,"*Arragh chayeeagh, sourey ouyragh;","A misty spring, a gloomy summer;",
,"Fouyr ghrianagh, geurey rioeeagh ","A sunny autumn, a frosty winter (see Seasons).",
,,73. — Industrial Objects and Commodities.,
192,Lhig da'n innagh lhie er y chione s'jerree , Let the weft rest upon the last end.,
193,Ta'n vry erskyn y churnaght , The malt is better than the wheat (see Agriculture).,
194,Bwoaill choud as ta'n yiarn cheh , Strike while the iron is hot.,
195,"Yn oghe gyllagh ""toyn losht"" da'n aiee "," The oven calling ""burnt bottom"" to the kiln.",
196,Shegin goaill ny eirkyn marish y cheh , We must take the horns with the hide.,
197,,"The Manx and Scotch will come so near as to throw their beetles (i.e., mallets) at one another (see Places).",
61b. ,Ta aile meeley jannoo bry millish ," A slow fire makes sweet malt (see Caution, Patience, and Fire).",
156a.,,To go about like a brewing-pan (see Village System).,
,,74. — Agriculture (including Farm and Implements).,
198,Ny jean balk jeh thalloo mie , Do not make a miss of good land [in ploughing].,
199,Cha dooar rieau drogh veaynee corran mie , A bad reaper never got a good sickle.,
200,T'ou towse e arroo liorish dty hubbag hene , Thou art measuring his corn by thy own bushel.,
201,Jean traagh choud as ta'n ghrian soilshean , Make hay while the sun shines (see The Sun).,
203,Ta'n losh da'n furriman ," ""Strike the foreman."""," When the ""gart"" (or last reaper) has cut down his rig before the head reaper, the rest cry out ""Strike the foreman"". (Manx Miscellany, vol. xvi, p. 28.)"
203,Laa'l Parick arree yn dow gys e staik as y dooinney gys e lhiabbee ," St. Patrick's Day [March 17], the ox to his stall and the man to his bed (see Animalsand Saints' Days).",
204,Cha nee yn wooa smoo eieys smoo vlieaunys , It is not the cow which lows most that will milk the most (see Animals).,
161a.,Cadlee ny moddee tra ta ny mraane creearey , Dogs will sleep when the women are sifting (see Womankind and Animals).,
184a.,"Laa'l Paul ghorrinagh gheayee,","St. Paul's Day [January 25th] tempestuous and windy,",
,Ghenney er y theihll as baase mooar sleih;,Scarcity in the world and great mortality;,
,Laa'l Paul aalin as glen,"St. Paul's Day fine and clear,",
,Palchey er y theihll dy arroo as meinn ,Plenty in the world of corn and meal (see Weather Wisdom and Holy Days).,
190a.,"Tra heidys Avril bing e chayrn,","When April shall shrilly blow his horn,",
,'Sy theihll vees palchey traagh as oarn ,In the world will be plenty of hay and barley (see Weather Wisdom and Seasons).,
193a.,Ta'n vry erskyn y churnaght , The malt is better than the wheat (see Industrial Objects).,
,*Verryms bai da'n chreeagh , I will give an opposite (or contrary) throw to the furrow (giving a Roland for an Oliver).,
,"*Laa feailley fliaghee, as cagh buinn traagh "," A wet holiday, and one mowing hay (see Weather Wisdom).",
,*Hug eh chyndaa da'n charr ," He gave a [reverse] turn to the ""twister"",  i.e., he reversed his course of action.",twister] An appliance used by the Manx for making straw rope.
,Hug eh chyndaa 'sy charr , He changed his tune. (Said of a man who deserts his client.),"Another version, "
,,75. — Country Objects.,
205,Moyll y droghad myr heu harrish , Praise the bridge as thou wilt go over it.,
206,Ta drogh hammag ny share na magher foshlit , A miserable bush is better than the open field.,
207,Ta ushag ayns laue chammah as jees 'sy thammag , A bird in hand is as well as two in the bush (see Birds).,
208,Faaid mooar son Oie'l Fingan , A great turf for Fingan Eve (see Holy Days).,
41a. ,Cha marroo as clagh , As dead as a stone (see Death).,
46a. ,Goll sheese ny lhargagh , Going down the slope (see Health).,
47a. ,Brishys accyrys trooid boallaghan cloaie , Hunger will break through walls of stone (see Hunger).,
70a. ,T'ou cha daaney as clagh vane , Thou art as bold as a white stone (see Courage).,
87a. ,"Cronk glass foddee voym, loam, loam tra roshym eh "," A green hill [when] far from me, bare, bare when I reach it (see Hope).",
181a.,"Laa'l Breeshey bane,","A white St. Bridget's Day (February 1st),",
,Dy chooilley yeeig lane,Every ditch full,
,Dy ghoo ny dy vane ,Of black or of white (see Weather Wisdom and Holy Days).,
,,76a. — Animals (including Animal Products).,
208*. ,T’ad beaghey bwoailley myr kayt as moddey , They live fighting like cat and dog (see Strife).,
209,Cre yiow jeh'n chayt agh y chrackan? , What will you get of the cat but the skin?,
210,Cha stamp rieau yn dow doo er e chass , The black ox never stamped on his [own] foot.,
211,Goll thie yn ghoayr dy hirrey ollan , Going to the goat's house to seek for wool.,
212,Rouyr moddee as beggan craueyn , More dogs than bones.,
213,Cha neig yn choo ta caaee 'sy hoyn , The greyhound is not sluggish which has seeds in its posterior.,
214,Cha nee tra ta'n cheyrrey gee yn ouw te cheet r'ee ," It is not when the sheep eats the marsh-pennywort it comes to her [or, it tells a tale] (see Plants).", marsh-pennywort] An injurious herb.
215,Slaa sahll er toyn muck roauyr , Daub lard upon the rump of a fat pig.,
216,Lhig dy chooilley vuck reuyrey jee hene , Let every pig dig for itself (see Independence).,
217,"Oie mooie, as oie elley s'thie,","A night out and another night in,",
,"Olk son cabbil, agh son kirree mie ","Bad for horses, but good for sheep (see Day and Night).",
218,Bock Yuan fannee , The gelding of John the flayer (see Trades and National).,
219,,"Like a Manx cat, hasn't a tail to wag (see National).",
220,,"He is like a Manx cat, he leaves nought behind him but his tail (see National).",
221,Gow ark jeh dty vuck hene , Take the young from thy own pig.,
43a. ,Baase y derrey voddey grayse y voddey elley , The death of one dog is the grace (life) of another dog (see Death and Selfishness).,
49a. ,Furree yn mwaagh rish e heshey , The hare will stop for its mate (see Love and Instinct).,
59a. ,Ceau craue ayns beeal drogh voddey , Throw a bone into a bad dog's mouth (see Caution).,
62c. ,Foddee yn moddey s'jerree tayrtyn y mwaagh ," Maybe the last dog will catch the hare (see Patience, Caution, and The Chase).",
67a. ,"Eshyn lhieys marish moddee, irrys eh marish jarganyn ", He who lies down with dogs will rise up with fleas (see Infection and Insects).,
68a. ,Ta un cheyrrey screbbagh doghaney yn slane shioltane , One scabby sheep infects the whole flock (see Infection).,
69a. ,T'ou cha daaney as assag , Thou art as bold as a weasel (see Courage).,
94a. ,"Laik lhiat ve marish y chioltane, agh ta'n eamagh ayd eamagh ny goair "," Thou wouldst like to be [numbered] with the flock, but thy bleat is the bleat of the goat (see Imposture).",
99a. ,"Eshyn nagh bee mie rish e gharran, shegin da yn phollan y chur lesh er e vooin "," He who will not be kind to his nag, must bring the saddle on his [own] back (see Kindness).",
121a.,Geeck cabbyl marroo , Paying for a dead horse (see Commerce).,
128a.,Ta ny moddee er chur nyn gione 'sy phot , The dogs have put their heads in the pot (see Home).,
130a.,Lhigey'n laair vane , Galloping the white mare (see Master and Servant).,
137a.,Ta booa vie ny gha as drogh lheiy ec , Many a good cow hath but a bad calf (see Parents).,
138a.,"My ta keim 'sy laair, bee keim 'sy lhiy "," If there be an amble in the mare, there will be an amble in the colt (see Parents).",
144a.,Tasht prughag as ee lughag , Store miser and eat mouse (see Riches).,
147a.,Cha boght as lugh killagh , As poor as a church mouse (see Poverty).,
161b.,Cadlee ny moddee tra ta ny mraane creearey , Dogs will sleep when the women are sifting (see Womankind and Agriculture).,
203a.,"Laa'l Parick arree, yn dow gys e staik as y dooinney gys e lhiabbee "," St. Patrick's Day in spring, the ox to his stall and the man to his bed (seeAgriculture and Holy Days).",
204a.,Cha nee yn wooa smoo eieys smoo vlieaunys , It is not the cow which lows most will milk the most (see Agriculture).,
,"*Ny veggan as ny veggan, dee yn chayt y skeddan "," Little by little, [as] the cat ate the herring (see Fish and Patience).",
,"*Tra huittys ny maarlee magh, hig skeeal er ny kirree ", When the thieves fall out tidings will come of the sheep (see Thieves and War).,
,*Ta moddey bio ny share na lion marroo , A living dog is better than a dead lion (see Death).,
,*Arc er e ghreeym , A young pig on his back. (Said of a sulky person.),
,*Cha raagh as mannan , As wanton as a kid.,
,,76b. — Birds.,
222,Coontey ny heïn roish ta ny hoohyn guirt , Counting the chickens before the eggs are hatched.,
223,Lhig dy chooilley ushag guirr e hoohyn hene , Let every bird hatch its own eggs (see Independence).,
224,,"If the puffin's nest was not robbed in the Calf of Man, they would breed there no longer (see Places).",puffin] The sea-parrot.
18a. ,He is as fat as a puffin (see The Body).,,
134a. ,Myr s'doo yn feeagh yiow eh sheshey , Black as is the raven he'll get a partner (see Marriage).,
139a.,Ta'n yeean myr e ghooie my vel clooie er y chione , The chicken is like its kind before down is on its head (see Parents).,
151a.,Cur meer da'n feeagh as hig eh reesht , Give a piece to the raven and he'll come again (see Poverty and Alms).,
160a.,"Boayl ta gioee ta keck, as boayl ta mraane ta pleat "," Where there are geese there's dirt, and where there are women there's talking [tattling] (seeWomankind).",
188a.,"Cha jean un ghollan-geayee sourey,","One swallow will not make summer,",
,Ny un chellagh-keylley geurey ,Nor one woodcock winter (see Weather Wisdom and Seasons).,
207a.,Ta ushag ayns laue chammah as jees 'sy thammag , A bird in the hand is as well as two in the bush (see Country Objects).,
247a.,Pibbin , A puffin (a Manxman) (see National).,
,*S'olk yn eean ta broghey e edd hene , How bad the fowl that defiles its own nest (see Evil).,
,"*Ny nee yn rio gymmyrkey guiy roish yn Ollick, cha nymmyrkey e thunnag lurg yn Ollick "," If the frost will bear a goose before Christmas, it will not bear a duck after Christmas (see Weather and Seasons).",
,,76c. — Fish.,
225,Ta daa pharick jannoo un ghimmagh , Two small lobsters make a big one.,pharick] A cant word for a small lobster.
226,,As indifferently as the herring back-bone doth lie in the midst of the fish.,Part of the oath of the Deemsters and High Bailiffs.
227,,The crab that lies always in its hole is never fat.,
228,,Every herring must hang by its own gill.,
229,,Throw a sprat and catch a herring (see Fishing).,
230,,Fish for a herring and catch a sprat (see Fishing).,
231,,"Packed like herrings in a barrel, heads and tails.",
232,,"Never a barrel, the better herring.",
233,,What we lose in dog-fish we shall have in herring.,
42a. ,Cha marroo as skeddan , As dead as a herring (see Death).,
44a. ,Bioys da dooinney as baase da eeast , Life to man and death to fish (see Death).,A Manx toast.
135a.,,"No herring, no wedding (see Matrimony).",
,"*Ny veggan as ny veggan, dee yn chayt y skeddan "," Little by little, [as] the cat ate the herring (see Animals and Patience).",
,,76d. — Insects.,
234,"Deeasee y charthan e hoyn woish, as cha dooar eh arragh eh "," The sheep-louse lent its anus, and never got it back again.",
45b. ,"Dy beagh ee er e volg myr t'ee er e dreeym, shimmey mac dooinney yinnagh ee harrish y cheym "," If it were on its belly as it is on its back, many a son of man would it put over the stile (see Health and Church).",
67b. ,"Eshyn lhieys marish moddee, irrys eh marish jarganyn "," He who lies down with dogs, will rise up with fleas (see Animals and Infection).",
152a.,Cha boght as carage , As poor as a beetle (see Poverty).,
,*Myr y tarroo-deyill as y charage , Like the rove- or horned- beetle and the ordinary field-beetle (see Enemies). Said of sworn enemies.,
,,76e. — Plants and Fruit.,
235,Ta'n aghaue veg shuyr da'n aghaue vooar ," The little hemlock is sister to the great hemlock [or, the little sin is sister to the great one].",
58b. ,,"When gorse is out of blossom, kissing's out of fashion (see Customs).",Gorse is in bloom in the Island all the year round.
64a. ,"Leah appee, leah lhoau "," Soon ripe, soon rotten (see Caution).",
145a.,Ta airh er cushagyn ayns shen , There is gold on cushags (ragwort) there (see Riches).,
214a.,Cha nee tra ta'n cheyrrey gee yn ouw te cheet r'ee , It is not when the sheep eats the marsh-pennywort it comes to her (see Animals).,
,,77. — The Sea.,
63b. ,Lurg roayrt hig contraie , After spring-tide will come neap (see Caution and Patience).,
167a.,Share farkagh er baare faarkey ny er keim rullickey , Better be waiting on the crest of a billow than on the churchyard stile (see Church).,
,,78. — Ships.,
186a.,Ny three geayghyn s'feayrey dennee Fion Mc Cooil,"The three coldest winds that Fion Mc Cooil felt,",
,"Geay henneu as geay huill,","Wind from a thaw and wind from holes,",
,As geay fo ny shiauihll ,And wind from under the sails (see Weather Wisdom and Personal).,
,,78*. — Fishing.,
229a.,,Throw a sprat and catch a herring (see Fish).,
230a.,,Fish for a herring and catch a sprat (see Fish).,
,,81. — Fire and Firing.,
236,Ny share loshtys daa vrasnag na unnane , Two faggots will burn better than one.,
61c. ,Ta aile meeley jannoo bry millish , A slow fire makes sweet malt (seePatience and Industrial Objects).,
154a.,"Laa'l Moirrey ny gianle, lieh foddyr as lieh aile ", By Candlemas Day (2nd Feb.) [have] half straw and half firing (see Holy Days).,
,,82. — Water.,
5a. ,Ta fuill ny s'chee na ushtey , Blood is thicker than water (see The Body).,
177a.,"Cha daink lesh y gheay, nagh ragh lesh yn ushtey ", Nothing came with the wind that would not go with the water (see Weather Wisdom).,
,,"83, 84, 85. — The Sun, Moon, and Stars.",
237,Raad mooar Ree Gorree ," The highway of King Orry (or ""The Milky Way"") (see Persons).",
178a.,"My ta'n ghrian jiarg tra girree eh,",If the sun is red when he rises,
,Foddee shiu jerkal rish fliaghey ,You may expect rain (see Weather Wisdom).,
179a.,Ta eayst Jy-sarn 'sy Vayrnt dyliooar ayns shiaght bleeaney , A Saturday's moon in March is enough in seven years (see Weather Wisdom andSeasons).,
201a.,Jean traagh choud as ta'n ghrian soilshean , Make hay while the sun shines (see Agriculture).,
,,86. — Chronology.,
238,,"Ten L's, thrice X with V and II did fall,","The number of Manx slain in battle on 8th October 1270, the year of the Scottish conquest of the Island."
,,"Ye Manx take care, or suffer more ye shall.",
240a.,Three kegeeshyn dy chegeeshyn slane,"Three fortnights, whole fortnights,",
,Ta voish laa'l Thomys 'sy Nollick gys laa'l Breeshey bane ,It is from St. Thomas's Day [December 21st] in the Christmas to white St. Bridget's Day [February 1st] (see Holy Days).,
,,87. — Day and Night.,
239,Tra hig y laa hig e choyrle lesh , When the day comes its counsel will come with it.,
93a.,Myr sniessey yn oie slhee ny mitchooryn , The nearer the night the more rogues (see Imposture).,
217a.,"Oie mooie, as oie elley s'thie,","A night out and another night in,",
,"Olk son cabbil, agh son kirree mie ","Bad for horses, but good for sheep (see Animals).",
,,88. — Holy (Saints') Days.,
240,Three kegeeshyn dy chegeeshyn slane,Three fortnights — whole fortnights,
,Ta voish laa'l Thomys 'sy Nollick gys laa'l Breeshey bane ,It is from St. Thomas's Day [December 21st] in the Christmas to white St. Bridget's Day [February 1st] (see Chronology).,
37a. ,"Oie-Innyd my vees dty volg lane,","Shrove Tuesday night, though thy belly be full,","Referring to the practice of having sollaghyn (a preparation of porridge) for dinner on Shrove Tuesday instead of for breakfast as on other days, and meat and pancakes for supper (seeCustoms)."
,My jig Laa Caisht yiow trosht son shen ,Before Easter Day thou mayst fast (hunger) for that (see Eating).,
154b.,"Laa'l Moirrey ny gianle, lieh foddyr as lieh aile ", At Candlemas Day (Feb. 2nd) [have] half straw and half firing (see Thrift).,
169a.,"Laa'l Farlane, daa honn goll 'sy nane ", St. Bartholomew's Day (August 24th) two masses go in one (see Church).,
181b.,"Laa'l Breeshey bane,","A white St. Bridget's Day [February 1],",
,"Dy chooilley yeeig lane,",Every ditch full,
,Dy ghoo ny dy vane ,Of black or of white (see Weather Wisdom and Country Objects).,
182a.,"Choud as hig y scell-greinney stiagh Laa'l Breeshey, hig y sniaghtey my jig Laa Boaldyn "," As long as the sunbeam comes in on St. Bridget's Day, the snow will come before May Day (see Weather Wisdom).",
184b.,"Laa'l Paul ghorrinagh gheayee,","St. Paul's Day [January 25] tempestuous and windy,",
,Ghenney er y theihll as baase mooar sleih;,Scarcity in the world and great mortality;,
,"Laa'l Paul aalin as glen,","St. Paul's Day fine and clear,",
,Palchey er y theihll dy arroo as meinn ,Plenty in the world of corn and meal (see Weather Wisdom and Agriculture).,
189a.,Lane crou cabbyl dy ushtey Laa'l Eoin feeu mayl Vannin , A horse-shoe full of water on St. John's Day [July 5] is worth the rent of [the Isle of] Man (see Weather Wisdom and National).,
203b.,"Laa'l Parick arree, yn dow gys e staik as y dooinney gys e lhiabbee "," St. Patrick's Day [March 17th] in Spring, the ox to his stable and the man to his bed (see Agriculture and Animals).",
208a.,Faaid mooar son oie'l Fingan ," A great turf for Fingan eve (eve of St. Thomas's Day, Dec. 21st) (see Country Objects).","turf] At the time of cutting peats a large one was reserved for the eve of St. Thomas's Day, when the people went to the cliffs to catch a fat sheep for Christmas fare."
,,89. — Seasons.,
168b.,"Ollick vog, rhullic vea "," A wet Christmas, a rich church-yard (see Churchand Weather Wisdom).",
179b.,Ta eayst Jy-sarn 'sy Vayrnt dyliooar ayns shiaght bleeaney , A Saturday's moon in March is enough in seven years (see Weather Wisdom and Moon).,
180a.,Sheeu kishan dy yoan Mayrnt mayl bleeaney Vannin , A peck of March dust is worth a year's rent of [the Isle of] Man (see Weather Wisdom and National).,
187a.,"Ta'n Vayrnt chionney, as yn nah vee fanney "," March tightens, and the next month skins (see Weather Wisdom).",
188b.,"Cha jean un ghollan-geayee sourey,","One swallow will not make summer,",
,Ny un chellagh-keylley geurey ,Nor one woodcock winter (see Weather Wisdom and Birds).,
190b.,"Tra heidys Avril bing e chayrn,","When April shall shrilly blow his horn,",
,Sy theihll vees palchey traagh as oarn ,In the world will be plenty of hay and barley (see Agriculture and Weather Wisdom).,
,"*Arragh chayeeagh, sourey ouyragh,","A misty spring, a gloomy summer,",
,"Fouyr ghrianagh, geurey rioeeagh ","A sunny autumn, a frosty winter (see Weather Wisdom).",
,"*Ny nee yn rio gymmyrkey guiy roish yn Ollick, cha nymmyrkey e thunnag lurg yn Ollick "," If the frost will bear a goose before Christmas, it will not bear a duck after Christmas (see Weather Wisdom and Birds).",
,,90. — Places.,
241,,As round as the Tynwald.,"The Tynwald is an ancient mound of circular shape, in the parish of German, from which the Manx laws are promulgated."
197a.,,The Manx and Scotch will come so near as to throw their beetles at one another (see Industrial Objects).,"A prophecy quoted in the north of the Island. The sea is receding at the point of Ayre, opposite the Scotch coast."
224a.,,"If the puffin's nest was not robbed in the Calf of Man, they would breed there no longer (see Birds).",
,,91. — Nationality (Manx).,
242,"Mie Mannin, mie Nherin "," Good [in] Man, good [in] Ireland.",
243,,"Will stand like the legs of Man (""Quocunque jeceris stabit"").",
244,,A Manxman's arms are the three legs.,A punning proverb.
245,,Do as they do in the Isle of Man.,
,,How's that? They do as they can.,
246,,"Blue, the Manxman's livery.","Originated, probably, from the fact that blue is the prevailing colour of the dress of the Manx people."
247,,A Puffin (a nickname for a Manxman) (see Birds).,So called from the large number of puffins (sea-parrot) formerly inhabiting the Calf.
248,,"With one leg I spurn Ireland,",
,,"With the second I kick Scotland,",
,,And with the third I kneel to England.,
,,(Descriptive of the armorial bearings (Fylfot) of the Island.),
104b.,,"Manxman like, a day behind the fair (see Punctuality and Village System).",
157a.,,The Manxman is never wise until the day after the fair (see Village System).,
180b.,Sheeu kishan dy yoan Mayrnt mayl bleeaney Vannin , A peck of March dust is worth a year's rent of [the Isle of] Man (see Weather Wisdom andSeasons).,
189b.,Lane crou cabbyl dy ushtey laa'l-Eoin feeu mayl Vannin , A horse-shoe full of water on St. John's Day [July 5] is worth the rent of [the Isle of] Man (seeWeather Wisdom and Holy Days).,
218b.,Bock Yuan fannee , The gelding of John the flayer (a Manxman's walking-stick) (see Trades and Animals).,"A Manxman, one John ——, flayed his horse, and had afterwards to travel on foot."
219a.,,"Like a Manx cat, hasn't a tail to wag (see Animals).", Said of a person who is unable to clear himself of an imputation. 
220a.,,"He is like a Manx cat, he leaves nought behind him but his tail (seeAnimals).",
,,92. — Races.,
250,,"Hit him again, for he is Irish.","The Manx formerly entertained considerable antipathy to the Irish, probably dating back to some early invasion."
251,,"Our enemies the Redshanks, or Goblan Marrey (the Scotch Highlanders).",Of the Highlanders the Manx were formerly very suspicious.
60a.,,You must summer and winter a stranger before you can form an opinion of him (see Caution).,
197b.,,The Manx and Scotch will come so near as to throw their beetles at one another (see Industrial Objects and Places).,
,,93. — Persons.,
252,,"Duke of Atholl, King of Man,",
,,Is the greatest man in all the lan' (see Rulers).,
253,,God keep the house and all within,
,,From Cut Mac Cullock and all his kin (The Poor Manxman's Prayer).,"Cutlar MacCullock was a powerful Gallovidian rover, who made repeated incursions into the Island about the year 1507, and carried off all that he could lay hands upon."
254,,"God keep the good corn, the sheep, and the bullock",
,,"From Satan, from sin, and from Cutlar Mac Cullock (The Rich Manxman's Prayer).",
186b.,"Ny three geayghyn s'feayrey dennee Fion Mc Cooil,","The three coldest winds that Fion Mc Cooil felt,",
,"Geay henneu as geay huill,","Wind from a thaw and wind from holes,",
,As geay fo ny shiauihll ,And wind from under the sails (see Weather Wisdom).,
237b.,Raad mooar Ree Gorree , The highway of King Orry (see Rulers and The Stars).,"The Manx name for the ""Milky Way"". Orry, on landing in the Island, being asked whence he came, is said to have pointed to the ""Milky Way"" as the road to his country."
