English,Manx,Manx Original,Notes,,Page
Ye heard also what commodities come of lawful oaths; and what danger cometh of rash and unlawful oaths.  ,"Ta shiu er chlashtyn myrgeddin cre ny messyn ta er nyn ymmyrkey liorish loo lowal, as cre’n dangeyr t’ayns loo eddrym as neu-lowal;","Ta shiu er chlashtyn myrgeddin cre ny messyn ta er nyn ymmyrkey liorish loo lowal, as cre’n dangeyr t’ayns loo eddrym as neu-lowal,",,,7
"Now as concerning the rest of the same matter, you shall understand, that as well they use the name of God in vain that by an oath make unlawful promises of good and honest things, and perform them not, as they which do promise evil and unlawful things and do perform the same.","as nish mychione yn ayrn elley jeh’n chooish cheddin, bee toiggal currit diu, dy vel chammah adsyn goaill ennym Yee ayns fardail ta liorish loo jannoo gialdynyn neu-lowal[13] mychione reddyn mie as onneragh as nagh vel dy chooilleeney ad; chammah roosyn ta jannoo gialdynyn olk as neu-lowal as ta cooilleeney ad.","as nish mychione yn ayrn elley jeh’n chooish cheddin, bee toiggal currit diu, dy vel chammah adsyn goaill ennym Yee ayns fardail ta liorish loo jannoo gialdynyn neu-lowal[13] mychione reddyn mie as onneragh as nagh vel dy chooilleeney ad. Chammah roosyn ta jannoo gialdynyn olk as neu-lowal as ta cooilleeney ad.","[13] neu-lowal] The 1810 English text of the Homilies has unlawful here, though the logic of the argument requires a contrast between legitimate (lawful, later called honest) promises that are not fulfilled, and unlawful (later, wicked) promises that are fulfilled; 1817 has, indeed, lawful, from which we infer that it cannot be this version on which Manx Homily 7 is based.",,7
Lawful oaths and promises would be better regarded.,,,,,7
"Of such men that regard not their godly promises bound by an oath, but wittingly and wilfully break them, we do read in holy Scripture two notable punishments.","Jeh nyn lheid as nagh vel cur tastey da nyn ghialdynyn mie er ny hickyraghey liorish loo, agh ta dy arryltagh as jeh nyn-yione dy vrishey ad, ta shin lhaih ayns ny Scriptyryn casherick daa cherraghey baghtal.",,,,7
"First, Joshua and the people of Israel made a league and faithful promise of perpetual amity and friendship with the Gibeonites Josh. ix. :","Hoshiaght, ren Joshua as pobble Israel conaant as gialdyn firrynagh jeh caarjys kinjagh rish ny Gibeonityn [Josh. ix.],","Hoshiaght, ren Joshua as pobble Israel conaant as gialdyn firrynagh jeh caarjys Kinjagh rish ny Gibeonityn,",,,8
"notwithstanding afterwards, in the days of wicked Saul, many of these Gibeonites were murdered, contrary to the said faithful promise made: wherewith Almighty God was so sore displeased, that he sent an universal hunger upon the whole country, which continued by the space of three years: and God would not withdraw his punishment, until the said offence was revenged by the death of seven sons, or next kinsmen of king Saul.","ny-yeih ny lurg shen ayns laaghyn Saul mee-chrauee, va lane jeh ny Gibeonityn er nyn ghunverys, as yn conaant shickyr shen er ny vrishey. Liorish shoh va corree Yee cha trome er ny vrasnaghey dy dug eh gortey cadjin er y slane cheer ren tannaghtyn three bleeaney; as cha jinnagh Jee goaill ersooyll yn kerraghey derrey va lhiassaghey er ny yannoo er y hon, liorish baase shiaght Mec ny deiney mooinjerey sniessey Ree Saul. [2 Sam. xxi. 1–9].","ny-yeih ny lurg shen ayns laaghyn Saul mee-chrauee, va lane jeh ny Gibeonityn er nyn ghunverys, as yn conaant shickyr shen er ny vrishey. Liorish shoh va corree Yee cha trome er ny vrasnaghey dy dug eh gortey cadjin er y slane cheer ren tannaghtyn three bleeaney; as cha jinnagh Jee goaill ersooyll yn kerraghey derrey va lhiassaghey er ny yannoo er y hon, liorish baase shiaght Mec ny deiney mooinjerey sniessey Ree Saul.",,,8
"And whereas Zedechias, king of Jerusalem, had promised fidelity to the king of Chaldea; afterward, when Zedechias, contrary to his oath and allegiance, did rebel against King Nebuchodonosor; this heathen king, by God’s permission and sufferance, invading the land of Jewry, and besieging the city of Jerusalem, compelled the said king Zedechias to flee, and in fleeing took him prisoner, slew his sons before his face, and put out both his eyes; and binding him with chains, led him prisoner miserably into Babylon. 2 Kings xxiv. xxv. ","As er-yn-oyr dy ren Zedekiah Ree Yerusalem gialdyn biallys da Ree ny Chaldeanee, ny lurg shen tra ren Zedekiah brishey e loo as gobbal yn viallys v’eh er ghialdyn, as ren eh girree magh noi Ree Nabuchodonozor, ren y Ree ashoonagh shoh liorish kied Yee jannoo caggey er thalloo Yudea, as cruinnaghey mygeayrt ard-valley Yerusalem deginagh eh Ree Zedekiah dy hea, as ayns chea ghow eh eh ny phryssoonagh, varr eh, e vec kiongoyrt rish e hooillyn, as hug eh ny sooillyn ass hene, as kianley eh lesh geulaghyn, lheeid eh eh ny phryssoonagh treih gys Babylon. [2 Reeaghyn xxiv., xxv.] ","As er-yn-oyr dy ren Zedekiah Ree Yerusalem gialdyn biallys da Ree ny Chaldeanee, ny lurg shen tra ren Zedekiah brishey e loo as gobbal yn viallys v’eh er ghialdyn as ren eh girree magh noi Ree Nabuchodonozor ren y Ree ashoonagh shoh liorish kied Yee jannoo caggey er thalloo Yudea as cruinnaghey mygeayrt ard-valley Yerusalem deginagh eh Ree Zedekiah dy hea, as ayns chea ghow eh eh ny phryssoonagh, varr eh, e vec kiongoyrt rish e hooillyn, as hug eh ny sooillyn ass hene, as kianley eh lesh geulaghyn, lheeid eh eh ny phryssoonagh treih gys Babylon. ",,,8
Thus doth God show plainly how much he abhorreth breakers of honest promises bound by an oath made in his name.,Myr shoh ta Jee soilshaghey dy baghtal cre’n dwoaie t’echey orroosyn ta brishey gialdynyn firrinagh jeant ayns yn ennym echeysyn.,,,,8
Unlawful oaths and promises are not to be kept.,,,,,8
"And of them that make wicked promises by an oath, and will perform the same, we have example in the Scriptures, chiefly of Herod, of the wicked Jews, and of Jephtha.","As orroosyn ta jannoo gialdynyn peccoil liorish loo as cooilleeney yn chooid cheddyn, ta sampleyryn ain ayns ny Scriptyryn; ayns aght er-lheh jeh Herod, jeh ny Hewnyn mee-chrauee, as jeh Jephtha.",,,,8
"Herod promised by an oath unto the damsel which danced before him, to give unto her whatsoever she would ask; when she was instructed before of her wicked mother, to ask the head of St. John Baptist.","Ren Herod breearrey liorish loo da’n ven-aeg ren daunsyn kiongoyrt rish dy chur jee cre erbee baill’ee shirrey, lurg jeeish ve ynsit liorish e Moir mee-chrauee dy hirrey kione Ean Bashtey.",,,,8
"Herod, as he took a wicked oath, so he more wickedly performed the same, and cruelly slew the most holy Prophet. Matth. xiv.","Herod myr ren eh loo peccoil, myr shen ren eh ny s’peccoil y chooilleeney eh, as hug eh dy dewil gy baase yn Phadeyr smoo casherick. [Mian xiv. 7–11.] ","Herod myr ren eh loo peccoil, myr shen ren eh ny s’peccoil y chooilleeney eh, as hug eh dy dewil gy baase yn Phadeyr smoo casherick.",,,9
"Likewise did the malicious Jews make an oath, cursing themselves if they did either eat or drink, until they had slain St. Paul. Acts xxiii.","Myr shen myrgeddin ren ny Hewnyn goanlyssagh jannoo breearrey, guee mollaght orroo hene my yinnagh ad gee ny giu derrey v’ad er varroo Paul. [Jannoo xxiii. 12.]","Myr shen myrgeddin ren ny Hewnyn goanlyssagh jannoo breearrey, guee mollaght orroo hene my yinnagh ad gee ny giu derrey v’ad er varroo Paul.",,,9
"And Jephtha, when God had given him victory of the children of Ammon, promised (of a foolish devotion) unto God, to offer for a sacrifice unto him, that person which of his own house should first meet with him after his return home.","As Jephtha, tra va Jee er chur yn varriaght da harrish cloan Ammon, ren eh gialdyn (ayns smooinaghtyn aggairagh dy chraueeaght da Jee) dy hebbal son oural huggeysyn yn persoon shen jeh e lught-thie hene hoshiaght yinnagh meeteil eh lurg da roshtyn thie.","As Jephtha, tra va Jee er chur yn varriaght da harrish cloan Ammon ren eh gialdyn (ayns smooinaghtyn aggairagh dy chraueeaght da Jee) dy hebbal son oural huggeysyn yn persoon shen jeh e lught-thie hene hoshiaght yinnagh meeteil eh lurg da roshtyn thie.",,,9
"By force of which fond and unadvised oath, he did slay his own and only daughter, which came out of his house with mirth and joy to welcome him home.",Liorish cur tastey da’n loo ommijagh as eddrym shoh hug eh gy baase e ynrycan inneen haink magh ny whail lesh boggey as gerjagh dy chur oltaghey-bea da.,,,,9
"Thus the promise which he made (most foolishly) to God, against God’s everlasting will, and the law of nature, most cruelly he performed; so committing against God a double offence. Judges xi.","Myr shoh va’n breearrey ren eh dy feer ommijagh da Jee noi aigney dy bragh farraghtyn Yee, as va leigh dooghys dy dewil er ny vrishey, as myr shoh va peccah dooble er ny yannoo noi Jee. [Briwnyn xi. 30–39.]","Myr shoh va’n breearrey ren eh dy feer ommijagh da Jee noi aigney dy bragh farraghtyn Yee, as va leih dooghys dy dewil er ny vrishey, as myr shoh va peccah dooble er ny yannoo noi Jee.",,,9
"Therefore, whosoever maketh any promise, binding himself thereunto by an oath, let him foresee that the thing which he promiseth be good and honest, and not against the commandment of God, and that it be in his own power to perform it justly: and such good promises must all men keep evermore assuredly.","Shen-y-fa quoi erbee ta jannoo breearrey as kianley eh-hene huggey liorish loo, lhig da jeeaghyn roish dy vel yn red t’eh dy vreearrey mie as cairagh, as cha nee noi leighyn Yee, as dy vel eh ayns y phooar echey hene dy chooilleeney eh dy fondagh.",,,,9
"But if a man at any time shall, either of ignorance, or of malice, promise and swear to do anything which is either against the law of Almighty God, or not in his power to perform, let him take it for an unlawful and ungodly oath. ","As lheid ny gialdynyn shegin da dy chooilley ghooinney freayll dy shickyr. Agh my haghyrys da dooinney erbee, eddyr trooid almoraght, ny ayns goanlys, dy vreearrey as dy loo dy yannoo red erbee ta eddyr noi leighyn Yee ooilley-niartal, ny ass e phooar dy chooilleeney, lhig da jeeaghyn er myr breearrey mee-lowal as mee-chrauee.","As lheid ny gialdynyn shegin da dy chooilley ghooinney freayll dy shickyr. Agh my haghyrys da dooinney erbee eddyr trooid almoraght, ny ayns goanlys dy vreearrey as dy loo dy yannoo red erbee ta eddyr noi leighyn Yee ooilley-niartal, ny ass e phooar dy chooilleeney, lhig da jeeaghyn er myr breearrey mee-lowal as mee-chrauee.",,,9
Against perjury.,,,,,9
"Now something to speak of perjury, to the intent you should know how great and grievous an offence against God this wilful perjury is, I will shew you what it is to take an oath before a judge upon a book.","As nish dy loayrt jeh loo-oaiagh. Er-chee dy vod shiu toiggal cre’n peccah mooar as dwoaiagh ayns shilley Yee t’eh dy ghoaill loo-oaiagh, neem soilshaghey diu cre te dy goaill loo roish Briw er y lioar.","As nish dy loayrt jeh loo-oaiagh. Erchee dy vod shiu toiggal cre’n peccah mooar as dwoaiagh ayns shilley Yee t’eh dy ghoaill loo oaiagh, neem soilshaghey diu cre te dy goaill loo roish Briw er y lioar.",,,9
An oath before a Judge.,,,,,10
"First, when they, laying their hands upon the Gospel book, do swear truly to inquire, and to make a true presentment of things wherewith they be charged, and not to let from saying the truth, and doing truly, for favour, love, dread, or malice of any person, as God may help them, and the holy contents of that book; they must consider, that in that book is contained God’s everlasting truth, his most holy and eternal word, whereby we have forgiveness of our sins, and be made inheritors of heaven, to live for ever with God’s angels and his saints, in joy and gladness.","Hoshiaght, tra ta sleih cur nyn laueyn er y lioar, yn Sushtal casherick, as loo dy chur coontey firrinagh jeh lheid ny reddyn as vees er ny hoiaghey rhymboo, as gyn dy ve er ny lhiettal voish loayrt yn irriney as jannoo dy cairagh son foayr, ny graih, ny aggle, ny goanlys da persoon erbee, myr nee Jee cooney lhieu as yn leigh smoo casherick t’ayns y lioar shen: shegin daue smooinaghtyn dy dowin dy nee ayns y lioar smoo casherick shoh ta firrinys dy bragh farraghtyn Yee, e ghoo smoo casherick as dy bragh farraghtyn, liorish ta shin cosney leih nyn beccaghyn as er nyn yannoo eiraghyn dy reeriaght Niau, dy vaghey son dy bragh marish ainleyn as Nooghyn Yee ayns boggey as gerjagh.","Hoshiaght, tra ta sleih cur nyn laueyn er y lioar, yn Sushtal casherick, as loo dy chur coontey firrinagh jeh lheid ny reddyn as vees er ny hoaiaghey rhymboo, as gyn dy ve er ny lhiettal voish loayrt yn irriney as jannoo dy cairagh son foayr, ny graih, ny aggle, ny goanlys da persoon erbee, myr nee Jee cooney lhieu as yn leigh smoo casherick t’ayns y lioar shen: shegin daue smooinaghtyn dy dowin dy nee ayns y lioar smoo casherick shoh ta firrinys dy bragh farraghtyn Yee, e ghoo smoo casherick as dy bragh farraghtyn, liorish ta shin cosney leih nyn beccaghyn as er nyn yannoo eiraghyn dy reeriaght Niau, dy vaghey son dy bragh marish ainleyn as Nooghyn Yee ayns boggey as gerjagh.",,,10
"In the Gospel book is contained also God’s terrible threats to obstinate sinners, that will not amend their lives, nor believe the truth of God’s holy word; and the everlasting pain prepared in hell for idolaters, hypocrites, for false and vain swearers, for perjured men, for false witness bearers, for false condemners of innocent and guiltless men, and for them which for favour hide the crimes of evil-doers, that they should not be punished.","Ayns y Sushtal casherick ta myrgeddin briwnyssyn atchimagh Yee noi peccee chreoi-wannallagh nagh jean lhiassaghey nyn mea dy chredjal firrinys Yee, e ghoo casherick, as yn treihys dy bragh farraghtyn er ny chiarail ayns niurin cour Jallooderyn as crauee-oalsey, cour looderyn oaiagh, as looderyn fardailagh, cour feanishyn foalsey, cour ocsyn ta dy foalsey deyrey deiney oney as gyn loght, as adsyn ta trooid foayr kieltyn loghtyn drogh yantee nagh bee ad er nyn gerraghey.",,,,10
"So that whosoever wilfully forswear themselves upon Christ’s holy Evangely, they utterly forsake God’s mercy, goodness, and truth, the merits of our Saviour Christ’s nativity, life, passion, death, resurrection, and ascension;","Shen-y-fa quoi-erbee ta goaill loo-oaiagh er y Sushtal casherick t’eh dy bollagh tilgey voish myghin mieys, as firrinys Yee as dy chooilley vondeish jeh toilchinys Chreest, yn cheet er y theihll echey, e vea, e hurranse, e irree-seose-reesht as goll-seose gys Niau. ",,,,10
"they refuse the forgiveness of sins, promised to all penitent sinners, the joys of heaven, the company with angels and saints for ever: all which benefits and comforts are promised unto true Christian persons in the Gospel.","Ta’d gobbal dy ghoaill leih peccaghyn er ny ghialdyn da dy chooilley pheccagh arryssagh, ooilley gerjaghyn Niau, sheshaght marish ny Ainleyn as Nooghyn son dy bragh, ooilley ny vondeishyn as ny gerjaghyn shoh ta giallit da Creesteenyn firrinagh ayns y Tushtal.","Ta’d gobbal dy ghoaill leih peccaghyn er ny ghialdyn da dy chooilley phecagh arryssagh, ooilley gerjaghyn Niau, sheshaght marish ny Ainleyn as Nooghyn son dy bragh, ooilley ny vondeishyn as ny gerjaghyn shoh ta giallit da Creesteenyn firrinagh ayns y Tushtal.",,,10
"And they, so being forsworn upon the Gospel, do betake themselves to the Devil’s service, the master of all lies, falsehood, deceit, and perjury, provoking the great indignation and curse of God against them in this life, and the terrible wrath and judgment of our Saviour Christ, at the great day of the last judgment, when he shall justly judge both the quick and the dead, according to their works ","As lurg daue myr shoh goaill loo oaiagh er y Sushtal kianley ad-hene gys shirveish yn drogh-spyrryd, bun dy chooilley vreg, dy chooilley oalsaght as dy chooilley loo-oaiagh, brasnaghey jymmoose hrome as mollaght Yee nyn oi ’sy vea shoh, as e eulys atchinagh as briwnys Yeesey Creest nyn oï er laa mooar as atchimagh ny Briwnys, tra nee eh dy cairagh briwnys chammah ny bio as ny merriu cordail rish nyn obbraghyn. ","As lurg daue myr shoh goaill loo oaiagh er y Sushtal kianley ad-hene gys shirveish yn drogh-spyrryd bun dy chooilley vreg, dy chooilley oalsaght as dy chooilley loo-oaiagh. Brasnaghey jymmoose hrome as mollaght Yee nyn oi ’sy vea shoh, as e eulys atchinagh as briwnys Yeesey Creest nyn oï er laa mooar as atchimagh ny Briwnys, tra nee eh dy cairagh briwnys chammah ny bio as ny merriu cordail rish nyn obbraghyn. ",,,11
". For whosoever forsaketh the truth, for love or displeasure of any man, or for lucre and profit to himself, doth forsake Christ, and with Judas betray him.","Son quoi-erbee ta treigeil yn irriney er coontey graih ny jymmoose gheiney, ny son cosney scammyltagh da-hene, t’eh treigeil Creest, as t’eh marish Judas dy vrah eh.","Son quoi-erbee ta tregeil yn irriney er coontey graih ny jymmoose gheiney, ny son cosney scammyltagh da-hene, t’eh tregeil Creest, as t’eh marish Judas dy vrah eh.",,,11
"Though perjury do escape here unspied and unpunished, it shall not do so ever.",,,,,11
"And although such perjured men’s falsehood be now kept secret, yet it shall be opened at the last day, when the secrets of all men’s hearts shall be manifest to all the world: and then the truth shall appear, and accuse them; and their own conscience, with all the blessed company of heaven, shall bear witness truly against them: and Christ, the righteous Judge, shall then justly condemn them to everlasting shame and death.","As ga dy vod lheid ny looghyn-oaiagh as adsyn ta jannoo ad ve nish keillit, ny-yeih bee ooilley lheid ny cooishyn er nyn vosley er y laa jerrinagh, tra vees folliaght dy chooilley chree er ny hoilshaghey da’n slane seihll, as eisht bee’n irriney er ny gheddyn magh nee ad y gheyrey as nee nyn gooinsheanse hene, as ooilley sheshaght vannit Niau gymmyrkey feanlsh dy firrinagh nyn oï; as nee Creest yn Briw cairagh dy cairagh ad y gheyrey gys nearey as baase dy bragh farraghtyn.","As ga dy vod lheid ny looghyn-oaiagh as adsyn ta jannoo ad ve nish keillit, ny-yeih bee ooilley lheid ny cooishyn er nyn vosley er y laa jirrinagh, tra vees folliaght dy chooilley chree er ny hoilshaghey da’n slane seihll, as eisht bee’n irriney er ny gheddyn magh nee ad y gheyrey as nee nyn gooinsheanse hene, as ooilley sheshaght vannit Niau gymmyrkey feanlsh dy firrinagh nyn oï; as nee Creest yn Briw cairagh dy cairagh ad y gheyrey gys nearey as baase dy bragh farraghtyn.",,,11
"This sin of perjury Almighty God, by the prophet Malachy, doth threaten to punish sore; saying unto the Jews, I will come to you in judgment, and I will be a swift witness and a sharp judge upon sorcerers, adulterers, and perjured persons. Malac. iii.","Yn peccah shoh dy loo oaiagh ta Jee liorish y Phadeyr Malachi baggyrt dy cherraghey dy trome, gra rish ny Hewnyn, as higyms dy chion erriu gys briwnys; As beem’s my eanish gyere noi ny fir-obbee, as noi ocsyn ta brishey poosey, as noi ny looderyn-oaiagh. [Mal. iii. 5.]","Yn peccah shoh dy loo oaiagh ta Jee liorish y Phadeyr Malachi baggyrt dy cherraghey dy trome, gra rish ny Hewnyn, as higyms dy chion erriu gys briwnys; As beem’s my eanish gyere noi ny fir-obbee, as noi ocsyn ta brishey poosey, as noi ny looderyn-oaiagh.",,,11
"Which thing to the prophet Zachary God declareth in a vision; wherein the Prophet saw a book flying, which was twenty cubits long, and ten cubits broad;","Ny reddyn cheddin ren Jee soilshaghey da’n Phadeyr Zachary ayns ashlish (Zech. v. 1.) ayn honnick yn Phadeyr lioar skianagh-etlagh, yn lhiurid echey va feed cubit, as y lheead echey jeih cubityn;","Ny reddyn cheddin ren Jee soilshaghey da’n Phadeyr Zachary ayns ashlish (Zech. v.) ayn honnick yn Phadeyr lioar skianagh-etlagh, yn lhiurid echey va feed cubit, as y lheead echey jeih cubityn;",,,11
"God saying then unto him, This is the curse that shall go forth upon the face of the earth, for falsehood, false swearing, and perjury: and this curse shall enter into the house of the false man, and into the house of the perjured man, and it shall remain in the midst of his house, consume him, and the timber and stones of his house. [Zechar. v.][14] ","Eisht dooyrt Jee rishyn, “Shoh yn mollaght ta goll magh harrish slane eaghtyr y thallooin; son bee dy chooilley vaarliagh er ny yiarey[15] jeh, as bee dy chooilley unnane ta goaill loo-oaiagh er ny yiarey jeh, ver-ym lhiam magh eh, ta’n Chiarn dy ghra, as hed eh stiagh ayns thie yn vaarliagh, as ayns y thie echeysyn ta loo dy foalsey liorlsh my ennym’s, as nee eh tannaghtyn ayns mean e hie, as ver eh naardey eh marish yn fuygh echey, as marish ny claghyn echey.” [Zech. v. 2–4] ","Eisht dooyrt Jee rishyn, “Shoh yn mollaght ta goll magh harrish slane eaghtyr y thallooin; son bee dy chooilley varliagh er ny yiarey[15] jeh, as bee dy chooilley unnane ta goaill loo-oaiagh er ny yiarey jeh, ver-ym lhiam magh eh, ta’n Chiarn dy ghra as hed eh stiagh ayns thie yn vaarliagh, as ayns y thie echeysyn ta loo dy foalsey liorlsh my ennym’s, as nee eh tannaghtyn ayns mean e hie, as ver eh naardey eh marish yn fuygh echey, as marish ny claghyn echey.","[14] Reference in 1817.
[15] er ny yiarey] giarit in the Manx Bible. Apart from some abbreviation, the quotation here otherwise is exact.",,12
"Thus you see, how much God doth hate perjury, and what punishment God hath prepared for false swearers and perjured persons.","Myr shoh ta shiu fakin cre’n dwoaie t’ec Jee er loo-oaiagh, as cre’n kerraghey t’eh er charail cour lheid as ta goaill eh.",,,,12
"Thus you have heard how and in what causes it is lawful for a Christian man to swear; ye have heard what properties and conditions a lawful oath must have, and also how such lawful oaths are both godly and necessary to be observed:","Myr shoh ta shiu er chlashtyn cre’n aght, as cre’n oyr t’eh lowal da Creestee dy loo; ny breearraghyn lowal chammah ymmyrchagh as casherick.",,,,12
"ye have heard, that it is not lawful to swear vainly, that is, other ways than in such causes, and after such sort, as is declared.","Ta shiu er chlashtyn nagh vel eh lowal dy loo ayns aght fardailagh. Ta shen er aght ny er oyr erbee elley agh nyn lheid as ta er ve soilshit diu, ",,,,12
"And finally, ye have heard how damnable a thing it is, either to forswear ourselves, or to keep an unlawful and unadvised oath.","as er jerrey, ta shiu er chlashtyn cre’n red mollaghtagh eh dy ghoaill loo- oaiagh, ny dy reayll loo eddrym as neu-lowal.",,,,12
"Wherefore let us earnestly call for grace, that all vain swearing and perjury set apart, we may only use such oaths as be lawful and godly, and that we may truly without all fraud keep the same, according to God’s will and pleasure.","Shen-y-fa lhig dooin dy jeean geam son grayse dy vod dy chooilley loo-oaiagh as fardailagh ve currit veih ny mast’ ain, as dy vod mayd jannoo ymmyd jeh breearraghyn lowal as casherick, as dy vod mayd dy firrinagh as fegooish molteyrys freayll yn chooid cheddin cordail rish aigney Yee. ",,,,12
"To whom, with the Son, and Holy Ghost, be all honour and glory. Amen","Huggeysyn marish y Mac, as y Spyrryd Noo, dy row dy chooilley ooashley as gloyr. Amen.","Huggeysyn marish y Mac, as y Spyrryd Noo, dy row dy chooilley oosahley as gloyr. Amen.",,,12
,"London: Printed by Ellerton and Henderson, Johnson’s Court and Gough Square, for the Prayer-Book and Homily Society; and sold at the Society’s House, Salisbury Square.",,,,12
,Price 1d.; or 5s. per hundred.,,,,12
,,,,,
