Manx,English,Manx Original,Notes
"Tra ta shin gerjagh y cheilley, lhig da ve gerjagh Yee ta shin coyrt. ","When we comfort each other, let it be God’s comfort that we give.",,
Cha vel ain ny smoo dy chraueeaght ec traa erbee na ayns earrish dy hrial. ,At no time do we have more religion than in time of trial.,,
My ta jee cummal aynym lhig dooin briagh jeh dy reayl yn thie glen. ,"If God dwells within us, let us ask him to keep the house clean.",My ta jee commal aynym lhig dooin briagh jeh dy reayl yn thie glen. ,
Ta aigney spyrrydoil as aggle casherick ayns dty ventyn rish olk. ,A spiritual mind and holy fear in your relationship with evil.,,
"Ny ta Jee geam erriu dy yannoo, nee Eh cur lesh shiu trooid. ","That which God calls on you to do, He will bring you through.",,
"Lhig dooin gloyraghey sy crosh, tra ta deiney goaill voin dy chooilley gloyr elley. ","Let us glorify in the cross, when men take every every glory from us.",,
Cha vel pooar erbee ec yn vaase dy scarrey ayns lughtthie Yee. ,Death has no power to divide in God’s family.,,
"Lhig dou gobbragh dy jeshagh lesh my ghaa laue, ta beaynid tayrn er gerrey. ","Let me work smartly with my my two hands, eternity draws close.",,
"Shen ny ta jannoo boggey dou, cha vel eh ny ta mee geddyn agh shen ny ta mee. ","That which makes joy for me, is not that which I am receiving but that which I am.",,
Nagh bee shiu ro gheyre ayns nyn mriwnys son foddee shiu ve briwnysit geyre. ,Do not be too severe in your judgement because maybe you will be judged severely.,,
She yn çhibbyr veih ta’ strooanys dy vaynrys firrinagh çheet. ,It is the well from which a streaming of true happiness comes.,,
"T’eh ny share dy ve marroo ayns cooish vie, ny dy gheddyn barriagh ayns drogh chooish. ",It is better to be dead in a good matter than to be victorious in a bad matter.,,
"Cha vel shee Yee ynrican red ennagh dy geddyn baase lesh, agh dy ve ain ayns nyn mea. ","God is not only something to die with, but to be ours in our lives.",,
"Ta shin laccal yn spyrryd, cha nee dy chooney lhien dy gholl ass yn seihll, agh ayns yn seihll. ","We lack the spirit, not to help us to go out of the world, but in the world.",,
"Jean shiu yn shirveish echeysyn nyn daitnys, as nee eshyn jannoo ny femeyn euish y chiarail. ","Make his service your pleasure, and he will make your needs his care.",,
Cha vel bea dy bragh meehaitnysagh da comraag Yeesey. ,A life is never unenjoyable for a compainion of Jesus.,,
Cooin lhiam Hiarn dy chur seose my chosney gys shirveish dy ghraih. ,Help me Lord to give up my earnings to the service of love.,,
Tra ta soilshey Yee ersooyl ta soilshean greiney share  dorraghys. ,"When God’s light has gone, sunlight is better than darkness.",,
Ynsee shiu dy screeu ennym Yee ayns ooilley ynnydyn nyn mea. ,Learn to write God’s name in all places in your lives.,,
Ta gloyr yn spyrryd y phooar dy hoilshaghey Eh-hene ayns reddyn beggey. ,The glory of the spirit is the power to explain Himself in little things.,,
Cha vel niart erbee ayns yn seihll cha gloyroil as niart Graih Yee. ,There is no might in the world as glorious as the might of God’s Love.,,
Ta slane jurnaa yn chredjueagh er ny hoiagh magh da.,The entire journey of the believer is set out for him.,,
"Hiarn, saue mee voish my peccaghyn ta gyllagh ad hene beg. ","Lord, save me from my sins that call themselves small.",,
"Ny cappanyn sharroo va shin streeu dy phuttey ersooyl vooin, ta cummal yn medshyn smoo va shin ayns feme jeh. ",The bitter cups we were striving to push away from us hold the greatest medicine that were in need of.,,
"Bee shiu jeant magh lesh shen ny ta eu, gyn dy bragh lesh shen ny ta shiu. ","Be satisfied with that which you have, not forever with that which you have.",,
Yn un red va Chreest taggloo mygeayrt-y-mysh va’n vea veayn. ,The one thing Christ was talking about was eternal life.,,
"Ta shiu gra cha vel eh shicker ayns credjue, vel shiuish shicker ayns graih. ","You say he isn’t secure in faith, are you secure in love?",,
"Cha vel eh red eddrym dy ve er ny hauaill, t’eh feme jeh grayse ooilley niartal. ","It is not a trivial thing being saved, it requires almighty grace.",,
"Son dy chooilley nhee ta imbagh cooie, as cha nee shoh yn traa son gloyr.","For everything there is a suitable season, and this is not the time for glory.",,
"My ta shin neareydagh nish, cre neemayd jannoo ayns laa ny briwnys. ","If we are ashamed now, what will we do in the day of judgement?",,
Obbyr jeant ayns Jee yn obbyr nee shassoo yn aile. ,Work done in God is the work that will stand the fire.,,
Cha vod shiu goaill shibbyr marish yn Ree fegooish yn garmad banshey. ,You cannot take supper with the King without your wedding (best)  clothes.,,
Nee graase (???)[21] magh yn peccah. cha jean eh commeeys marish. ,"Grace will ??? out sin, it won’t partner up with it.",,"[21] There seems to be a missing word here. Perhaps geiyrt, ‘driving’?"
"Liorish geddyn gah son un foill elley, ta dooinney graysoil gynsagh dy haghney foill elley. ","After getting a sting for one more fault, a graceful man learns to avoid another fault.",,
Cha vod dooinney erbee jannoo lane assee da’n ghoo mie eu agh shiu hene. ,"No man can do much harm to your good name, except yourself.",,
Cha vod shiu jannoo mie da sleih elley fegooish jannoo mie diu hene. ,You cannot do good to other people without doing good for yourself.,,
My ta’n Jouyl er leaystey shiu ny chadley brie shiu jeh Jee dy hyndaa harrish yn clean. ,If the Devil has rocked you to sleep ask God to turn over the cradle.,,
Ta ny pabberyn skeeal dy chooilley jeeaghyn dy vel raad ny drogh-yantee doillee; Jean shiu baghey da Jee. ,The papers (pages) of a story are all showing that the way of the sinner is difficult; Live for God.,,
Cum shiu nyn sooill er yn rolage twoaie. ,Keep your eye on the North Star.,,
"Ny jean shiu dy bragh paardail roosyn ta shiu graihagh orroo fegooish focklyn graihagh, foddee nagh jean shiu meeiteil ad reesht. ","Never part from those you love without loving words, maybe you won’t meet them again.",,
“My ta Jee ayns shoh cha lhiass dou goaill aggle.” Dooyrt shenn ven treoghe ayns e thie beg ny lomarcan. ,“If God is here I don’t need to fear.” said an old widow alone in her little house.,,
"Yn aght share dy chooinaght er Jee, t’eh dy yarrood shin hene. ","The best way to remember God, is to forget ourselves.",,
Ta peccaghyn sthampit fo-chosh jannoo aarey dy chlamberagh gys Niau. ,Sins stamped beneath a cross make a ladder to climb to Heaven.,,
"Dooinney nagh vel creeney ayns e obbraghyn, cha vel eh creeney ayns e chredjue. ","A man who isn’t wise in his deeds, he isn’t wise in his faith.",,
Ta uinnagyn Niau fosley er jeushanyn dy graih. ,The windows of Heaven open on hinges of love.,,
"Yn preaçhoor ta jannoo taitnys da deiney, t’eh myrgeddyn stroieder ammeeyn. ","The preacher who makes enjoyment for men, he is also a destroyer of souls.",,
Yeerree shiu dy yannoo cairagh. ,Yearn to act fairly.,,
Yn voghtnid smoo; dy ve ayns aggle jeh boghtnid yn annym. ,The greatest poverty; to be in fear of the poverty of the soul.,,
Cha vel asslayntyn dy bragh çheet gys Chreesteeyn fegooish geeck mie son nyn aagh. ,Infirmities never come to christians without paying well for their lodging.,,
T’eh ny share dy ve coonit ayns padjer yn dooinney mie na ayns çhymney dooinney berçhagh. ,It is better to be remembered in the good man’s prayer than in a rich man’s will.,,
Foddee oyr dy peccah ve seaghyn trooid slane nyn mea. ,A reason for sin may be  a sorrow through our whole life.,,
Ta’n reih sharmane jannoo adsyn ta clashtyn smooinaghtagh as yeearree dy ve ny lomarcan. ,The choice sermon makes those who hear thoughtful and yearning to be alone.,,
Nee yn irriney ta cummal aynin solshean magh ayns nyn mea. ,The truth that dwells within us will shine out in our lives.,,
Reih shiu eshyn son carrey ta greinagh shiu gys obbraghyn mie. ,Choose he for a friend who rouses you to good deeds.,,
"Ayns ymmydee padjeryn va goan Samuel, Clash Hiarn son ta dty harvaant loayrt. ","The words of Samuel were in many prayers, “Hear Lord for your servent speaks.”",,
Ny jean shiu scuirr dy phrayal er yn oyr nagh vel yn ree coyrt ansoor tappee. ,Do not cease to pray for the reason that the king does not send a quick answer.,,
Bee mayd ayns feme dy ve cummalit liorish grayse er gys bee mayd sthie ayns glooyr. ,We will need to be held by grayse until we will be inside in glory.,,
"Ta cordail da noo mayrt, nagh vod monney reddyn shassoo noi.","You have the manner of a saint, so not many things stand against it.",,
Myr ta shiu jerkal dy ve er ny ymmyrkey lesh shiu hene jean shiu gymmyrkey lesh sleih elley. ,"As you expect to be tolerated yourselves, tolerate over people.",,
Tra ta Yeesey çheet lesh pardoon t’eh cur lesh ooilley ny grayseyn marish. ,When Jesus comes with a pardon he brings all the graces with him.,,
She graih Yee ynrican foddee choyrt ersooyl graih peccah.,Only God’s love  can take away the love of sin.,,
"Smooinnee shiu ayns nyn aigney er graih yindyssagh Yee, ayns sauail cloan ghooinney caillit ta Chreest çheet stiagh ayns annym dooinney goll-rish fer ta’n varriaght echey, tra ta ny ogheryn livreyit da. ","Consider God’s wonderful love in your minds, in saving the lost children of mankind Christ comes into a man’s soul like one who is victorous, when the keys are delivered to him.",,
"Nee ny paagaghyn ain cheet gys jerrey, foddey roish bee thie stoyr Yee er ny olmagh. ","Our kisses will come to an end, long before God’s store house will be opened.",,
“Cre my nee my Vainshter çheet as gheddyn mee ny haue?” dooyrt Calvin. ,“What if my Master comes and finds me idle?” said Calvin.,,
Yn olk ta dy ve er ny haghney roish ooilley; dy ve blah-hiass.,The evil that is to be avoided before all; to be lukewarm.,,
Cuirr shiu yn raas dy ghiastyllys as nee shiu buin yn mess jeh graih. ,Sow the seed of charity and you will reap the fruit of love.,,
Cha vel screeuyn firrinagh jeh Chreest screeut lesh ink nagh vod ve fakinit. ,The true letter of Christ is not written with invisible ink.,,
T’eh yn ghraih chair dy chur dwoaie da shen ny ta stroie anmeeyn. ,Righteous love hates that which destroys souls.,,
Ta slane sushtal cour share son shaghrnys veih yn credjue na argaaney.,The entire gospel is a better cure for heresey than arguing.,,
