English,Manx,Notes,Page,English Original,Manx Original
For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.,[MS 1 Thessalonians 5.2] Son ta thoiggal eu hene dy slaane dy vell Laa yn Chiarn chit casley rish Maarlagh ’syn oie.,thoiggal […] slaane] fys dy mie eu hene; vell] vel; Laa yn] Laa’n; chit] cheet; casley rish] myr; Maarlagh] Mearlagh,12,,
"For when they shall say, Peace and safety; then sudden destruction cometh upon them, as travail upon a woman with child; and they shall not escape.","[MS 1 Thessalonians 5.3] Son tra jirrys ad, Shee, as Sauchys; esht doaltattym ta Chourt-mou chit orroo myr troail er Ben thorragh; as cha jen ad scapail.","jirrys ad] jirr ad; doaltattym […] thorragh] hig toyrt-mow orroo doaltattym, myr ta pianyn cheet er ben tra t’ee er-troailt; jen] jean",12,,
"But ye, brethren, are not in darkness, that that day should overtake you as a thief.","[MS 1 Thessalonians 5.4] Agh cha vell shiuish, Vraaraghyn, ayns Dorraghys [13] Dy jinnagh y Laa shen berraghtyn erriu myr Maarlagh.",,12,,
"Ye are all the children of light, and the children of the day: we are not of the night, nor of darkness.","[MS 1 Thessalonians 5.5] Ta shiuish ooilley Chloan y thoiljey, as Chloan y Laa: cha vell shin jeh’n [Dorraghys] Oie, ny jeh’n Dorraghys.",Chloan y thoiljey] cloan y toilshey; Chloan y Laa] cloan [L underlined]; vell] vel; shin] shinyn; [Dorraghys] [deleted],13,,
"Therefore let us not sleep, as do others; but let us watch and be sober.",[MS 1 Thessalonians 5.6] Shen-y-faa nagh lig dhooin [chadley] myr ta Slei elley; cadley myr ta feallagh elley; agh lig dhooin ve dhooisht & Sheelt.,[chadley] [inserted by prima manus]; Shen-y-faa […] elley] Ny lhig dooin-yn [>dooin] er-y-fa shen cadley; Slei] feallagh; dhooin ve] dooin ve;  dhooisht] dooishtagh > er nyn arrey; &] as ,13,,
For they that sleep sleep in the night; and they that be drunken are drunken in the night.,"[MS 1 Thessalonians 5.7] Son ta adsyn ta Chadley, Chadley ’syn oie; as ta adsyn ta er meshtey, er meshtey ’syn oie.","ta adsyn ta Chadley, Chadley] t’adsyn ta cadley, cadley; ta adsyn ta er] t’ adsyn t’ er",13,,
"But let us, who are of the day, be sober, putting on the breastplate of faith and love; and for an helmet, the hope of salvation.","[MS 1 Thessalonians 5.8] Agh lig dhooin ta jeh’n Laa, ve Sheelt, choyrt orryn yn breast-plate dy Chredjiu & Graih, as son Ealey-cagee, yn Threisteil dy Hawaltys.",dhooin] dooin-yn > dooinyn; Chredjiu] Chredjue; &] as dy [dy deleted]; Ealey-] Bayrn-; Threisteil] treisteil; Hawaltys] Haualtys,13,,
"For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ,","[MS 1 Thessalonians 5.9] Son ha vell Jee er pointeil shin dys Corree; agh dy chosney Sawaltys liorish nyn Chiarn Yeesey Creest,",ha vell] cha vel; Sawaltys] Saualtys; Chiarn] Jiarn,13,,
"Who died for us, that, whether we wake or sleep, we should live together with him.","[MS 1 Thessalonians 5.10] Qui whoor baase er nyn son, lig dhooin ve dhooish ny Chadley, dy vudagh shin ve bioa cudjaght mârishyn.",Qui whoor] Hur; lig […] Chadley] eddyr shin ve dooisht ny nyn gadley; dy vudagh shin] vod mayd [deleted] shin; bioa] bio; cudjaght] cooidjagh,13,,
"Wherefore comfort yourselves together, and edify one another, even as also ye do.","[MS 1 Thessalonians 5.11] Shen-y-faa Gerjee shiu hene, as ynsee shiu yn derrey yeh yn jeh elley, dy jarroo myr ta shiu dy yannoo.","Shen-y-faa] Shen-y-fa; Gerjee […] ynsee shiu] cur jee gerjagh diu hene > jean-jee gerjaghey shiu hene, as niartaghey",13,,
,[14],,14,,
"And we beseech you, brethren, to know them which labour among you, and are over you in the Lord, and admonish you;","[MS 1 Thessalonians 5.12] As ta shin guee erriu, Vraaraghyn, dy ghoaill toigal jewsyn ta Laboraght ny masth eu, as ta haristiu ayns y Chiarn, as Choarlaghey shiu;",ghoaill toigal jewsyn] choyrt enney orroosyn > geïl dauesyn; Laboraght] Laboragh; ny masth eu] nyn mast’eu; haristiu] harrishtoo; Choarlaghey] coyrlaghey,14,,
And to esteem them very highly in love for their work's sake. And be at peace among yourselves.,"[MS 1 Thessalonians 5.13] As dy yannoo Soiaghey moar jew ayns Graih, er coondey yn Obbyr ock: As bee jee ayns Shee ny vod ew hene.",Soiaghey] ard Soiagh; moar jew] jeu; coondey] coontey; yn Obbyr ock] nyn Obbyr; ayns Shee] ec Shee; ny vod ew hene] nyn mast’eu hene,14,,
,,,14,,
"Now we exhort you, brethren, warn them that are unruly, comfort the feebleminded, support the weak, be patient toward all men.","[MS 1 Thessalonians 5.14] Nish ta shin guee erriu, Vraaraghyn, cur jee Raw dawsyn ta mee-reiltagh, gerjee adsyn ta anoon ayns nyn Agney, coon-jee lesh ny Anoonee, bee jee surransagh da dy chooilley Ghooinney.","Raw] Raue; gerjee […] Agney,] jean-jee gerjaghey adsyn ta lhag-creeagh;; coon-jee lesh ny Anoonee] ymmyrk-jee lesh ny hannooinee; da] rish; Ghooinney] [G underlined]",14,,
"See that none render evil for evil unto any man; but ever follow that which is good, both among yourselves, and to all men.","[MS 1 Thessalonians 5.15] Jeeagh, nagh jen veg jiu choleeney Olk son Olk rish Dhooiney erbee: agh dy braagh eiyr-jee er shen ta mie, chamma nyn masth ew hene, as da dy chooilley Ghoinney.",jen] jean; jiu] eu; choleeney] cooilleeney; rish] da > da; Dhooiney] dooinney; braagh] bragh; masth] mast’; da] rish; Ghoinney] Ghooinney,14,,
Rejoice evermore.,[MS 1 Thessalonians 5.16] Jen jee dy braagh Buggey y ghoaill.,Jen […] ghoaill] Gow-jee dy-bragh boggey,14,,
Pray without ceasing.,[MS 1 Thessalonians 5.17] Gow-jee Padjyr fagooish scuir.,fagooish scuir] dy kinjagh,14,,
In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,[MS 1 Thessalonians 5.18] Ayns daagh Nee chur jee booise: son shoa Agney Yee ayns Chreest Yeesey myn kion eu.,daagh Nee chur jee] dagh stayd cur-jee; shoa] shoh; Agney] Aigney; Chreest] Creest; myn kion eu] my-chione eu,14,,
Quench not the Spirit.,[MS 1 Thessalonians 5.19] Nagh jen yn Spyrrid y mooghey.,Nagh […] mooghey.] Ny jean-jee yn Spyrryd y vooghey.,14,,
Despise not prophesyings.,[MS 1 Thessalonians 5.20] Nagh soi jee beg jeh Phadeyrys.,Nagh] Ny; soi] [deleted]; beg jeh] beg y hoiaghey jeh,14,,
Prove all things; hold fast that which is good.,[MS 1 Thessalonians 5.21] Prow-jee dy chooilley Nee: lian jee gys shen ta mie.,lian] lhian; lhian jee gys] cum-jee shickyr,14,,
Abstain from all appearance of evil.,[MS 1 Thessalonians 5.22] Freil jee shiu hene veih yn eer Chaslys dy Olkys.,veih yn eer] shiu hene veih dy chooilley,14,,
And the very God of peace sanctify you wholly; and I pray God your whole spirit and soul and body be preserved blameless unto the coming of our Lord Jesus Christ.,"[MS 1 Thessalonians 5.23] As dy jen yn eer Jee dy Hee shiu y chasherickey dy slaane: As ta me guee er Jee dy be yn Slaane Spyrid [15] As annym, & Challyn, er ny reeayll gyn fooaill, gys cheet ny Chiarn Yeesey Chreest.",jen] jean; yn eer] [deleted]; Jee dy] Jee hene dy; shiu y] shiu dy slaane y; dy slaane] [deleted]; er Jee] gys Jee; be yn] bee’n; Spyrid] Spyrryd; Challyn] callin eu; fooaill] loght; cheet] cheet; Chiarn] Jiarn; Chreest] Creest,14,,
"Faithful is he that calleth you, who also will do it.","[MS 1 Thessalonians 5.24] Firrinagh t’eh, ta dy emagh erriu, qui nee Coleeney ah myrgeddin.","t’eh, ta dy emagh] t’eshyn ta geamagh; qui] [deleted]; Coleeney] myrgeddin; ah myrgeddin] shen y chooilleeney",15,,
"Brethren, pray for us.","[MS 1 Thessalonians 5.25] Vraaraghyn, gow jee Padjyr er nyn son.",,15,,
Greet all the brethren with an holy kiss.,[MS 1 Thessalonians 5.26] Cur jee Paag Casherick da ooilley nyn Mraaraghyn.,Cur […] Mraaraghyn] Jean-jee ooilley ny braaraghyn y vannaghey lesh paag [>lesh y paag] dy hee,15,,
I charge you by the Lord that this epistle be read unto all the holy brethren.,"[MS 1 Thessalonians 5.27] Ta me chur y Churrym shoa erriu liorish y Chiarn, dy bee ny Scriuyn shoa er ny lhai da ooilly ny Braaraghyn casherick.",me] mee; chur y Churrym shoa] cur currym; bee ny] bee’n; Scriuyn] Screeyn; lhai] lhaih,15,,
The grace of our Lord Jesus Christ be with you. Amen.,[MS 1 Thessalonians 5.28] Graayse nyn Chiarn Yeesey Chreest dy row mêrriu. Amen.,Chiarn] Jiarn; mêrriu] mêriu,15,,
,,,15,,
,Yn naa Scruyn Paul yn Ostyl gys ny Thessalonianee.,,15,,
,Cab. I.,,15,,
"Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ:","[MS 2 Thessalonians 1.1] Paul, as Silvanus, as Timotheus, gys Aglish ny Thessalonianee, ayns Jee nyn Ayr, as y Chiarn Yeesey Chreest:",Chreest] Creest,15,,
"Grace unto you, and peace, from God our Father and the Lord Jesus Christ.","[MS 2 Thessalonians 1.2] Graase & Shee dy rou eu, veih Jee nyn Ayr & y Chiarn Yeesey Chreest.","Graase &] Graase dy row hiu as; dy rou eu,] [deleted]; veih] vooish; Chreest] Creest",15,,
"We are bound to thank God always for you, brethren, as it is meet, because that your faith groweth exceedingly, and the charity of every one of you all toward each other aboundeth;","[MS 2 Thessalonians 1.3] Ta shin kainlt dy chourt booise gys Jee dy braagh er ny son eu, Vraaraghyn, myr the cooie, [16] Er yn oar dy vell y Chredjiu ew gaase er skin thouse as Giastyllys dagh anaane da y chielley bisshaghey:",chourt] choyrt; booise gys Jee dy braagh] booise kinjagh gys Jee; er ny son] er nyn son; the] te; Er yn oar] son; vell] vel; Chredjiu ew] Chredjue eu; gaase er skin thouse] cheet-er-ash dy breeoil > ny smoo as ny smoo; Giastyllys […] bisshaghey] graih dagh unnane eu dy-cheïlley bishaghey,15,,
So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure:,"[MS 2 Thessalonians 1.4] Myr shen dy vell shin gloaraghey shin hene aundiu ayns Kiolteenyn Yee, son y Meenid & Credjiu ew, ayns ooilley yn Seoghyn & Arkys ta shiu surrance.",vell] vel; shin] shin hene; gloaraghey shin hene aundiu] boggyssagh ayns y lieh eu; son y] er oyr y [deleted]; ew] eu; ooilley yn] ooilley’n; Seoghyn & Arkys] tranlaase as y seaghyn; surrance] dy hurrance,16,,
"Which is a manifest token of the righteous judgment of God, that ye may be counted worthy of the kingdom of God, for which ye also suffer:","[MS 2 Thessalonians 1.5] Cre ta Cowrey [?] jeh Briwnys cairagh Yee, dy vod shiu ve coondit few jeh Reereaght Yee, er ny son ta shiu myrgheddin surrance:",Cre ta] Ta; [?]] cronnail; Briwnys] [B underlined]; coondit] coontit; few] feeu; Reereaght] Reeriaght; ny son] y hon; myrgheddin] myrgeddin; surrance] surranse,16,,
Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;,[MS 2 Thessalonians 1.6] Fackin dy vell ah Ryd cairagh marish Jee dy cholleeney Seoghyn dawsyn ta dy heoghyney shiu.,Fackin] Fakin; vell] vel; ah] eh; Ryd] Red [R underlined]; cholleeney] chooilleeney; Seoghyn] Seaghyn; dawsyn] dauesyn; dauesyn […] shiu.] orroosyn ta jannoo tranlaase erriu;,16,,
"And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels,","[MS 2 Thessalonians 1.7] As diuish ta seoghynit, Fea marrynyn, tra veis y Chiarn Yeesey er ny hoiljaghey veih Niau marish y Ainlyn niartal,","seoghynit] seaghynit; marrynyn,] mâryn,; veis] vees; hoiljaghey] hoilshaghey",16,,
"In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:","[MS 2 Thessalonians 1.8] Ayns Aile loshtee coleeney Kerraghey orroosyn ooilley nagh vell enn ock er Jee, as nagh vell chourt Bialys da Sushtal nyn Chiarn Yeesey Chreest:",coleeney] cooilleeney; Kerraghey] [K underlined]; vell] vel; Enn] Enney; Enney ock er] goaill-rish; vell] vel; chourt] choyrt; Biallys] [B underlined]; Chiarn] Jiarn; Chreest] Creest,16,,
"Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power;","[MS 2 Thessalonians 1.9] Qui veis er nyn gerraghey lesh Chourt mou dy bragh farraghtyn veih Feanish y Chiarn, as veih Gloayr y Phoore;","Qui veis] Vees; Chourt mou] toyrt-mow; Feanish] fenish; Gloayr] gloyr; y Phoore] e phooar,",16,,
"When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day.",[MS 2 Thessalonians 1.10] Tra veis eh er ny gloaraghey ayns y Nooghyn [17] As Yindis ghoit jeh owndoosyn ooilley ta chredjal (er yn oar dy row yn Recourtys ayn er ny chredjal) ayns y Laa shen.,veis] vees; vees eh] hig eh dy ve; gloaraghey] ghoyraghey [sic]; y Nooghyn] e Nooghyn; As Yindis […] ooilley] as dy ve [inserted: er y laa shen] shilley yindyssagh ayndoosyn ooilley; ta chredjal] ta credjal; ta credjal (er] ta credjal ayns y laa shen (er [deleted]; oar] oyr; row yn] row’n; Recourtys] recortys; ayn] ainyn nyn mast’eu; ayns y Laa shen] [deleted],16,,
"Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfil all the good pleasure of his goodness, and the work of faith with power:","[MS 2 Thessalonians 1.11] Shen-y-faa myrgheddin ta shin dy braagh ghoaill Padjyr er ny son eu, dy guid seue lesh nyn Yee dy coondey shiu feu jeh’n Eme shoa, as dy choleeney ooilley yn Agney mie jeh y Vyis, as yn Obbyr dy Chredjiu lesh Poore.","faa] fa; myrgheddin] [deleted]; dy braagh ghoaill] myrgeddin dy kinjagh goaill; ny son eu] nyn son eu; dy guid seue lesh nyn Yee] dy gooidsaue lesh nyn [deleted] y Jee ain; coondey] coontey; Eme shoa,] eam shoh,; choleeney] chooilleeney; y Vyis] y Vyis; yn Agney […] Vyis] aigney mie e Vieyss [> Vieys]; Chredjiu] Chredjue; Poore] Phooar",17,,
"That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ.","[MS 2 Thessalonians 1.12] Dy voddagh Ennyn [sic] nyn Jiarn Yeesey Chreest ve er ny Ghloaraghey ayndiuish, & shiuish aynsyn, cordail rish grayse nyn Yee & as y Chiarn Yeesey Chreest.",voddagh] vodd; Chreest] Chreest; ve er] v’er; Ghloaraghey] ghloyraghey; Graase] Grayse [prima manus]; Chreest] Chreest,17,,
,Cab. II.,,17,,
"Now we beseech you, brethren, by the coming of our Lord Jesus Christ, and by our gathering together unto him,","[MS 2 Thessalonians 2.1] Nish ta shin guee erriu, Vraaraghyn, liorish Chit nyn Chiarn Yeesey Chreest, as liorish nyn Chiaglym cooidjaght huggysyn,",Chit] cheet; Chreest] Chreest; Chiaglym] jiaglym; huggysyn] huggeysyn,17,,
"That ye be not soon shaken in mind, or be troubled, neither by spirit, nor by word, nor by letter as from us, as that the day of Christ is at hand.","[MS 2 Thessalonians 2.2] Nagh be shiu dy leea Craiyt ayns Agney, ny Seoghynit, chamoo liorish Spyrryd, ny Goo, myr dy beagh eh voinyn, myr dy vell Laa Chreest ek Lau.","leea Craiyt ayns Agney] lea er nyn lhaggaghey ayns aigney; Seoghynit] Seaghynit > Seaghnit; Goo, myr] Goo, ny liorish screeyn, myr; dy beagh eh] [deleted]; vell] beagh; ek Lau] ec laue > ergerrey",17,,
"Let no man deceive you by any means: for that day shall not come, except there come a falling away first, and that man of sin be revealed, the son of perdition;","[MS 2 Thessalonians 2.3] Nagh lig da Dooiney erbee shiu y Volley liorish Saasyn erbee: Son cha jig y Laa shen, mannagh jig hoshiaght [18] Thuttym ersooil (suppose (Veih’n Chredjiu) were added) as y Dhooiney shen dy Pheccah ve er ny hoiljaghey, yn Mack dy Choal Anmey: (or Mack cailjey)",Nagh] Ny; lig] lhig; erbee shiu] erbee liorish saasyn erbee shiu; Thuttym […] added)] tuittym ersool {veih’n chredjue}; y Dhooiney […] hoiljaghey] dy bee’n dooinney shen dy Pheccah er ny hoilshaghey; Choal Anmey:] hoyrt-moo; (or Mack cailjey)] [deleted],17,,
"Who opposeth and exalteth himself above all that is called God, or that is worshipped; so that he as God sitteth in the temple of God, shewing himself that he is God.","[MS 2 Thessalonians 2.4] Qui ta shasoo noai & troggal eh hene er-skin ooilley ta enmissit Yee, ny Ooashley er ny chourt da; myrsen dy vell eshyn myr Jee soie ayns Chiamble Yee, jeaghyn eh hene dy vell eh Jee.","shasoo noai &] soiaghey eh hene seose noi, as; er-skin] er-skyn; Ooashley […] da] ta er ny ooashlaghey; vell eshyn] vel eshyn; jeaghyn […] Jee] goaill er hene dy ve Jee",18,,
"Remember ye not, that, when I was yet with you, I told you these things?","[MS 2 Thessalonians 2.5] Nagh vell Cooniaghtyn, tra va me foast mêriu dy dinsh mee ny Neeaghyn shoa diu?","vell] vel; Cooniaghtyn,] Cooniaghtyn eu,; ny Neeaghyn shoa diu?] diu ny reddyn shoh?",18,,
And now ye know what withholdeth that he might be revealed in his time.,"[MS 2 Thessalonians 2.6] As nish [ta fys eu] cre ta comrail, dy beagh eh er ny hoiljaghey ayns y traa echey hene.",nish cre] nish ta fys eu cre [prima manus]; dy beagh eh er ny hoiljaghey] eh dy ve er ny hoilshaghey,18,,
"For the mystery of iniquity doth already work: only he who now letteth will let, until he be taken out of the way.","[MS 2 Thessalonians 2.7] Son ta’n Folliaght dy Mechairis hanna gobbraghey agh eshin ta lettal (nee eh lettal), derrey veis eh goit ersoole ass y raad.",Mechairis] vee-chraueeght [sic]; hanna] hannah; ta lettal] ta nish lettal; lettal] liettal; lettal] liettal; veis] vees; ersoole] [underlined],18,,
"And then shall that Wicked be revealed, whom the Lord shall consume with the spirit of his mouth, and shall destroy with the brightness of his coming:","[MS 2 Thessalonians 2.8] As esht veis y Mechairis shen er ny hoiljaghey, Qui nee yn Chiarn y chourt mou lesh Ennal e Veil as stroie lesh Sollys y Cheit echey:","veis […] shen] vees y fer peccoil shen; hoiljaghey,] hoilshaghey,; Qui] eh; nee yn] nee’n; chourt] choyrt; choyrt mou lesh] stroie > choyrt mow liorish; Veil] veall; Sollys y Cheit echey] soilshey gloroil y cheet echey",18,,
"Even him, whose coming is after the working of Satan with all power and signs and lying wonders,","[MS 2 Thessalonians 2.9] Dy jarroo eshin ta’n cheit echey cordail rish gobbraghey Satan, lesh dy chooilley Phoore, as Cowraghyn, as Yindyssyn breagagh,",Phoore] Phoore [moltereagh],18,,
"And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved.","[MS 2 Thessalonians 2.10] As lesh dy chooilley Voltearaght dy mechairys, [19] Ayndoosyn ta Cherraghtyn; er yn oar nagh soi ad beg jeh Graih yn Inrickys, dy voddagh ad ve er ny hawail.",Voltearaght] olsaght; mechairys] neu-chairys > neu-inrickys; Ayndoosyn] ayndoosyn; Cherraghtyn] [C underlined]; oar] oyr; ngh] nagh; soi ad beg jeh] ghow rish; ny] nyn; hawail] sauail,18,,
"And for this cause God shall send them strong delusion, that they should believe a lie:",[MS 2 Thessalonians 2.11] As er yn oar shoa ver Jee huck Molthearagh lajyr dy jinnagh ad breg y chredjal:,oar] oyr; Molthearagh] Molthearaght; Molthearaght] cleayn > molteyragh,19,,
"That they all might be damned who believed not the truth, but had pleasure in unrighteousness.","MS 2 Thessalonians 2.12] Dy vod [Mollaght] ad ooilley ve dhearit, nagh vell chredjal yn ynrickys, agh ghoail Thatnys ayns Neu-ynrickys","Mollaght] [deleted by prima manus]; ad] adsyn; dhearit,] deyrit; vell] ren; chredjal] credjal > chred; yn ynrickys] yn yrriney; ghoail] va; Thatnys ayns] Thatnys oc ayns",19,,
"But we are bound to give thanks alway to God for you, brethren beloved of the Lord, because God hath from the beginning chosen you to salvation through sanctification of the Spirit and belief of the truth:","[MS 2 Thessalonians 2.13] Agh ta shin kainlt dy chourt booise dy braagh er nyn son eu, Vraaraghyn, Graiagh jeh’n Chiarn, kindagh dy vell Jee veih’n thosiaght er roih shiu gys Sawaltys, throoid Casherickey yn Spyrrid, as Credjiu ayns yn ynrickys;","dy braagh] kinjagh da Jee; eu] [deleted]; Graiagh] [G underlined]; jeh’n] ayns y; kindagh] son; vell] vel; veih’n] er-dyn; roih] reïh; Sawaltys] Saualtys; Saualtys] [S underlined]; Casherickey] Casherickys; yn Spyrrid] y Spyrryd; Credjiu] Credjue; ayns yn ynrickys;] jeh’n irriney,",19,,
"Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ.","[MS 2 Thessalonians 2.14] Huggey dhei eh erriu liorish y Sushtal ayn, gys y Chosney jeh Ghloayr nyn Chiarn Yeesey Chreest.",dhei] deï; ayn] ainyn; y Chosney jeh Ghloayr] cosney gloayr; Chiarn] Jiarn; Chreest] Creest,19,,
"Therefore, brethren, stand fast, and hold the traditions which ye have been taught, whether by word, or our epistle.","[MS 2 Thessalonians 2.15] Shen-y-faa, Vraaraghyn, shass-jee shickyr, & jen jee liantyn dys yn Ynsaghey shen ta shiu er gheddin lig a ve liorish Goan, ny’n Scriuyn.","&] as; jen jee […] gheddin] cum-jee gys ny ordaghyn ta shiu er n’ynsaghey,; Scriuyn] screeyn aym",19,,
"Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace,","[MS 2 Thessalonians 2.16] Nish dy jen y Chiarn Yeesey Chreest e hene, as Jee, dy jarroo nyn Ayr, ta er chourt Graih dooin, [20] As er chourt dooin [Bea] Gerjaghey dy braagh farraghtyn, as Treishteil mie, throoid Graase,","jen] jean; Chreest] Creest; e hene] hene; chourt] choyrt; ta […] dooin,] t’er ny ve graihagh orrin,; er chourt dooin] [underlined]; Bea] Gerjaghey [prima manus] > Gerjagh; braagh] bragh; throoid] trooid; Graase] Grayse",19,,
"Comfort your hearts, and stablish you in every good word and work.","[MS 2 Thessalonians 2.17] Dy jen eh Gerjaghey nyn Gree, & shickyraghey shiu ayns daagh Goo & Obbyr mie.","Dy jen eh] [inserted by prima manus?]; Dy jen […] Gree,] Dy gerjee eh ny creeaghyn eu,; & shickyraghey shiu] as shiu y niartaghey; daagh Goo] dy chooilley ghoo",20,,
,Chab. III.,,20,,
"Finally, brethren, pray for us, that the word of the Lord may have free course, and be glorified, even as it is with you:","[MS 2 Thessalonians 3.1] Er jerrey Vraaraghyn, gow jee Padjyr er nyn son, dy vod Ghoo yn Chiarn geill er y hoshiaght, as ve er ny Ghloayraghey dy jarroo myr te merriu;","Er jerrey] Ny-sodjey,; Ghoo yn] Goo’n; geill er y hoshiaght,] roïh dyn lhiettal,; Ghloayraghey] ghloyraghey; merriu;] nyn mast’euish;",20,,
And that we may be delivered from unreasonable and wicked men: for all men have not faith.,[MS 2 Thessalonians 3.2] As dy vod shin ve er ny livrey veih Deaney neu-ressoonagh & peccooil: son ha vell Credjiu eck dy chooilley Ghooiney.,ve er] v’er; Deaney] Deiney neu-ressoonagh] neu-resoonagh; & peccooil:] as olkyssagh:; ha vell] cha vel; Credjiu eck] [deleted]; dy chooilley Ghooiney] ec dy chooilley Ghooiney credjue,20,,
,,,20,,
"But the Lord is faithful, who shall stablish you, and keep you from evil.","[MS 2 Thessalonians 3.3] Agh ta’n Chiarn firrinagh, Qui nee shickyraghey shiu, as shiu y reealey veih Olk.",shickyraghey shiu] shiuish y niartaghey; shiu y reealey] freayll shiu > shiu y reayll > y reayll,20,,
"And we have confidence in the Lord touching you, that ye both do and will do the things which we command you.","[MS 2 Thessalonians 3.4] As ta Threshteil ayn ayns y Chiarn myn kion eu, dy vell shiu, as dy jen shiu, Choleeney ny Ryddyn ta shin saara diu.",ayn] ain,20,,
,,,20,,
"And the Lord direct your hearts into the love of God, and into the patient waiting for Christ.","[MS 2 Thessalonians 3.5] As dy jen y Chiarn ginsaghey nyn Gree eu, ayns Ghraih Yee, as yns Farkiaght er Chreest.","jen] jean; ginsaghey nyn Gree eu,] ny creeaghyn eu y leeideil,; yns] ayns Farkiaght] [F underlined]; Farkiaght] Farkiaght surransagh; Chreest] Creest",20,,
"Now we command you, brethren, in the name of our Lord Jesus Christ, that ye withdraw yourselves from every brother that walketh disorderly, and not after the tradition which he received of us.","[MS 2 Thessalonians 3.6] Son ta shin saara diu, Vraaraghyn, ayns Ennym nyn Jiarn Yeesey Creest, dy jen shiu tharn shiu [21] Hene veih dagh Braare ta gymyrkey eh hene dy me-reiltagh, as ha nee cordail rish yn Ynsaghey whoar eh vooin-yn.",Son] Nish; shin saara] shin chur saara; chur saara] cur saarey; jen] jean; tharn] scarrey; Hene […] Braare] hene vooish dy chooilley vraare; me-reiltagh] meereiltagh; ha] cha; Ynsaghey] Ynsagh; whoar] hooar; vooin-yn] [second o underlined],20,,
For yourselves know how ye ought to follow us: for we behaved not ourselves disorderly among you;,"[MS 2 Thessalonians 3.7] Son ta Fyss eu hene cre’naagh lissagh shiu geirt orrynyn: Son ha ren shin gimmyrkey shin hene dy mee-reilltagh ny masth ewish,",Fyss] [F underlined]; cre’naagh] cre’naght; lissagh] lhisagh; geirt] geiyrt; orrynyn] orryn; ny masth] nyn mast; ewish] eu,21,,
"Neither did we eat any man’s bread for nought; but wrought with labour and travail night and day, that we might not be chargeable to any of you:","[MS 2 Thessalonians 3.8] Chamoo dhee shin Arran Dooinney erbee son veg; Agh dhobbyr shin lesh thooilleil & troailt, eie as Laa, son nagh beeagh shin Costillagh da veg jiu:","dhee] dee [or dhie, die? cf. 1767]; Arran] [A underlined]; Dooinney] [D underlined]; son veg] nastee; dhobbyr shin lesh] ren shin; gobbraghey lesh deïnys as; & troailt,] [deleted]; eie] oie; Laa] [L underlined]; beeagh] beagh; Costillagh] [C underlined]; Costillagh] costyllagh; jiu:] eu:",21,,
"Not because we have not power, but to make ourselves an ensample unto you to follow us.","[MS 2 Thessalonians 3.9] Ha nee kindagh nagh vell Poore ayn, agh dy yannoo shin hene Sambleir diuish, dy eirt orryn.","ayn] ain; Ha nee […] ayn,] Cha nee son nagh vel pooar ain,; Sambleir] sampleyr; eirt] eiyrt",21,,
"For even when we were with you, this we commanded you, that if any would not work, neither should he eat.","[MS 2 Thessalonians 3.10] Son dy jarroo tra va shin meriw, hug shin shoa ayns Saara diu, my veagh veg nagh jenn[a]gh Gobbyraghey, chamoo veagh ah lowall da dy ee.",meriw] meriu; shoa ayns Saara] yn saarey [>sarey] shoh; my veagh […] Gobbyraghey] eshyn [> fer erbee] nagh jinnagh gobbraghey; chamoo […] ee] nagh lhisagh eh gee.,21,,
"For we hear that there are some which walk among you disorderly, working not at all, but are busybodies.","[MS 2 Thessalonians 3.11] Son ta shin chlashtyn, dy vell paart dy lei, ta gymmirkey ad hene ny vod eu dy meereiltagh, gyn turn y yannoo, agh chourt rour geil da Chooshyn Sleih elley. ","chlashtyn] chlashtyn; dy vell] dy vel; dy lei] [deleted]; dy vell paart dy lei] dy vel nyn leid ayn; lei, ta] lei, nagh [but this goes with …vel lhie rish… below]; hene ny] hene dy liastey ny; dy meereiltagh] [deleted]; turn y yannoo] gobbraghey eddyr; gyn turn y yannoo,] gyn lh [> [nagh] vel] lhie rish turn y yannoo,; agh […] elley] agh ta busy ayns cooishyn sleih elley",21,,
