English,Manx,Manx Orginal,Page,EnglishPage,Notes
And the Holy Sacraments were appointed for the Increase of Grace to all that make a right Use of them.,As va ny Sacramentyn casherick er nyn bointeil son Bishaghey dy Ghrayse dauesyn ooilley yinnagh ymmyd cair y yannoo jeu.,,15,12,
"And our blessed Saviour did at first send abroad his Apostles to preach the Gospel to all the World, and hath ever since continued a Succession of Ministers in his Church, whose standing Office is to administer the Word and Sacraments, to watch over the Souls of the People, to instruct and admonish them both in public and private, and to use their utmost Diligence to bring them to the Knowledge and Love of God, and of his Son Jesus.","As ren nyn Saualtagh bannit ec y thoshiaght cur magh e Ostyllyn dy phreacheil yn Sushtal da ooilley’n seihll, as te rieau er dy henney tannaghtyn dy chur magh Shirveishee veih tra gy tra ayns e Aglish, yn oik oc eh ooilley cooidjagh dy hirveish yn Goo as ny Sacramentyn, dy watchal harrish Anmeenyn y phobble, dy ynsaghey as dy chur raaue daue chammah gy foshlit as er lheh, as dy ghoaill ooilley’n chiarrail t’ayns nyn booar dy chur lhieu ad gys Tushtey as Graih Yee, as jeh e Vac Yeesey.",,16,12,
And God is ever ready to accompany their Endeavours with his Blessing.,As ta Jee dy bragh arryltagh dy chur e vannaght er ny hobbraghyn oc.,,16,12,
"Do you not often feel his good Spirit putting good Thoughts and Motions into your Mind, inclining you to that which is Holy and Good, checking and restraining you, when you are running into Evil ?","Nagh vel shiuish dy mennick gennaghtyn yn Spyrryd mie echey cur smooinaghtyn as yeearreeyn mie ayns nyn aigney, crommey shiu dy yannoo shen ta casherick as mie, feddyn foill diu as lhiettal shiu, tra ta shiu roie ayns olk ?",,16,12,
"But on the other Hand, it is the evil Spirit, even the Devil himself, that tempts you to Sin, and would hinder you from your Duty.","Agh er y laue elley, she’n Drogh Spyrryd, dy jarroo’n Jouyl hene, ta miolaghey shiu gys peccah, as ballish shiu y lhiettal veih nyn gurrym.",,16,12,
"It is the Devil that tempts Men to Pride and Malice, and to all manner of Wickedness.","She’n Jouyl ta miolaghey sleih gys Moyrn as Goanlys, as gys dy chooilley vonney dy Vee-chraueeaght.",,16,12,
"For he being a proud, malicious, and most wicked Spirit, would have Men to be like himself, that so they may be for ever miserable with him.","Son myr te eshyn ny Spyrryd moyrnagh, goanlyssagh, as feer olkyssagh, ballish sheelnaue dy ve goll-rish hene, myr shen dy vod ad son dy bragh ve ayns treihys marish.",,16,12,
"Will you not then resist the Devil, the great Enemy of your Soul, and be led and guided by God’s good Spirit, and follow his Motions, and the Directions of his Word, which lead to Happiness ?","Nagh jean shiuish eisht shassoo seose noi’n Drogh Spyrryd, Noid vooar nyn anmey, as ve er nyn leeideil as er nyn rheill liorish Spyrryd mie Yee, as geiyrt er y Choyrle echey, as er ny ta e Ghoo dy ynsaghey, ta cur lesh shiu gys Maynrys ?",,16,12,
"O do not grieve this blessed Spirit, who alone can give us true Comfort, do not resist and quench his Motions, nor provoke him to depart from you, and leave you to your own Lusts, and to the Power of Satan, who seeks your Ruin !","O ny cur-jee corree er y Spyrryd bannit shoh, oddys ny lomarcan gerjagh firrinagh y chur diu, ny jean-jee shassoo noi as ny moogh-jee e choyrlyn, ny cha-moo jean shiu brasnaghey Eh dy immeeaght er sooyl veu, as dy agail shiu gys nyn sayntyn hene, as pooar Noid ny Hanmey, ta shirrey yn Toyrt-mow eu!",,16,12,
"Moreover, as the Devil has his Instruments to draw Men to Wickedness, one ill Man tempting another ; so Ministers are sent from God to draw you to Righteousness and Holiness.","Ny sodjey na shoh, myr ta’n Jouyl as sharvaantyn echey fo dy hayrn sleih gys olk, liorish un dooinney olk dy violaghey dooinney elley ; myr shen ta Shirveishee er nyn goyrt veih Jee dy hayrn shiuish gys ynrickys as craueeaght.",,17,12,
"They are Ambassadors and Messengers of Christ, and do in his Name beseech you to be reconciled to God, who is most willing to be reconciled to you, if you will but cast away those wicked Works which provoke him to Anger, 2 Cor. v. 20.","T’adsyn nyn Jiaghtyryn reeoil fo Creest, as ayns e Ennym t’ad guee erriu dy ve cordit rish Jee, Eh ta feer wooiagh dy ve cordit riu, my nee shiu agh tilgey er sooyl ny hobbraghyn mee-chrauee shen ta brasnaghey Eh gys corree, 2 Cor. v. 20.",,17,12,
"O how will it rejoice the Hearts of your Ministers, that truly love your Souls, to see the success of their Labours ; to have you come to them enquiring what you must do to be saved ; declaring your Repentance for your former evil Courses, and your Resolution henceforth to become new Creatures ?","O cre’n gerjagh ver eh ayns creeaghyn ny Shirveishee eu, ta dy firrinagh graihagh er nyn anmeenyn, dy akin nyn laboraght goaill thoshiaght ; dy vel shiuish cheet huc dy vriaght cre shegin diu y yannoo dy ve er nyn sauail, soilshaghey nyn arrys son nyn nghrogh yannoo t’er ngholl shaghey, as nyn giarrail firrinagh veih’n tra shoh magh dy heet dy ve nyn gretooryn noa ?",,17,13,
"Certainly we exhort you to nothing but what is highly reasonable, and for your own Benefit, whilst we persuade you to return to the Favour of God.","son shickyrys cha vel shin coyrlaghey shiu gys veg agh ny ta feer resoonagh as son y vondeish eu hene, choud as ta shin coyrlaghey shiu dy hyndaa gys Foar Yee.",,17,13,
Why then will ye not hearken to us ?,Cre’n oyr eisht nagh jean shiu geaishtagh rooin ?,,17,13,
"If a Message of Mercy should be sent you from the King, when you were in danger of Death for Rebellion, would you not most gladly and thankfully receive it ?","Dy beagh chaghtyraght dy vyghin er ny choyrt hiu veih’n Ree, tra veagh shiu ayns gaue baaish son girree magh ny oi, nagh jinnagh shiu dy feer ghennal as dy feer wooisal y ghoaill eh ?",,17,13,
"And will you not be as thankful and obedient to the King of Kings ; and as wise to save your Souls, as to preserve your Bodies ?","as nagh bee shiu cha booisal as cha biallagh cheddyn da’n Ree dy Ree’ghyn ? as cha creeney dy hauail nyn Anmeenyn, as veagh shiu dy endeil nyn Girp ?",,17,13,
"And besides his Word and Ministers, God also pleads with you by his Providence to bring you to Repentance.","As marish e Ghoo as e Hirveishee, ta Jee myrgeddyn loart riu liorish e Chiarrail flaunyssagh dy chur lesh shiu gys arrys.",,17,13,
"Sometimes he sends Afflictions to correct you for your Faults, to shew you the Evil of Sin, and draw you home to himself ; and at other Times he sends many Mercies, as I have told you, to soften your Hearts, to engage and allure you to his Service ; and such good Use we ought to make of all God’s Dealing with us.","Ny cheayrtyn te cur seaghyn erriu dy smaghtaghey shiu son nyn voiljyn, dy yeaghyn diu yn olk t’ayns peccah, as dy hayrn shiu thie huggey hene ; as keayrtyn elley te soilshaghey ymmodee foaryn diu, myr ta mee er ninsh diu, dy veiyghey ny cree’ghyn eu, dy chiangley as dy hayrn shiu gys e Hirveish ; as leid yn ymmyd mie shoh lhisagh shin y yannoo jeh ooilley dellal Yee rooin.",,17,13,
"IV. Consider further what Engagements you lie under to an holy Life, by your own profession, Promises and Vows.","IV. Gow-jee tastey ny sodjey cre ny Kianglaghyn ta shiu nyn lhye fo dy leeideil Bea chrauee liorish nyn Gredjue, nyn Nghialdynyn, as nyn Mreearaghyn.",,18,13,
"You profess and call yourselves Christians, the Disciples and Followers of Christ : Ought you not then to follow his Example, and obey his Commands, if you will make good that Name ?","Ta shiu goaill-rish as genmys shiu hene Creesteenyn, feallagh ta gynsaghey fo Creest as geiyrt er ; nagh lhisagh shiu eisht geiyrt er e Hamplere, as Biallys y choyrt da ny Saraghyn echey, my nee shiu yn Ennym shen y yannoo mie ?",,18,13,
"You will think it a great Disgrace not to be taken for Christians, but for Turks or Jews : Beware then lest you bring this Disgrace upon yourselves by an unchristian Temper of Mind, and an ill Course of Life.","coontee shiu scammylt mooar jeh gyn ve goit son Creesteenyn, agh son Turkyn ny Hewnyn. Cur-jee twoaie eisht nagh der shiu lhieu yn scammylt shoh erriu hene, liorish y ve jeh dooghys neu-chreestee ayns nyn aigney, as drogh ymmyrkey-bea.",,18,13,
"If you are false or cruel, covetous or lustful, like a Turk or a Jew, it matters little what you call yourselves.","My ta shiu foalsey ny dowil, sayntoilagh er cooid heihltagh ny eunyssyn foalley, goll-rish Turk ny Hew, sbeg sheagh ny ta shiu genmys shiu hene.",,18,13,
"He is not a Christian that is one outwardly, but he that has the same Mind and Spirit that was in Christ Jesus.","Cha nee Creestee eshyn ta ny Chreestee er cheu mooie, agh eshyn ta’n Aigney as y Spyrryd cheddyn echey as va ayns Creest Yeesey.",,18,13,
"God will not at the last Day judge of Men by their Names and Titles, but by their Hearts and Lives ; only it will go much worse with a Man that calls himself a Christian, and yet lives like a Heathen or Infidel.","Cha jean Jee ec y laa s’jerree briwnys deiney lurg nyn Enmyn as nyn Nghoo mooar ’sy teihll, agh cordail rish nyn Greeaghyn as nyn Ymmyrkey-bea ; cheu-mooie jeh dy bee dellal foddey smessey er ny chur da dooinney ta genmys eh hene ny Chreestee, as ta foast beaghey goll-rish An-chreestee ny Fer gyn Credjue. ",,18,13,
"And pray consider how by your Baptism you are solemnly listed under Christ’s Banner, to fight against the Devil, the World and the Flesh ; and by the keeping this Vow you shew yourselves to be Christians indeed : But if you are led away by the Temptations of Satan, and do his Works, and are ensnared by the Vanities of the World, the Lusts and Pleasures of the Flesh, you do in effect renounce your Baptism.","As guee-ym erriu gow-jee tastey kys liorish nyn Mashtey ta shiu dy arrymagh er jeet dy ve nyn Sidooryn fo Cullee Chreest, dy chaggey noi’n Drogh Spyrryd, y Seihll as yn Eill ; as liorish y Breearey shoh y chooilleeney ta shiu jeaghyn shiu hene dy ve nyn Greesteenyn dy jarroo : Agh my ta shiu er nyn goyrt er shaghyryn liorish miolaghyn Noid ny Hanmey, as jannoo ny obbraghyn echey, as er nyn nghoaill ayns ribbeh liorish Fardail y Theihll, liorish Saynt as Eunyssyn ny Foalley, ta shiu jannoo’n un chooid as dy beagh shiu gobbal nyn Mashtey",,18,14,
"Besides this, Have you not renewed this same Vow at the holy Communion, there openly professing your Belief in Christ crucified, and promising Obedience to Him ?","Marish shoh, Nagh vel shiu er nyannoo’n Breearey cheddyn ass y noa ec y Chreestiaght chasherick, ayns shen dy foshlit goaill-rish dy vel shiu credjal ayns Creest v’er ny chrossey, as gialdyn dy ve biallagh da ?",,19,14,
"If you have not received this holy Sacrament, though you have been long at Years of Discretion, you then shew yourselves by this Neglect, to be no obedient Disciples of Christ, since you do not obey his plain Command, To do this Remembrance of Him, Luke xxii. 19.","mannagh vel shiu er nghoaill y Sacrament casherick shoh, ga ta shiu foddey er ve ec eash keeal as tushtey, eisht liorish y lhiggey-shaghey shoh ta shiu soilshaghey shiu hene, nagh nee Schoyllaryn biallagh eddyr shiu da Creest, tra nagh vel shiu cur Biallys da’n Sarey aashagh echey, Dy yannoo shoh ayns Cooinaghtyn jeh, Luke xxii. 19.",,19,14,
"And indeed I fear that many careless People will not come to the Communion, because they think it will bind them to lead such a strict and holy Life as they have no mind to.","As dy jarroo ta mee goaill aggle dy vel ymmodee dy leih neu-chiarralagh nagh jig gys y Chreestiaght, er-yn-oyr dy vel ad smooinaghtyn dy jean shoh chiangley ad dy leeideil leid y vea chiarralagh as chrauee shen as nagh vel veg yn aigney oc er.",,19,14,
"But do they not cast off Jesus Christ from being their Master, who look upon his Commands as too strict and severe, and will not promise to obey him ?","Agh nagh vel adsyn gobbal Yeesey Creest dy ve nyn Mainshtyr, ta jeaghyn er ny Saraghyn echey myr dy beagh ad roa hion as geyr, as nagh jean gialdyn dy chur Biallys da ?",,19,14,
"Yea, do they not thereby even disown their Baptism, by which they were bound to this Obedience ?","dy jarroo, nagh vel ad liorish shen gobbal nyn Mashtey hene, liorish v’ad kainlt gys y viallys shoh ?",,19,14,
"So that the same Reason which keeps them from the Communion, it is likely, would keep them from being baptized, if it were yet to be done.","myr shen dy vel eh laik dy jinnagh y resoon cheddyn ta freayll ad veih’n Chreestiaght, ad y reayll veih ve er nyn mashtey, dy beagh eh foast dy ve jeant.",,19,14,
"And what Sort of Christians are they that would reject Christian Baptism, because it engages them to an holy Life ? ","As cre’n cheint dy Chreesteenyn adsyn obbagh Bashtey Creestee, son dy vel eh kiangley ad dy leeideil Bea chrauee ? ",,19,14,
"If you are not guilty of this Neglect, but do sometimes come to the Lord’s Supper, to keep up the Remembrance of his Death and Sufferings, then pray consider, that by receiving this holy Sacrament, you do solemnly renew your Vows to be Christ’s faithful Servants and Disciples, and to walk in sincere Obedience to all his holy Laws, as you hope for Salvation by his Death.","Mannagh vel shiu oolee jeh’n lhiggey-shaghey shoh agh ny cheartyn cheet gys Shibbar y Chiarn, dy reayll seose Cooinaghtyn jeh e Vaase as e Hurranse, eisht guee-ym erriu gow-jee tastey, liorish y Sacrament casherick shoh y ghoaill, dy vel shiu dy arrymagh jannoo nyn mreearaghyn ass y noa dy ve Sharvaantyn as Schoyllaryn firrinagh Chreest, as dy immeeaght ayns Biallys creeoil da ooilley e leihaghyn casherick, myr ta shiu treishteil son Saualtys liorish y Baase echey.",,19,14,
Wherefore may I not well beseech you to use all due Care to live according to this your Promise and Engagement ?,Cre’n-fa eisht nagh voddyms dy mie guee erriu dy ghoaill dy chooilley chiarrail chooie dy veaghey cordail rish nyn Nghialdyn as y Kiangley ta shiu fo ?,,20,14,
"What a Shame is it for a Man to be false to his Word, much more to his Oath !","cre’n nearey te da dooinney gyn dy ve firrinagh gys e ockle, foddey smoo gys e loo ?",,20,15,
"O do not then break that Oath which you have made to God himself, by taking his holy Sacraments ; and call to mind if you have not sometimes on a Sick-bed, or in some great Danger, made the same Promise and Vow ; and has not God spared you to see how you would perform the same ?","O ny brish-jee eisht yn loo shen ta shiu er nyannoo da Jee hene, liorish goaill ny Sacramentyn casherick echey : as eaie-jee gys cooinaghtyn mannagh vel shiu ny cheayrtyn er lhiabbee dy hingys, ny ayns dangere mooar ennagh, er nyannoo’n Gialdyn as y Breearey cheddyn ; as nagh vel Jee er nymmyrkey lhieu dy yeaghyn kys yinnagh shiu yn chooid cheddyn y chooilleeney ?",,20,15,
"Take heed then of abusing his Mercy, and breaking your Promise. ","gow-jee kiarrail eisht nagh jean shiu beg y hoiaghey jeh Myghin Yee, as nyn Nghialdyn y vrishey",,20,15,
"Moreover, I might shew how your professing to believe the Creed engages you to live well, according to the holy Faith you profess, which is a Doctrine according to Godliness.","Marish shoh, oddyn jeaghyn diu kys ta’n goaill-rish eu dy chredjal y Chrea kiangley shiu dy leeideil nyn mea dy mie, cordail rish y Chredjue casherick ta shiu goaill-rish, yn Credjue cheddyn ta ny Ynsagh cordail rish Craueeaght.",,20,15,
"But lastly, the very Prayers you put up to God, lay the same Engagement on you, even to serve and please this God whom you worship.","Agh er jerrey, ta ny eer Padjeryn ta shiu cur seose gys Jee cur y kiangley cheddyn erriu, dy jarroo dy hirveish as dy wooiys yn Jee shoh da ta shiu cur ooashley.",,20,15,
"To instance briefly in the Lord’s Prayer : Whilst we call God Our Father, &c. ought we not to love and honour Him, to obey Him, and submit to Him as our heavenly Father ?","Dy chur samble giare ayns Padjer y Chiarn : Choud as ta shin genmys Jee nyn Ayr, &c. nagh lhisagh shin graih as ooashley ’chur da, ve biallagh da, as ginjillaghey huggey, myr nyn Ayr flaunyssagh ?",,20,15,
"Whilst we pray that his Name may he hallowed, his Kingdom come, and his Will done in Earth as it is in Heaven ; ought we not ourselves to honour his Name, and advance his Kingdom, by obeying his Laws, and by doing his Will constantly and chearfully as the Angels do in Heaven, to the utmost of our Power ?","Choud as ta shin guee dy vod e Ennym ve er ny chasherickey, e Reeriaght cheet, as e Aigney ve er ny yannoo er y Thalloo myr te ayns Niau ; nagh lhisagh shinyn shin hene ooashley ’chur da e Ennym, as e Reeriaght y chur er y hoshiaght, liorish biallys y chur da e leihaghyn, as liorish e Aigney y yannoo dy kinjagh as dy arryltagh, myr ta ny Hainlyn jannoo ayns niau, gys y chooid sodjey jeh’n phooar ain ?",,20,15,
"Praying for daily bread, teaches our Dependence upon God, and engages us to serve him by whom we are maintained.","Ta Padjer y ghoaill son Arran gagh laa, gynsaghey dooin dy nee er Jee ta nyn Marrant, as kiangley shin dy hirveish eshyn liorish ta shin er nyn meaghey.",,20,15,
"When we pray to God to forgive our Trespasses as we forgive others, this strictly binds us to forgive those that offend us, as ever we hope for Mercy from God.","Tra ta shin guee gys Jee dy leih dooin nyn loghtyn myr ta shin leih da feallagh elley, ta shoh dy shickyr kiangley shin dy leih dauesyn ta cur jymmoose orrin, myr ta shin dy bragh treishteil son myghin veih Jee.",,21,15,
"And when we pray not to be led into Temptation, but delivered from Evil ; this should restrain us from running into Temptation, and make us careful to avoid all Sin, and the Occasions of it.","As tra ta shin guee gyn dy ve er nyn leeideil ayns miolagh, agh livreit veih olk ; lhisagh shoh nyn vreayll veih roih ayns miolagh, as shin y yannoo kiarralagh dy hea veih dy chooilley pheccah, as ny hoyryn ta tayrn shin ayndoo.",,21,15,
"To the same Purpose I might also mention the Prayers of the Church, to which I hope you come frequently.","Gys yn ymmyd cheddyn oddyn neeisht genmys Padjeryn yn Aglish, huc ta mee treishteil dy vel shiu cheet dy mennick.",,21,15,
"Therein you begin with the Confession of your Sins, and ought you not to forsake as well as to confess them ?","Ayns shen ta shiu goaill thoshiaght lesh Goaill-rish nyn beccaghyn, as nagh lhisagh shiu ad y hreigeil, chammah as goaill roo ?",,21,15,
"And in the End of the Confession, you pray God, for Christ’s sake, to grant that you may lead godly, righteous and sober lives.","As ec jerrey Goaill-rish nyn beccaghyn, ta shiu guee er Jee, son Graih Chreest, dy ghialdyn dy vod shiu bea crauee, ynrick as sheelt y leeideil.",,21,15,
"— And almost in every Prayer, you will find somewhat to this effect.","As faggys ayns dy chooilley Phadjer, yow shiu red ennagh er yn aght shoh.",,21,15,
"Now I hope you are in good earnest in these your Prayers, else you mock God and affront him, instead of worshipping and pleasing him.","Nish ta mee treishteil dy vel shiu feer imneagh ayndoo shoh nyn Badjeryn, er nonney ta shiu craidey mish Jee as cur corree er ayns ynnyd ooashley y chur da, as Eh y wooiys.",,21,16,
"But if you do heartily desire these things which you pray for, then you will do your part for the Attainment of them, and will diligently endeavour to live in so holy and good a manner, as you pray that you may do.","Agh my ta shiu dy creeoil geearree ny reddyn shoh ta shiu guee er nyn son, eisht nee shiu nyn baart dy gheddyn ad, as dy imneagh streeu dy leeideil nyn mea ayns aght cha crauee as cha mie, as ta shiu guee dy vod shiu y yannoo.",,21,16,
"And if you thus add Diligence to your Prayers, God’s Grace will never be wanting for your Assistance.","As my nee shiu myr shoh imnea y chur gys nyn Badjeryn, cha bee Grayse Yee dy bragh er ny laccal dy chooney lhieu.",,21,16,
"V. Consider also how just and equal all God’s Commandments are, such as our own Reason cannot but approve of, being most agreeable to us as reasonable Creatures.","V. Gow-jee tastey myrgeddyn cre cha cairagh as cha corrym as ta ooilleyAnnaghyn Yee ; leid as nagh vod yn resoon ain hene agh lowal jeu, dy ve feer jesh dooinyn myr cretooryn resoonagh.",,21,16,
"To instance in the Chief of them : Is it not most just and fit that we should love God above all, who is the best and most perfect of all Beings, and from whom we receive all good Things ?","Dy hayrn samble veih’n ard eallagh jeu : Nagh vel eh feer chairal as cooie shinyn dy chur graih da Jee er-skyn dy chooilley nhee, Eh share as syrjey jeh dy chooilley Nhee, as veih ta shin geddyn dy chooilley red mie ?",,21,16,
"Ought we not to pray to him, who alone can hear and help us, and to give Thanks and Praises to him who is the Father of Mercies ?","nagh lhisagh shin Padjer y ghoaill huggeysyn oddys ny lomarcan shin y chlashtyn as cooney lhien, as booise as moylley y chur dasyn ta ny Ayr dy Vyghinyn ?",,22,16,
"Is it not most reasonable that Children should obey their Parents, and Subjects their Rulers ?","nagh vel eh feer resoonagh dy jinnagh Cloan Biallys y chur da nyn Ayr and nyn Moir, as y Theay Biallys da nyn Fir-reill ?",,22,16,
"And that all men should live in Peace and Love with one another, and speak truly, and deal honestly, as they would be dealt with ?","as dy jinnagh dy chooilley ghooinney beaghey ayns shee as graih yn derrey yeh rish y jeh elley, as yn irrin y loart, as dellal dy onneragh, myr balliu hene ve er nyn nellal roo ?",,22,16,
"Is it not most fit and decent for a Man to eat and drink moderately, so as makes most for his Health ?","nagh vel eh feer chooie as jesh da dooinney dy ee as dy iu dy sheelt, myr share vees son e lhaynt ?",,22,16,
To be modest and chaste in all his Conversation ?,dy ve sheelt as glen ayns ooilley e Ymmyrkey-bea ?,,22,16,
Will not every Man’s own Reason acknowledge the Equity and Fitness of these and the like Precepts ?,nagh jean resoon dy chooilley ghooinnney hene goaill-rish dy vel ny saraghyn shoh as nyn leid elley cairagh as cooie ?,,22,16,
"And for some that do seem more severe, there may be given very good Reason for them also : So that plainly, all God’s Commands are the wise and wholesome Counsels of a most tender Father, who forbids his Children nothing but what is hurtful, and requires nothing of them but what makes for their own Good ; even to deal justly, to love Mercy, and to walk humbly with their God, Mic. vi. 8. Christ’s Yoke is easy, and his Burden light, Matt. xi. 30.","as son paart dy haraghyn ta jeaghyn dy ve ny scroie, foddee resoonyn feer vie v’er ny choyrt er nyn son ocsyn neeisht : Myr shen te dy aashagh ry akin, dy vel ooilley Annaghyn Yee coyrlyn creeney as slayntoil Ayr smoo veigh, nagh vel lhiettal veg veih e chloan agh shen ta jannoo skielley daue, as nagh vel shirrey veg vou agh shen ta son y vie oc ; dy jarroo dy ghellal dy onneragh, dy ve graihagh er Myghin, as dy immeeaght dy imlee marish y Jee oc, Mic. vi. 8. Ta quing Chreest aashagh, as yn errey echey eddrym, Mian xi. 30.",,22,16,
"God’s Service is perfect Freedom, as we daily stile it in our Prayers ; and his Commandments are not grievous, 1 John v. 3.","Ta shirveish Yee reamys firrinagh, myr ta shin gra ayns nyn Badjeryn gagh laa : As cha vel ny Annaghyn echey trome, 1 Ean. v. 3.",,22,16,
"Shall we not then be so dutiful to our heavenly Father, yea, so wise for our own Good, as to obey these most reasonable and gracious Laws which he hath given us ?","Nagh bee mad eisht cha ammyssagh da nyn Ayr flaunyssagh, dy jarroo, cha creeney son y vie ain hene, as dy chur biallys da ny leihaghyn resoonagh as graysoil shoh te er choyrt dooin ?",,22,16,
"So just and equal they are, that we cannot break them without offering a kind of Violence to ourselves, and going contrary to the Reason of our Mind : They are Light to the Eyes, and Joy to the Heart, sweeter to a good Man than Honey or the Honeycomb, as the Psalmist often speaks.","cha cairagh as cha corrym shen t’ad, nagh vod mad ad y vrishey fegooish keint dy hranlaase y yannoo orrin hene, as gimmeeaght noi resoon nyn aigney : T’ad soilshey da ny sooillyn, as gerjagh da’n chree, ny smiljey da dooinney mie ny mill as y khere-volley, myr ta’n Psalmist dy mennick gra.",,22,16,
"As suitable are God’s Commands to our Natures, and as useful and healthful to our Souls, as the most wholesome Food to our Bodies.","Cha cooie shen ta saraghyn Yee da’n dooghys ain, as cha ymmyrchagh as slayntoil da ny hanmeenyn ain, as ta’n beaghey s’follan oddys y ve da ny kirp ain.",,23,17,
"And for a Man to direct his whole Carriage and Behaviour according to the Laws of God, is as much his Wisdom, as it is to go clothed in decent Apparel, and to eat and drink what is good for his Nourishment.","As da dooinney dy leeideil ooilley e charriads as e ymmyrkey cordail rish leihaghyn Yee, te whooish y chreenaght echey, as te dy gholl ayns coamrey fudagh, as dy ee as dy iu shen ta mie son e veaghey.",,23,17,
"But, on the other Hand, for one to run naked about the Streets, to fill his Mouth with Mire and Dirt, to cut and mangle his own Flesh, is not a greater Sign of Folly and Madness, than for a Man to live according to his own Lusts, rather than after the Laws of God, which are so agreeable to our Reason, and do so plainly conduce to our own truest Interest and Advantage, both in this Life, and that to come ; as will appear by what follows.","Agh er y laue elley, da dooinney dy roih rooisht mygeart ny straadjin, dy lhieeney e veeal lesh laagh as trustyr, dy ghiarey as dy raipey yn eill echey hene, cha vel eh cowrey smoo dy ommijys as dy vee-cheilley, na te da dooinney dy veaghey lurg e hayntyn hene, ny sleaih na lurg leihaghyn Yee, ta whooish cordail rish y resoon ain, as cha foshlit cur nyn gosney as nyn vondeish er y hoshiaght, chammah ayns y vea shoh as y vea ta ry heet ; myr vees er ny akin liorish ny hed er gra ny lurg shoh.",,23,17,
"VI. Consider therefore in the next Place, that it is a most certain Truth, That the leading of an holy and good Life, is in all Respects very greatly for a Man’s own Benefit and Comfort, even in this present World : Godliness is profitable for all Things.","VI. Gow-jee tastey er-y-fa shen ayns y nah ynnyd dy nee raa feer firrinagh eh, Dy vel Bea chrauee as vie y leeideil er dy chooilley aght dy mooar cur cosney as gerjagh dooinney er y hoshiaght, dy jarroo ’sy teihll shoh hene : Ta craueeaght vondeishagh son dy chooilley nhee.",,23,17,
"It makes for the Quiet of our Minds, the Health of our Bodies, the Increase of our Estates, and procures us much Credit and Esteem, much Love and Good-will, among our Neighbours.","Te coyrt lesh fea gys nyn aignaghyn, slaynt da nyn girp, bishagh er nyn gooid, as te geddyn dooin lane goo-mie as soiagh jeant jeein, lane graih as aigney-mie mastey nyn naboonyn.",,23,17,
"Yea, it commonly brings along with it all manner of Blessings, makes the Enjoyment of them more sweet and pleasant, keeps off a great deal of Trouble, which wicked Men bring upon themselves, and affords much Support and Ease under those Afflictions which the Providence of God may lay upon us.","Dy jarroo, s’mennick lesh coyrt lesh marish dy chooilley cheint dy vannaght, te cur er y soylley oc ve ny s’miljey as ny s’booisal, te freayll voin ymmodee seaghyn, ta deiney olk cur lhieu orroo hene, as fordrail lane cooney as aash fo ny seaghyn shen, oddys Ard-chiarrail Yee y chur orrin.",,23,17,
"Insomuch that no Man, of what Rank or Condition soever he be, can lead a truly comfortable Life, except he lead an holy and good Life.","Ayns whooish as nagh vod dooinney erbee, boght ny berchagh, e heihll y chaeu lesh gerjagh firrinagh, mannagh vel eh leeideil bea chrauee as vie.",,23,17,
"All this is frequently taught in Scripture, and may be easily manifested by clear Reason.","Ta ooilley shoh dy mennick ynsit ayns Goo Yee, as foddee eh dy aashagh ve er ny hoilshaghey liorish resoon cronnal.",,24,17,
"Or if that be not sufficient, it is also most plainly to be discerned by daily Experience, that they who truly fear God, have much more Peace and Comfort in this World, than wicked and loose Livers, who make no Conscience of their Ways. ","Ny mannagh vel shen fondagh, te myrgeddyn dy feer aashagh dy v’er ny akin liorish ennaghtyn gagh laa, dy vel adsyn ta dy firrinagh goaill aggle roish Jee, as ny smoo dy hee as dy gherjagh oc ’sy theihll shoh, na ta ec feallagh ta leeideil nyn mea dy mee-chrauee as dy neu-heelt, fegooish nyn gooinsheance dy chur sneih orroo son nyn nghrogh ymmyrkey.",,24,17,
"If I should make the Comparison only betwixt a sober Man and a Drunkard, which do you think has the better of it in this Life ?","Dy jinnin y co-solagh y yannoo eddyr dooinney sheelt as dooinney meshtal, quoi jeu ta shiu smooinaghtyn ta’n chooid share echey ’sy vea shoh ?",,24,18,
"How often do the great Drinkers not only waste their Estates, but destroy their Health, weaken their Brains, and shorten their Lives ?","cre cha mennick as ta ny Iuderyn mooarey cha nee ynrycan stroie ny baljyn oc, agh stroie nyn slaynt, gannooinaghey nyn geeal, as giarey nyn seihll ?",,24,18,
"How often do they fall into Quarrels, get Wounds and Bruises, and sometimes Death itself, either by Fighting, or by one sad Accident or other ?","cre cha mennick as t’ad taghyrt dy huittym magh rish sleih, geddyn lottyn as brooghyn, as ny cheayrtyn y baase hene, edyr liorish geealley, er nonney taghyrt ny taghyrt ennagh olk ?",,24,18,
"Sometimes the very Children in the Street run after them, shouting and making Sport with them ; and if you follow them to their own Homes, what disturbance and mischief do they make there ?","Ny cheayrtyn ta’n chloan hene ayns ny straadjin roih geiyrt orroo, gyllagh as jannoo gamman jeu ; as my eiyrys shiu orroo gys ny thieyn oc hene, cre’n boirey as yn olk t’ad jannoo ayns shen ?",,24,18,
