Manx,English,Notes,Page,Manx Original,English Original
"Ec y tra cheddyn, t’ow shickyr nagh vod dty pheccaghyn ve whooish nagh bee’n Leagh, t’eshyn er eeick, fondagh er eh hon, my ghouys oo arrys son dty pheccaghyn, as bea noa y leeideil. ","At the same time, you are sure that your Sins cannot be so great, but that the Price he has paid will be sufficient, if you repent of your Sins, and endeavour to lead a new Life.",,45,,
"As nish myrgeddyn foddee oo dty slaan varrant ’chur er Graih Yee ; Son eshyn nagh haghyn e Vac hene, agh livrey seose eh er nyn son ooilley, cha nob eh ny yeaih shen niee erbee dooin vees mie er nyn son. ","And now, also, you may depend entirely upon the Love of God ; for he that spared not his own Son, but gave him up for us all, will after that deny us nothing that may be good for us.","livrey seose eh] text livrey eh seose eh; 1707 livrey e seose
Rom. viii. 32.",45,,
"Faikin, er y fa shen, dy nee aynsyn ny lomarcan ta Treishteil ec peccee, cha negin dhyt jarrood Graih dty Haaualtagh hooar, myr shoh, baase er dty hon ; Ny dty ghreem y hyndaa rish y Chreestiaght chasherick shen, raad ta e Vaase as e Vyghinyn er skyn ooilley er nyn gooinaghtyn. ","Since, therefore, it is in Him only, that Sinners have hope, you must not forget the Love of your Saviour, thus dying for you ; nor turn your Back upon that Holy Sacrament, where his Death and Mercies are especially remembered.",,45,,
"Ayns shen nee oo gynsagh, as bee oo myrgeddyn er dty niartagh, dy ymmyrkey yn Chrosh, cre erbee’n Seaghyn ver Jee ort ; dy dt’injilagh hene gys e aigney as e chreenaght, myr ren dty Haaualtagh ; Son cha negin da’n Charvaant ve er skyn e Hiarn, ny seyr veih seaghyn. ","There you will learn, and be enabled also, to take up the Cross, whatever Affliction God shall lay upon you ; to submit your self to his Will and Wisdom, with all Humility, as your Saviour did ; for the Servant must not be above his Lord, nor freed from Sufferings.",John xv. 20.,46,,
"T’ow Credjal dy dooar eh baase, dy rou eh er ny Oanluckey, as dy jirree eh reeisht y trass Laa veih ny merriu. ","You believe that he died, was buried, and rose the third Day from the Dead.",,46,,
"Eisht, t’ow shickyr dy vod Jee ny merriu y vioghey, as shen-y-fa ta treishteil ain, chammah er nyn son hene, as er son nyn Gaarjyn, dy bee mad bio reeisht ; Son ver Jee lesh marish adsyn ta cadley ayns Yeesey. ","Then you are sure that God can raise the Dead, and therefore we hope, both for our selves and our Friends, that we shall live again ; For them that sleep in Jesus, shall God bring with him.",1 Thes. iv. 14.,46,,
"My hrog Jee Creest veih ny merriu, eisht, ta shin feer shickyr dy rou ooilley ny jynsee eh firrinagh ; dy bee ooilley ny yiall eh cooilleenit ; dy jig ooilley ny vaggyr eh gys kione ; Er aght elley, cha beagh Jee er droggal eshyn seose reeisht veih’n Vaase gys bea, son veagh shen dy volley e chretooryn. ","If God raised Christ from the dead, then are we most sure, that whatever he taught, was true ; whatever he promised will be performed ;  whatever he threatned will come to pass ; otherwise, God would not have raised him from Death to Life, for that would have been to have deceived his Creatures.",,46,"My hrog Jee Creest veih ny merriu, eisht, ta shin feer shickyr dy rou ooilley ny jynsee eh firrinagh ; dy bee ooilley ny yiall e cooilleenit ; dy jig ooilley ny vaggyr eh gys kione ; Er aght elley, cha beagh Jee er droggal eshyn seose reeisht veih’n Vaase gys bea, son veagh shen dy volley e chretooryn. ",
"Te eshyn ayns Niau, er Laaue Yesh Yee. Shoh nyn Ngherjagh ; ta fyss ain dy nee Peccee shin, agh eisht ta nyn Ver kionnee as eshyn ta loayrt er nyn son ayns y phooar as y foayr smoo ayns Niau. ","He is in Heaven, at the Right Hand of God. Here is our Comfort ; we know we are Sinners, but then, our Redeemer, our Advocate, is in the greatest Power and Favour in Heaven.",,46,"Te eshyn ayns Niau, er Laaue Yesh Yee. Shoh nyn Ngherjagh ; ta fyss ain dy nee Peccee shin, agh eisht ta nyn Ver kionnee as eshyn ta loayrt er nyn son ayns y phooar as y foayr smoo anys Niau. ",
"Te er shickyragh nyn Bardoon er nyn Arrys ; cooinee eh lhien, as livrey-ee eh shin veih noyd ny-hanmey, as veih nyn Greeaghyn broagh hene ; As kiaree eh ynnyd dy vaanrys er nyn son, tra yow mad baase. Agh lig da nyn Greeaghyn ve raad ta nyn merchys, ayns Niau. ","He has secured our Pardon upon our Repentance ; he will assist, and deliver us from the Devil, and our own corrupt Hearts, and he will provide a place of Happiness for us, when we die ; only let our Hearts be where our Treasure is, in Heaven.",Mat. vi. 21.,46,,
T’ow credjal dy jig Yeesey Creest reeisht dy vriwnys y Teihll ayns Ynryckys. ,You believe that Jesus Christ shall come again to judge the World in Righteousness.,,47,,
"As nagh dooisht shoh oo, as nagh der eh ort smooinaght dy dowin cre’n aght chiarys oo son y laa mooar shen, liorish Arrys lhea ? ","And will not this awaken you, and make you seriously to prepare for that great Day, by a timely Repentance ?",,47,"As nagh dooisht shoh oo, as nagh der eh ort smmooinaght dy dowin cre’n aght chiarys oo son y laa mooar shen, liorish Arrys lhea ? ","And will not this awaken you, and make you seriously to prepare for that great Day, by a timely Repentance."
"Vod oo smooinaght er Briwnys as Corree ry heet, as nagh niaglee shoh oo veih geiyrt er Saaint ny foalley ? ","Can you think of Judgment and Wrath to come, and will not this terrify you from following your Lusts ?",,47,,
"My vees folliaght dagh Cree, ec y tra shen, er ny vrah, nagh bee oo aglagh dy reayll ayns dty chree leid ny smooinaghtyn, leid y chiarrail seihltagh, nagh sur soilshey as briwnys Yee ? ","If the Secrets of all Hearts will then be disclosed, will not you be afraid to harbour such Thoughts, such Designs, as will not bear the Light and Judgment of God ? ",,47,,
"Vod oo craid ommyjagh y yannoo, yn laa t’ow er ghra harrish Banglaanyn y Chredjue shoh ? ","Can you be foolishly merry, the Day you have repeated this Belief ?",,47,,
"Bee oo niau-vooiagh leih da dty Naboo, t’er chur jummoose ort, as jean oo eisht treishteil dy bee Jee arryltagh dy leih dhyts ? ","Will you hardly forgive your Neighbour that has offended you, and will you then hope that God will be ready to forgive you ?",,47,,
"Vel oo credjal dy negin dooin, eisht, coontey ’chur son ooilley ny foayryn ta Jee er chur dooin, as nagh jean shoh dty hionney dy yannoo ymmyd shaar jeu gys gloyr Yee as y Saaualtys ayd hene ? ","Do you Believe that we must then give an Account for all the Favours which God hath given us ; and will not this force you to use and improve them to the Glory of God, and your own Salvation ?",,47,,
"As er skyn ooilley, smooinee dy negin dhyt, eisht, ve er dty vriwnys, cha nee’n aght myr ta’n seihll briwnys, agh liorish goo Yee, liorish, er-y-fa shen, shegin dhyt goaill ayns laue beaghey, as cha nee lurg smooinaghtyn ommyjagh as cliaghtaghyn peccoil y Teihll. ","And above all, consider, that you must then be judged, not as the World judgeth of things, but by the Word of God, by which, therefore, you must resolve to live, and not according to the foolish Opinions, and sinful Customs, of the World.",,47,,
"Er jerrey ooilley, ta Gerjagh chammah as atchim, ayns y chredjue shoh, son ga dy bee mad dy jarroo eit gys coontey geyr, ny yeih, ta shin shickyr dy bee mad er nyn glashtyn lesh Foayr, as dy bee dellal erreeshagh er ny chur dooin, my vees nyn Staaid er eh hon. Son eshyn ta toiggal echey jeh nyn annooiney, eshyn hooar baase dyn saauail shin, ta dy ve nyn Mriw. ","Lastly ; This Belief hath Comforts, as well as Terrors ; for though we shall, indeed, be called to a strict Account, yet we are sure to be heard with Favour, and treated with Compassion, if our Case will bear it. For, He who knows our Infirmities, He that died to save us, is to be our Judge.",,47,,
Yn PHADJER.,The PRAYER.,,48,,
"O Haaualtagh y Teihll, ta liorish dty Chrosh as dt’ooill ooasle er chionnagh shin reeisht, saaue shin, ta shin dy feer injil guee ort. Giall dy vod yn Credjue firrinagh shoh ve kinjagh ayns nyn smooinaghtyn ; dy vod mad baase y gheddyn veih peccah, as girree reeisht gys craaueeaght ; dy vod mad ayns nyn greeaghyn cheet seose hoods, as veaghey kinjagh mayrt ; Dy vod mad shin hene y vriwnys ; as nagh bee mad er nyn neyrey, tra hig uss dy vriwnys y Teihll ayns Cairys. O Hiarn, giall dy vod mad jeaghyn lurg y cheet ayds lesh boggey, as Myghin y gheddyn ayns Laa’n Chooilleeiney. Amen. ","O Saviour of the World, who by thy Cross and precious Blood hast redeemed us, save us, we most humbly beseech thee. Grant that the Belief of these great Truths may ever be present in our Minds ; that we may die from Sin, and rise again unto Righteousness ; that we may with our Hearts ascend to thee, and with thee continually dwell ; That we may judge our selves ; and that we may not be condemned, when thou comest to judge the World in Righteousness. O Lord, grant that we may expect thy coming with Joy, and find Mercy in the great day of Recompence. Amen.",,48,,
SECT.   VII.,,,49,,
TA mee Credjal ayns y spyrryd Noo ; yn slaan-Aglish Casherick ; Sheshaght ny Nooghyn ; Leih Peccaghyn ; Irree reeisht ny Merriu ; as y Vea ta dy bragh farraghtyn. Amen. ,I Believe in the Holy Ghost ; the Holy Catholic Church ; the Communion of Saints ; the Forgiveness of Sins ; the Resurrection of the Body ; and the Life Everlasting. Amen. ,,49,,
Q. Cre chon ta shin Credjal ayns y Spyrryd Noo ? ,Q. Why do we believe in the Holy Ghost ?,,49,,
"A. Son dy nee’n Spyrryd Noo ta dyn Nyannoo aarloo son Niau ; As shen-y-fa ta shin er nyn gasherickey huggysyn ayns Bashtey, liorish Saarey Chreest ; as ta shin ynsit dy ghuee dy vod Eh ve marin son dy bragh. ","A. Because it is the Holy Ghost who fits us for Heaven ; and therefore we are dedicated to Him in Baptism, by the Command of Christ, and are taught to pray, that He may ever be with us.","Tit. 3. 5.
Matt. 28. 17.
2 Cor. 12. 14.",49,,
Q. Cre’n aght ta’n Spyrryd dyn nyannoo aarloo son Niau ? ,Q. How doth the Holy Ghost fit us for Heaven ?,,49,,
A. Liorish shickyrys y chur dooin jeh gaaue peccah ; feime as myghin Fer kionnee ; as cre’n aght oddys mad barriaght y gheddyn harrish nyn Noidyn. ,"A. By convincing us of the danger of Sin ; of the Necessity and Mercy of a Redeemer, and of the possibility of overcoming our Enemies.",John 15. 26.,49,,
Q. Cre ny haghtyn ta’n Spyrryd dy ghoaill dy chur shickyrys dooin jeh firrinys ny reddyn shoh ? ,Q. By what Means doth the Spirit convince us of the Truth of these Things ?,,49,,
"A. Liorish soiagh seose ny Phaderyn as ny Ostyllyn dy hoilshagh aigney Yee ; as dy yannoo ny loayr ad firrinagh liorish mirillyn ; dy voddagh deney ve shickyr jeh dy nee Goo Yee va ny goan ocsyn. Myr shen ayns earish feer ghyiare, va aarn wooar jeh’n teihll er ny hyndaa gys Creesteeaght, cha nee liorish Niart seihltagh, agh liorish ynsagh yn Tushtal, as liorish pooar y Spyrryd Noo. ","A. By establishing the Prophets and Apostles to make known the Will of God ; and to confirm by Miracles what they said ; that Men may be assured, their Word was the Word of God. So that in a very short time, a great Part of the World was converted to Christianity, not by worldly Force, but by the Preaching of the Gospel, and by the Power of the Holy Ghost.",,49,,
"Liorish ny haghtyn shen, Te kinjagh gobbragh er Creeaghyn leid as vees er nyn saauail. ","By which Means, he still worketh upon the Hearts of such as shall be saved.",,50,,
Q. Nagh vel eh dy liooar dy vel y Sushtal er ny ynsagh dooin ? ,Q. Is it not sufficient that we have the Gospel preached unto us ?,,50,,
"A. Cha vel, mannagh jean y Spyrryd Noo nyn dushtey y hoilshagh. Son cha niowyn da dooiney erbee ny reddyn ta bentyn rish Jee agh Spyrryd Yee. As shen-y-fa gys y dooiney dooghyssagh ta’n Sushtal dy jarroo ommyjagh, cha moo oddys fyss ve echey er ny reddyn t’er ny loayrt. ","A. It is not ; unless the Holy Ghost enlighten our Understanding. For no Man knoweth the Things of God, but the Spirit of God. And therefore, to the natural Man, the Gospel is mere foolishness, neither can he know the things that are spoken.","1 Cor. ii. 11.
ver. 14",50,,
"As dy firrinagh raad ta fyss ain er yn irrin, as ta shin faikin nyn Gurrym, cha nod mad y chooilleeney eh, derrey ta’n Spyrryd cheddyn casherickey nyn Greeaghyn, ta shen, te gobbragh aynin aignaghyn mie ; Aggle Yee, Graih gys e Leih’ghyn, as kairrail chreeoil jeh nyn Anmeeyn. Liorish shoh oddys shin ayns tra barriaght y gheddyn er nyn Saaint, dy eiyrt er shen ta mie as dy yannoo aarloo son Bea elley. ","And even, where we do know the Truth, and see our Duty, we are not able to perform it, until the same Spirit sanctifieth our Hearts, that is, worketh in us good Dispositions ; The Fear of God, a Love to his Law, and hearty Concern for our Souls, by which we are enabled, in Time, to overcome our Lust, to follow that which is good, and to prepare for another Life.",,50,"As dy firrinagh raad ta fyss ain er yn irrin, as ta shin faikin nyn Gurrym, cha nod mad y chooilleeney eh, derrey ta’n Spyrryd cheddyn casherickey nyn Greeaghyn, ta shen, te gobbragh aynin aignaghyn mie ; Aggle Yee, Graih gys e Leih’ghyn, as kairrail chreeoil jeh nyn Anmeeyn. Liorish shoh oddys shin ayns tra barriaght y gheddy er nyn Saaint, dy eiyrt er shen ta mie as dy yannoo aarloo son Bea elley. ",
"Q. Cre shegin dooin y yannoo, dy vod y Spyrryd Noo myr shoh soilshey y chur ayns nyn Aignaghyn as nyn Greeaghyn y chasherickey ? ","Q. What must we do, that the Holy Ghost may thus enlighten our Minds, and sanctify our Hearts ?",,50,,
A. Ta Yeesey Creest er vaagail dooin y choyrle as y Gialldyn shoh ; Ver Jee yn Spyrryd Casherick daauesyn hirrys eh. ,A. Jesus Christ hath left us this Direction and Promise ; God will give the Holy Spirit to them that ask him.,Luke xi. 13.,50,,
"Hug Eh Earlyss y Spyrryd dhyt, dy jarroo, roish ma voddagh oo y hirrey eh ; As nish tra ta fys ayd er dt’eime ; My nee oo Gyeearree, nee oo geddyn, yow leid y Ghrayse as vees fondagh dy dt’ynsagh, dy chooney lhiatt, dy dty chummal seose as dy dty gherjagh, derrey hig oo gys y Reereeaght echyssyn ta dy bragh farraghtyn. ","He gave you the earnest of his Spirit, even before you could ask it ; And now, when you know your Wants, if you ask, you shall receive ; you shall receive such Grace as shall be sufficient to direct, to assist, to support, and to comfort you, until you come to his everlasting Kingdom.",2 Cor. v. 5.,50,,
"Agh eisht, shegin dhyt gyeearree as guee son y Cheshaght ghraysoil echey ; Shegin dhyt oo hene y ghlenney veih dy chooilley vroid jeh’n Eill as jeh’n Spyrryd, as dty Chorp y reayll ny Hiamble glen da’n Spyrryd Noo dy veaghey ayn ; As shegin dhyt beaghey ayns biallys daauesyn ta’n Spyrryd Noo er hoi-agh harryd, dy dt’ynsagh as dy dty reill. As eisht foddee oo ve shickyr dy leeid Jee oo saauchey gys Niau. ","But then, you must desire and pray for his gracious Fellowship ; You must cleanse yourself from all Filthiness of Flesh and Spirit, and preserve your Body a fit Temple for the Holy Ghost to dwell in ; and you must live in Obedience to those whom the Holy Ghost hath set over you, to teach and to govern you ; and then you may be confident he will conduct you safe to Heaven.","2 Cor. vii. 1.
1 Cor. iii. 16.
1 Cor. xii. 28.",51,,"But then, your must desire and pray for his gracious Fellowship ; You must cleanse yourself from all Filthiness of Flesh and Spirit, and preserve your Body a fit Temple for the Holy Ghost to dwell in ; and you must live in Obedience to those whom the Holy Ghost hath set over you, to teach and to govern you ; and then you may be confident he will conduct you safe to Heaven."
"Q. Vel Jee, myr shoh, myghinagh daauesyn ooilley ta bashtit ? ",Q. Is God thus merciful to all that are baptized ?,,51,,Q. Is God thus merciful to all that are baptized ;
"A. Ta Jee booiagh ooilley ve saauchey as dy heet gys tushtey jeh’n Irrin. Agh ta ymmodee ta cherraghtyn son laccal Grayse, as foast ta’n Coayll oc kyndagh roo hene. ","A. God would have all Men to be saved, and to come to the Knowledge of the Truth. But there are very many who perish for want of Grace, and yet their Destruction is from themselves.",1 Tim. ii. 4.,51,,
"Leid shoh adsyn ta mee-rioosagh jeh Saasyn y Ghraish ; Cha vel oc, son nagh vel ad shirrey. ","Such are they who neglect the Means of Grace ; they have not, because they ask not.",James iv. 2.,51,,
"Leid shoh adsyn, myrgeddyn, nagh vel jannoo ymmyd jeh ny Graysyn ta Jee er chur daaue ; as eisht, cordail rish e ghoo, te goaill vou dy jarroo shen ny t’oc. ","Such are they also, who will not use the Graces God hath given them ; and then, according to his Word, He taketh away, even that which they have.",Matt. xxv. 29,51,"Leid shoh adsyn, myrgeddyn, nagh vel jannoo ymmyd jeh ny Graysyn ta Jee er chur daaue ; as eisht, cordail rish e ghoo, te goaill vou dy jarroo shen ny to’c. ",
"Ta ymmodee ayn ta cur corree er y Spyrryd casherick, as cur er e chooney graysoil y haarn vou, son dy vel ad cur rish peccah er fyss daaue, as tannaghtyn ayn. ","There are many who grieve the Holy Spirit, and force him to withdraw his gracious Assistance, by their Consenting to known Iniquity, and continuing in it.",,51,,
"As er jerrey ooilley, ta ymmodee, ta gobbal y Spyrryd Casherick dy roonagh, gra, Immee er sooyl woin, son cha vel shin shirrey tushtey jeh dty raadjin. ","And lastly, there are many who do despite to the Holy Spirit, saying, Depart from us, for we desire not the Knowledge of thy ways.","Heb. x. 29.
Job xxi. 14.",52,"As er jerrey ooilley, ta ymmodee, ta gobbal y Spyrryd Casherrick dy roonagh, gra, Immee er sooyl woin, son cha vel shin shirrey tushtey jeh dty raadjin. ",
Q. Cre’n vondeish vees y Credjue shoh dooin ? ,Q. Of what use will this Belief be to us ?,,52,,
"A. Freaillee eh oo veih Mee-hreishteil ; foddee niaughlennid y dooghys ayd ve mooar, as, gys tushtey seihltagh, niau-phossable y ve smaghtit, agh cha vel niee erbee roa ghoillee da Jee. ","A. It will keep you from Despair ; your Corruptions may be great, and to human Reason, impossible to be overcome ; but with God all things are possible.",Mark x. 27.,52,,
"Freaillee eh oo veih Daanys ; cha jeagh oo lurg cooney Yee, as gyn oo hene jannoo ny oddys oo. ","It will keep you from Presumption ; you will not expect God’s Assistance, without using your own Endeavours.",Phil. ii. 12.,52,,
"As er jerrey ; freaillee eh oo veih roih ayns shagh’rynys, choud as eiyrys oo er y Goo t’eshyn er livrey, er ny Saggyrtyn t’eshyn er chur er chaghtyraght, as t’ow veaghey ayns yn Aglish shen t’eshyn er chasherickey. ","Lastly ; It will keep you from running into Error, while you keep close to that Word which he hath inspired, to those Pastors which he hath sent, and continue in that Church which he hath sanctified.",,52,"As er jerrey ; freaillee eh oo veih roih ayns shagh’rynys, choud as eiyrys oo er y Goo t’eshyn er livrey, er ny Saggyrtyn t’eshyn er chur er chaghtyraght, as t’ow veaghey ayns yn Aglish shen t’eshyn er chasherickcy. ",
Q. Cre shegin dooin y chredjal mychione y slaan Aglish Casherick ? ,Q. What must we believe concerning the Holy Catholick Church ?,,52,,
"A. Ta shin credjal dy Doardee Yeesey Creest e Ostyllyn, as adsyn, ad haink nyn nyeaih, dy phreacheil y Sushtal, dy vashtey, as dy ghoaill padjer son ooilley ny va agyndagh dy chur biallys da ; as dy chur oghsyn, dy cherragh, er nonney dy ghyiarey jeh, leid as veagh scammyltagh gys nyn Gredjue Casherick. ","A. We believe that Jesus Christ ordained the Apostles, and they their Successors, to preach the Gospel, to baptise, and pray for, all that were disposed to obey it ; and to reprove, correct, or cut off, such as should become a Scandal to their Holy Profession.",,52,,
"Nish ta ny Kianoortyn as Saggyrtyn shoh, marish y Pobble ta fo’n churrym oc, enmyssit yn Aglish, as Creest y Kione eick. ","Now these Governors and Pastors, with the People under their Charge, are called the Church ; of which, Christ is the Head.",,52,,
"Ta-ee enmyssit, Casherick, son ymmodee Oyryn ; agh er skyn ooilley, son dy nee’n chiarrail wooar eick eh, dy yannoo sleih Casherick, as ta Saarey ec ooilley ny Holtyn eick dy ve myr shen. ","It is called Holy upon many Accounts, but especially, because its great Design is to make Men Holy, and all its Members are required to be so.",,52,,
"Ta-ee myrgeddyn enmyssit yn slaan Aglish, ta shen dy ghra, Roshtyn er ooilley, son dy vel ee liorish Creest kiarit dy ve Saaualtys dy chooilley Ashoon as Pobble, ghouys as ver biallys gys Leih’ghyn y Sushtal. ","It is also called Catholick, that is, Universal, because it is by Christ designed for the Salvation of all Nations and People, that will receive and obey the Laws of the Gospel.",Mark xvi. 15,53,,
"As she gys Kianoortyn as Saggyrtyn yn Aglish shoh ta Yeesey Creest er yannoo’n Gialldyn mooar shoh, Cur my ner, ta mish meriu kinjagh ; dy jarroo, gys jerrey’n Teihll. ","And it is to the Governors and Pastors of this Church, that Jesus Christ has made this remarkable Promise ; Lo, I am with you always, even unto the end of the World.",Matt. xxviii. 20,53,,
Q. Cre’n aght ta Creest marish Saggyrtyn yn Aglish echey ? ,Q. How is Christ with the Pastors of his Church ?,,53,,
"A. Ta’n Spyrryd Casherick echey maroo, dy vannaghey adsyn t’ad dy vannaghey ayns ennym Chreest, as dy cherragh adsyn t’ad dy cherraghey dy cairagh. ","A. His Holy Spirit is with them to bless those whom they bless in his Name, and to chastise those whom they justly censure.",,53,,
Q. Cre’n ymmyd t’ayns Kerraghyn ny Haglish ? ,Q. What is the end of Church Censures ?,,53,,
"A. Dy haarn Peccee gys Arrys, as dy reayll yn Aglish glen as gyn loght, my oddys eh ve ; yn chooid sloo, dy liettal Kerraghyn Yee veih tuittym er y Cheshaght ooilley ; roish shen cha lhiass dooin aggle y ghoaill, choud as ta Drogh Yantee eit gys coontey, er nyn daarn gys tushtey jeh nyn Beccaghyn, ny tilgit magh, my nee ad tannaghtyn mee-viallagh. ","A. To bring Sinners to Repentance, and to preserve the Church pure and undefiled, if that may be ; at least, to hinder the Judgments of God from falling upon the whole Body, which we shall not have Reason to fear, while notorious Offenders are called to an account, brought to a sense of their Wickedness, or cast out, if they continue obstinate. ",,53,,
"Q. Nagh vod fer treishteil son leih e pheccaghyn veih Jee, fegooish ve er ny chur gys Narey ? ","Q. May not one hope for Pardon from God, without being exposed to shame ?",,53,,
"A. Quoi erbee ta streeu dy hea veih Kerragh ny Haglish, cha vel e faikin cre’n gaaue ta, liorish shen y yannoo, cha vel eh toiggal dy vel eh ny skiarrailee jeh ’Onnor hene na te jeh Onnor Yee ; Dy vel eh soiagh beg jeh Oardaghey slaaintoil ny Haglish dy chur tushtey da Peckee, as dy ghyiarey eh hene magh veih padjer y chloan chraauee as veih’n Feaysley peccaghyn ta Shirveishee Yee dy hoilshagh ; as dy vod eh dy cairagh jerkal dy glinn eh veih Jee ayns aght strimshee. ","A. Whoever strives to avoid the Church’s Censures, doth not see the Danger of doing so ; he doth not consider, that he consults his own, more than Gods Honour ; That he despiseth the wholsome Order of the Church for the Conviction of Sinners, and depriveth himself of the Prayers of the Faithful, and the Ministry of Absolution ; and that he may justly expect to hear from God in a way more afflicting.",,53,"A. Quoi erbee ta streeu dy hea veih Kerragh ny Haglish, cha vel e faikin cre’n gaaue ta, liorish shen y yannoo, cha vel eh toiggal dy vel eh ny skiarrailee jeh Onnor hene na te jeh Onnor Yee ; Dy vel eh soiagh beg jeh Oardaghey slaaintoil ny Haglish dy chur tushtey da Peckee, as dy ghyiarey eh hene magh veih padjer y chloan chraauee as veih’n Feaysley peccaghyn ta Shirveishee Yee dy hoilshagh ; as dy vod eh dy cairagh jerkal dy glinn eh veih Jee ayns aght strimshee. ",
Q. Cre eisht ta’n currym echyssyn ta tuittym fo Kerragh ny Haglish ? ,Q. What then is the Duty of a Person who makes himself liable to the Censures of the Church ?,,54,,
"A. Yn currym echey, dy injillagh eh hene gys e Chianoortyn spyrrydoil, myr gys Creest, gyn jeaghyn er y vriwnys oc myr kerragh, agh myr myghyn, dy ve eit gys coontey ayns y Teihll shoh, dy vod e gyn ve deyrit ayns y Teihll ta ry heet. ","A. His Duty is humbly to submit to his Spiritual Governors, as unto Christ ; not looking upon their Censures as a Punishment, but as a Mercy, to be call’d to an Account in this World, that he may not be condemned in the next.",,54,,
"Dy chur gloyr gys Jee ayns goaill rish e Pheccaghyn dy arryltagh, goaill rish dy vod Jee Peckee y cherragh, cre erbee’n aght Scaapys ad Kerraghey deney. ","To give Glory to God, in a free Confession of his Sins, acknowledging that God is able to punish Sinners, however they may escape the Censures of Men.",,54,,
"Te dy yannoo shoh lesh trimshey firrinagh son e oilchin, dy shickyr kiarrail Bea noa y leeideil, chammah son dy vel Jee, ta ronsagh Creeaghyn, cur feoh da Craaueeaght oalsey, as son dy vod feallagh elley yn trimshey echey y aikin, as gynsagh dy vel eh red olk as sharroo yn Chiarn y hreigeil. ","He is to do this with a true Sorrow for his Offences, stedfastly purposing to lead a New Life ; both because God, the Searcher of Hearts, hateth Hypocrisy, and that others, seeing his Affliction, may learn, That it is indeed an evil thing, and Bitter to forsake the Lord.",Jer. ii. 19.,54,"Te dy yannoo shoh lesh trimshey firrinagh son e oilchin, dy shickyr kiarrail Bea noa y leeideil, chammah son dy vel Jee, ta ronsagh Creeaghyn, cur feoh da Craaueeght oalsey, as son dy vod feallagh elley yn trimshey echey y aikin, as gynsagh dy vel eh red olk as sharroo yn Chiarn y hreigeil. ",
"Er jerrey ooilley, yn currym echey eh, dy yeearree pardoon as Padjeryn e Heshaghyn Creestee, as Saggyrt Yee dy chur da Feaysley veih e pheccaghyn, As eisht dy gherjagh eh hene lesh Gialldyn Chreest da e Aglish ; Da quoi erbee ta shiuish leih peccaghyn, t’ad leiht daaue ; as da quoi erbee nagh vel shiu cur feaysley, cha vel ad feayslit. ","Lastly, his Duty is, to desire the Pardon and Prayers of his Fellow-Christians, and the Absolution of God’s Minister ; and then to comfort himself with the Promise of Christ to his Church, Whose soever sins ye remit, they are remitted unto them ; and whose soever sins ye retain, they are retained.",John xx. 23.,54,,
Q. Cre ta toiggit liorish sheshaght ny Nooghyn ? ,Q. What is meant by The Communion of Saints ?,,55,,Q. What is meant by The Communion of Saints ;
"A. Dy chooilley Chreestee firrinagh, ta enmyssit Nooghyn, ta shen dy ghra, Pobble ta Casherickit gys shirveish Yee, dy vel ad yn Chorp ; Oc ta yn Chione, yn Chredjue, yn Hreishteil, yn Vashtey. As, shen-y-fa, ta cairys ec dy chooilley chreestee firrinagh ayns Padjeryn as Giastylys yn Aglish slaan, as gys dagh vondeish ta bentyn rhee ; Ta shen dy ghra, Ta cairys ec dagh Creestee gys Leih Peccaghyn, gys Graih Yee, gys Toilchinys Chreest, gys sheshaght y Spyrryd noo, as gys shirveish ny Ainlyn casherick. ","A. That all true Christians called Saints, that is, People Dedicated to God, are One Body, having One head, One Faith, One Hope, One Baptism. And, therefore, every true Christian hath an Interest in the Prayers and Charities of the whole Church, and a right to all its Privileges ;That is, every Christian hath a right to the Forgiveness of Sins, the Love of God, the Merits of Christ, the Fellowship of the Holy Ghost, and the Ministry of the Holy Angels.",,55,,
"Veih shoh t’ow dy chur tastey cre’n stayd trimshagh eh, dy ve mooie ass y Cheshaght shoh, ny dy ve jeh’n earoo ocsyn nagh vel enmyssit Nooghyn, ta shen dy ghra, nagh vel leeideil nyn Mea cordail rish y Sushtal, ta’d shoh ooilley fegooish Treishteil as fegooish Gialldynyn. ","From which you ought to learn, what a very sad condition it is to be out of this Communion, or to be of the number of them who are not called Saints ; that is, who do not live as becomes the Gospel, all such being without Hopes, and without Promises.",,55,"Veih shoh t’ow dy chur tastey cre’n stayd trimshagh eh, dy ve mooie ass y Cheshaght shoh, ny dy ve jeh’n earoo ocsyn nagh vel enmyssit Nooghyn, ta shen dy ghra, nagh vel leeidel nyn Mea cordail rish y Sushtal, ta’d shoh ooilley fegooish Treshteil as fegooish Gialldynyn. ",
Q. Cre’n aght ta Cairys ec dagh Creestee gys Leih peccaghyn ? ,Q. How hath every Christian a Right to the Forgiveness of Sins ?,,55,,
"A. Ny lomarcan liorish toilchinys as Gialldyn Chreest, t’er yannoo nyn Shee rish Jee, er conaant dy vel shin lesh Arrys cree-oil as credjue firrinagh chyndaa huggey. ","A. Only by the Merits and Promise of Christ, who hath made our Peace with God, upon condition, that with hearty Repentance and true Faith we turn unto him.",,55,,
