English,Manx,Original Manx,Notes
"If this cannot be done in any particular circuit, then they must be proposed and approved of at a quarterly-meeting. ","As mannagh vod shoh ve jeant ayns coorse erbee raad t’ad troailt, eisht shegin da ve loayrit jeh as er ny lowal ec meeteil kearroo[24]. ",,"[24] kearroo] Kelly, J. English - Manx gives ‘kierrooagh’ for quarterly,"
"Every local preacher must meet in class, and conform to all our discipline; and none can be excused in this respect.","Shegin da dy chooilley Phreachoor meeteil ayns class, as goll cordail rish ooilley ny oardaghyn ain, as cha vod leshtal fer erbee ve goit sy chooish shoh.",,
"In order to preserve the life and power of Godliness among us, the members of the society are desired, carefully, to guard against formality in public worship. In singing the praises of God, all the congregation are requested to join, [the women are desired to sing their part,] to take care not to sing too slow, to use no vain repetitions, and to sing no anthems.","Dy vod y vioys as e phooar dy chraueeaght v’er ny choadey ny’ mastey ain, ta oltyn e cheshaght er ny yeearree, dy kiaralagh, dy ve er nyn dwoaie noi ynrickan cummey ayns ooashley foshlit. Ayns singal moylley Yee ta ooilley’n [9] Cheshaght shir’t dy yoinal [ta ny mraane er ny yeearree dy singal yn ayrn ock hene,] dy singal bioyr, gyn dy yannoo ymmyd jeh ymmoddee goan fardalagh, as gyn dy singal anthemyn. ",,
"The hearers are intreated, seriously and solemnly to join with the preacher in prayer, and to hear the word with the deepest attention; taking care not to talk in the chapel when the service is over; but to go quietly and silently away, so that they may profit by what they have heard. ","Ta ny fir-chlashtee er ny yeearree, dy arrymagh as dy crauee dy yoinal marish y Preachoor ayns padjer, as dy chlashtyn yn goo lesh yn gheill ’sdiuney; goaill kiaraill gyn dy haggloo ayns y chabbal tra ta’n meeteil harrish: agh dy gholl roue ayns aght feagh as sheeoil veih’n veeteil, myr shen dy vod ad vondeish y gheddin liorish ny ta’d er chlashtyn. ",,
"In order to preserve our Rules, all the members of the society should constantly shew their Tickets to the steward, or to those persons as may be appointed for that purpose, at a meeting of the society.","Dy vod ny Ruleyn ain ve’r ny reayll, ta ooilley oltyn e Cheshaght dy yeeaghin ny Ticketyn ock da’n Stiurt, ny da lheid ny persoonyn as vees pointit son y chooid-cheddin ec meeteil e Cheshaght erlheh. ","Dy vod ny Ruleyn ain ve’r ny reayll, ta ooilley oltyn y Cheshaght dy yeeaghin ny Ticketyn ock da’n Stiurt, ny da lheid ny persoonyn as vees pointit son y chooid-cheddin ec meeteil y Cheshaght erlheh. ",
"No person can continue a member of the society who becomes a bankrupt, unless it appears, upon examination, that he has acted upright, kept good accounts, and has not been concerned in the base practice of raising money by coining notes, commonly called the Bill Trade. ","Cha vod persoon erbee tannaghtyn dy ve olt jeh’n Cheshaght ta cheet dy ve brisht ayns e ghellal, er nonney te r’akin liorish shirrey magh, dy vel eh er ve jeeragh ayns e ghellal, er reayll coontaghyn mie, as nagh vel veg er ve echey rish yn cliaghtey eajee shen, jeh troggal argid liorish cooiney noteyn enmyssit ayns Baarle yn Bill Trade. ",,
"No person who is a trustee, shall be excluded from the society, until his crime or breach of the Rules be proved, in the presence of the rest of the trustees and leaders. ","Cha bee treishteilagh erbee fo’n Cheshaght shoh, er ny ghiarey magh voue, derrey ta’n foill currit ny lheh er ny yannoo mie, ayns kionfenish yn chooid elley jeh ny treishteilee as ny leeideilee. ","Cha bee treishteilagh erbee fo’n Cheshaght shoh, er ny ghiarey magh voue, derrey ta’n foill currit ny lheh er ny yannoo mie, ayns kionfenish yn chooid elley jeh ny treeshteilee as ny leeideilee. ",
"No person among us shall call another Heretic, Bigot, or any other disrespectful name, on any account, or for a difference in sentiment. ","Cha jean fer erbee ny mastey ain genmys fer elley Shaghrynagh veih’n chredjue, Creoi-wannalagh doal, ny ennym neu-aghtal erbee elley, er coontey erbee, ny son lhiettrymys ayns briwnys. ",,
"No school-master or mistress, shall teach dancing, or receive a dancing-master into their school; nor should the members of our society suffer their children to be taught to dance. ","Cha jean mainshtyr-schoillar ny ben ta currym schoill urree, gynsaghey daunsin, ny goaill stiagh gys y schoill mainshtyr dy ynsaghey daunsin, chamoo nee veg jeh’ oltyn e cheshaght surranse da’n chloan ock dy ve ynsit dy ghaunsin.","Cha jean mainshtyr-schoillar ny ben ta currym schoill urree, gynsaghey daunsin, ny goaill stiagh gys y schoill mainshtyr dy ynsaghey daunsin, chamoo nee veg jeh’ oltyn y cheshaght surranse da’n chloan ock dy ve ynsit dy ghaunsin.",
"These are the General Rules of our Societies, all which we are taught of God to observe, even in his written Word, the only Rule and the sufficient Rule both of our Faith and Practice. And all these we know his Spirit writes on every truly awakened heart. ","Ad shoh ayns y clane[29] Ruleyn e cheshaght ain; ooilley’n chooid-cheddin ta shin ynsit liorrish Jee dy chur tastey daue, eer ayns e ghoo scruit echey yn ynrickan Rule as yn Rule shickyr, jeh nyn Gredjue as nyn [10] Gliaghtey. As ta fys ain dy vel yn Spyrryd echey scrieu ad shoh er dy chooilley chree ta dy firrinagh er ny ghoostey. ","Ad shoh ayns y clane[29] Ruleyn y cheshaght ain; ooilley’n chooid-cheddin ta shin ynsit liorish Jee dy chur tastey daue, eer ayns y ghoo scruit echey yn ynrickan Rule as yn Rule shickyr, jeh nyn Gredjue as nyn [10] Gliaghtey. As ta fys ain dy vel yn Spyrryd echey scrieu ad shoh er dy chooilley chree ta dy firrinagh er ny ghoostey. ","[29] Ayns y clane] ‘in their entirety’
[10] ?"
"If there be any among us who observe them not, who habitually break any of them, let it be made known unto them who watch over that soul, as they that must give an account. We will admonish him of the error of his ways: We will bear with him for a season. But then if he repent not, he hath no more place among us. We have delivered our own souls.","As my ta veg nyn mastey ain nagh vel cur tastey dy reayll ad, agh ta jannoo cliaghtey jeh brishey veg jeu, lhig da ve inshit dauesyn t’er nyn arrey harrish yn annym shen, myr adsyn shegin coontey choyrt. Nee mayd raue chur da mychione shaghrynys e raaidyn. Nee mayd gymmyrkey lesh son earish. Agh eisht mannagh gow eh arrys, cha vel ayrn sodjey echey nyn mastey ain. Ta shin er livrey ny hanmeenyn ain hene.",,
,,,
RULES,RULEYN NY SHESHAGHTYN BAND.,,
Of the BAND SOCIETIES,"Tayrnit Seose, Dec. 25. 1738.",,
"Drawn up December 25, 1738.",,,
"THE  design of our meeting is, to obey that command of God, “Confess your faults one to another, and pray one for another, that ye may be healed.” Jam. v. 16.","Ta oyr e cheet-cooidjagh ain dy chur biallys da’n sarey shen currit dooin liorish Jee, “Gow-jee rish nyn voiljyn yn derrey yeh da’n jeh elley as gow-jee padjer yn derrey yeh son y jeh elley dy vod shiu v’er ny lheihys.” Jam. v. 16.- ","Ta oyr y cheet-cooidjagh ain dy chur biallys da’n sarey shen currit dooin liorish Jee, “Gow-jee rish nyn voiljyn yn derrey yeh da’n jeh elley as gow-jee padjer yn derrey yeh son y jeh elley dy vod shiu v’er ny lheihys.” Jam. v. 16.- ",
The following questions ought to be proposed to every person that desires to be admitted into the Bands. ,"Lhisagh dagh persoon ta geearree dy ve goit stiagh ayns Band, ve feyshtit myr ta cheet ny lurg shoh.","Lhisagh dagh persoon ta geearree dy ve goit stiagh ayns Band, ve feeshtit myr ta cheet ny lurg shoh.",
1. Do you enjoy the knowledge of Salvation by the remission of sins? (Luke i. 77.) And have you the peace with God in your conscience? (Rom. v. 1.),1. Vel oo goaill soylley jeh tushtey dy haualtys lesh leih dy pheccaghyn ? (Luke i. 77.) As vel shee Yee ayd ayns dty chonsheanse[36] : (Rom. v. 1.),1. Vel oo goaill soylley jeh tushtey dy haualtys leih dy pheccaghyn ? (Luke i. 77.) As vel shee Yee ayd ayns dty chonsheanse[36] : (Rom. v. 1.),chonsheanse — elswhere ‘chooinsheanse’         
2. Have you the love of God shed abroad in your heart ? (Rom. v. 5.),2. Vel ayd graih Yee skeaylt dy lhean ayns dty chree ? (Rom. v. 5.) ,,
"3. Have you the Spirit of God bearing witness with your spirit, that you are a child of God? (Rom. viii. 16.)","3. Vel Spyrryd Yee gymmyrkey feanish lesh dty spyrryd, dy vel oo lhiannoo da Jee ? (Rom. viii. 16.) ",,
"4. Has no sin, inward or outward, dominion over you? (Rom. vi. 14.)",4. Vel peccah erbee er cheu-stie ny cheu-mooie as reiltys echey harryd ? (Rom. vi. 14 ) ,,
"5. Do you desire to be told of all your faults, and that plainly?","5. Vel oo geearree, dy ve inshit dhyt jeh ooilley dty oiljyn as shen dy plain ? ",,
"6. Do you desire that each of us should tell you whatever we think, or fear, or hear concerning you?","6. Vel oo geearree, dy jinnagh dagh unnane ain ginsh dhyt cre-erbee ta shin smooinaghtyn, goaill aggle jeh, ny clashtyn mychione ayd?",,
"7. Do you desire, that in doing this, we should come as close as possible; that we should search your heart to the bottom?","7. Vel oo geearree, ayns jannoo shoh dy jinnagh shin cheet cha faggys as oddys mayd, as dy jinnagh shin shirrey magh gys diunid dty chree ?",,
"8. Do you desire, that each of us should tell you from time to time, whatsoever is in his mind concerning you?","8. Vel oo geearree, dy jinnagh dagh unnane ain veih traa dy traa, ginsh dhyt cre-erbee t’er nyn aigney my-dty-chione?",,
"9. Is it your desire and design, to be on this and all other occasions, entirely open, so as to speak every thing that is in your heart, without exception, without disguise, and without reserve?","9. Vel eh’n yeearree as y chairail ayd, dy ve er shoh as dy chooilley oyr elley, cha foshlit shen ayns dty aigney, dy jean oo loayrt cre-erbee t’ayns dty chree fegooish lhiettal, fegooish coodaghey, as fegooish keeltyn ?",,
"Our design is,","Te’n chiarail ain,",,
"1. To meet once a week, at the least.","1. Dy veeteil keayrt ’sy chiaghtin, ec y chooid sloo. ",,
"2. To come punctually at the hour appointed, without some extraordinary reason.","2. Dy heet dy kiaralagh ec yn oor pointit, mannagh vel oyr fondagh freayll shin. ",,
"3. To begin exactly at the hour, with singing or prayer.","3. Dy ghoaill toshiaght kiart er yn oor, lesh arrane moylley ny padjer. ",,
"4. To speak each of us in order, freely and plainly, the true state of our souls, with the faults we have committed in thought, word, or deed, and the temptations we have been exercised with since our last meeting.","4. Dy loayrt dagh unnane ain ayns coorse, dy arryltagh, as dy foshlit stayd firrinnigh nyn anmeenyn, marish ny foiljyn ta shin er ve kyndagh jeh ayns smooinaghtyn, raa, ny jannoo, as ny miolaghyn ta shin er ve gleck roo neayr ren shin meeteil roiee.",,
"5. To end every meeting with prayer, suited to the state of each person present.","5. Dy chur jerrey er dagh meeteil, lesh padjer, cordail rish stayd dagh persoon kionfenish. ",,
"6. To desire some person among us to speak his own experience first; and then to ask the rest in order, as many and as searching questions as may be, concerning their state, sins, and temptations. Such as","6. Dy yeearree persoon ennagh nyn mastey ain dy insh y stayd echey hene hoshiaght; as eisht dy vriaght jeh’n chooid elley ayns coorse, whilleen as lheid ny questionyn as ta ymmyrchagh mychione nyn stayd, nyn beccah, as nyn miolaghyn. Lheid as,",,
1. Have you been guilty of any known sin since our last meeting?,1. Vel oo er ve kyndagh jeh peccah erbee er fys dhyt er dyn veeteil ’sjerree ? ,,
2. What temptations have you met with? ,2. Cre ny miolaghyn t’ou er veeteil rish? ,,
3. How was you delivered?,3. Kys v’ow er dty livrey ? ,,
"4. What have you thought, said, or done, of which you are doubt whether it be a sin or not? ","4. Cre t’ow er smooinaghtyn, er ghra, ny er yannoo, jeh t’ow dooyteilagh vel eh peccah mannagh vel.[37]",,[37] English editions of ‘Rules of the Band.-Societies’ up until 1879 have a 5th question here: ‘Have you nothing you desire to keep top secret?’ [Not 1800]
,,,
DIRECTIONS Given to the Band-Societies.,Coyrleyn da nyn lheid as t’ayns Band.,,
"You are supposed to have the “Faith that overcometh the world:” To you therefore it is not grievous,",Te smooinit dy vel ayds yn “Credjue ta geddyn y varriaght er y seihll” diuish er y fa shen cha vel eh deinys. ,,
"I. Carefully to abstain from doing evil; in particular,—","I. Er-lheh: dy kairalagh dy reayll veih jannoo olk, ",,
1. Neither to buy or sell any thing on the Lord’s day.,1. Gyn dy chionnaght ny dy chreck nhee erbee er laa yn Chiarn. ,,
"2. To taste no spirituous-liquors, unless prescribed by a physician. ","2. Gyn dy vlashtyn er licker erbee, mannagh vel liorish coyrle fer lhee. ",,
3. To be at a word both in buying and selling.,3. Dy ve er fockle ayns creck as kionnoght. ,3. Dy ve er fockle ayns creck as kionnaght. ,
"4. Not to mention the fault of any behind his back, and to stop those short that do.","4. Gyn dy enmys foiljyn fer erbee cheu-chooylloo, as dy lhiettal leah fer erbee ta jannoo shen. ","4. Gyn dy enmys foiljyn fer erbee cheu-chooylloo, as dy lhiettal dy leah fer erbee ta jannoo shen. ",
"5. To wear no needless ornaments, such as rings, ear-rings, necklaces, laces, or ruffles.","5. Gyn dy cheau reddyn son soiaghey magh stoamid ny persoonyn ain, nagh vel feme roo, lheid as fainaghyn, fainaghyn cleash, laitchyn mwannal ny rufflyn. ",,
"6. To use no needless self-indulgence, such as taking snuff, or tobacco, unless prescribed by a physician.","6. Gyn dy chur raad da cliaghtey miandagh erbee nagh vel feme rish, lheid as snuff ny tobacco, mannagh vel eh sarit liorish fer-lhee.",,
"II. Zealously to maintain good works: in particular, ",II. Dy jean dy chummal seose obbraghyn mie; erlheh. ,,
"1. To give alms of such things as you possess, according to your power. ","1. Dy ve giastylagh ayns lheid ny reddyn as t’ayd ayns dty chummal, cordail rish dty phooar. ",,
"2. To reprove all that sin in your sight, and that in love, and meekness of wisdom.","2. Dy chur oghsan da ooilley nyn lheid as ta cur rish peccah ayns dty hilley, as shen ayns graih, as meenid dy chreenght. ",,
"3. To be patterns of diligence and frugality, of self-denial, and taking up the cross daily. ","3. Dy ve sampleyryn jeh tarrooid, as jeidjys, jeh gobbal shiu hene, as goaill seose nyn grosh gagh-laa.",,
"III. Constantly to attend on all the ordinances of God: In particular,",III. Dy hendeil dy kinjagh er ooilley oardaghyn Yee: erlheh. ,,
"1. To be at public worship, and at the Lord’s-table every week, if possible; and at every public meeting of the Bands. ",1. Dy ve ec shirveish foshlit as ec Shibber y Chiarn my oddys eh ve; as ec dy chooilley veeteil foshlit jeh ny bandyn. ,,
"2. To use private prayer every day: And family prayer, if you are the head of a family. ",2. Dy yanoo ymmyd jeh padjer erlheh dy chooilley laa as padjer lught-thie my t’ow kione lught-thie. ,,
"3. To read the scriptures, and meditate therein, at every vacant hour. And,","3. Dy lhaih ny scriptyryn, as dy resooney ayndoo ec dy chooilley oor ta caa ain, ",,
"4. To use fasting or abstinence, as often as your health will permit. ","4. Dy hrostey, ny dy reayll yn corp fo smaght cha mennick as nee eh gansoor yn claynt ain. ",,
 ,,,
,yn jerrey.,,
"g. story,",,,
"North-Green, Worship-Street, London.","J  Nuttall, Printer.",,
