English,Manx,Manx Original,Notes
"We are accounted righteous before God, only for the merit of our Lord and Saviour Jesus Christ by Faith, and not for our own works or deservings: Wherefore, that we are justified by Faith only is a most wholesome Doctrine, and very full of comfort, as more largely is expressed in the Homily of Justification.","Ta shin coontit cairagh kionfenish Jee, ynrican son toilchinys nyn Jiarn as Saualtagh Yeesey Creest, liorish credjue, as cha nee son nyn obbraghyn ny nyn doilchinys hene. Shen-y-fa ta’n ynsagh dy vel shin er nyn seyrey liorish credjue ny-lomarcan, ynsagh follan as lane dy gherjagh ; myr te ny sodjey focklit magh ayns y Homily mychione Seyrey Ghooinney.","Ta shin coontit cairagh kionfenish Jee, ynrican son toilchinys nyn Jiarn as Saualtagh Yeesey Creest, liorish credjue, as cha nee son nyn obbraghyn ny nyn doilchinys hene. Shen-y-fa ta’n ynsagh dy vel shin er nyn seyrey liorish credjue ny-lomarcan, ynsagh follan as lane dy gherjah ; myr te ny sodjey focklit magh ayns y Homily mychione Seyrey Ghooinney.",
,,,
XII. Of Good Works.,12. Mychione Obbraghyn Mie.,,
"Albeit that Good Works, which are the fruits of Faith, and follow after Justification, cannot put away our sins, and endure the severity of God’s Judgement; yet are they pleasing and acceptable to God in Christ, and do spring out necessarily of a true and lively Faith; insomuch that by them a lively Faith may be as evidently known as a tree discerned by the fruit.","Ga nagh vod Obbraghyn Mie, ta mess credjue, as geiyrt er feaysley peccaghyn, goaill ersooyl nyn beccaghyn, as shassoo briwnys geyre Yee: ny-yeih t’ad booisal gys Jee ayns Creest, as dy kinjagh gaase ass credjue firrinagh as bioal ; myr shen dy vel credjue bioal dy ve cronnit lioroo cha baghtal as ta billey dy ve cronnit liorish e vess.",,
,,,
XIII. Of Works before Justification.,13. Mychione Obbraghyn jeant roish my ta Dooinney er ny Heyrey.,13. Mychione Obbraghyn jeant roish ny ta Dooinney er ny Heyrey.,
"Works done before the grace of Christ, and the Inspiration of his Spirit, are not pleasant to God, forasmuch as they spring not of faith in Jesus Christ, neither do they make men meet to receive grace, or (as the School-authors say) deserve grace of congruity: yea rather, for that they are not done as God hath willed and commanded them to be done, we doubt not but they have the nature of sin.","Cha vel obbraghyn jeant roish ta grayse Chreest as bree e Spyrryd er nyn goyrt, booisal da Jee, er-yn-oyr nagh vel ad cheet veih credjue ayns Yeesey Creest; chamoo t’ad jannoo deiney cooie dy gheddyn grayse, ny (myr ta ny shenn Fir-ynsee gra,) toilliu grayse myr nyn gair: dy firrinagh er-yn-oyr nagh vel ad jeant myr ta Jee shirrey as sarey ad dy ve jeant, cha vel dooyt ain nagh vel dooghys pheccah oc.",,
,,,
XIV. Of Works of Supererogation.,14. Mychione Obbraghyn enmyssit Obbraghyn jeh “Supererogation.”[3],,"[3] In the Contents list of the Articles, this one is entitled Mychione Obbraghyn rait dy ve erskyn nyn Gurrym-kianlt."
"Voluntary Works besides, over, and above, God’s Commandments, which they call Works of Supererogation, cannot be taught without arrogancy and impiety: for by them men do declare, that they do not only render unto God as much as they are bound to do, but that they do more for his sake, than of bounden duty is required: whereas Christ saith plainly, When ye have done all that are commanded to you, say, We are unprofitable servants.","Cha vod obbraghyn jeant jeh nyn aigney hene, ny smoo as erskyn annaghyn Yee, enmyssit Obbraghyn jeh “Supererogation,” ve ynsit fegooish mooaralys as mee-chraueeaght: son lioroo ta deiney fockley magh dy vel ad coyrt da Jee, cha nee ynrican wheesh as t’ad kianlt dy yannoo, agh dy vel ad janooo ny smoo er y ghraih echeysyn na ta’n currym kianlt oc shirrey orroo: ga dy vel Creest soilshaghey dy baghtal, Tra ta shiu er n’yannoo ooilley ny ta er ny harey diu, abbyr-jee, She sharvaantyn neu-frioosagh shin.","Cha vod obbraghyn jeant jeh nyn aigney hene, ny smoo as erskyn annaghyn Yee, enmyssit Obbraghyn jeh “Supererogation,” ve ynsit fegooish mooaralys as mee-chraueeaght: son lioroo ta deiney fokley magh dy vel ad coyrt da Jee, cha nee ynrican wheesh as t’ad kialt dy yannoo, agh dy vel ad janooo ny smoo er y ghaih echeysyn na ta’n currym kianlt oc shirrey orroo: ga dy vel Creest soilshaghey dy baghtal, Tra ta shiu er n’yannoo ooilley ny ta er ny harey diu, abbyr-jee, She sharvaantyn neu-frioosagh shin.",
,,,
XV. Of Christ alone without Sin.,15. Mychione Creest ny-lomarcan fegooish Peccah.,15. Mychione Creest ny-lomacan fegooish Peccah.,
"Christ in the truth of our nature was made like unto us in all things, sin only except, from which he was clearly void, both in his flesh, and in his spirit. He came to be the Lamb without spot, who, by sacrifice of himself once made, should take away the sins of the world, and sin, as Saint John saith, was not in him. But all we the rest, although baptized, and born again in Christ, yet offend in many things; and if we say we have no sin, we deceive ourselves, and the truth is not in us.","Va Creest ayns firrinys nyn ghooghys jeant casley rooinyn ayns dy chooilley nhee, er-lhimmey jeh peccah, voish v’eh dy bollagh seyr, chammah ayns e eill, as ayns e spyrryd. Haink eh dy ve yn Eayn fegooish cron, va, liorish chebbal eh-hene un cheayrt myr oural, dy ghoaill ersooyl peccaghyn y theihll, as cha row peccah (myr ta Noo Ean gra,) ry-gheddyn aynsyn. Agh ta ooilley shinin, yn chooid elley jeh sheelnaue, ga dy vel shin bashtit, as er nyn ruggey reesht ayns Creest, foiljagh ayns ymmodee reddyn: as my ta shin gra dy vel shin gyn peccah ta shin molley shin-hene, as cha vel yn irriney ain.",,
, ,,
XVI. Of Sin after Baptism.,16. Mychione Peccah lurg Bashtey.,,
"Not every deadly sin willingly committed after Baptism is sin against the Holy Ghost, and unpardonable. Wherefore the grant of repentance is not to be denied to such as fall into sin after Baptism. After we have received the Holy Ghost, we may depart from grace given, and fall into sin, and by the grace of God we may arise again, and amend our lives. And therefore they are to be condemned, which say, they can no more sin as long as they live here, or deny the place of forgiveness to such as truly repent.","Cha vel dy chooilley pheccah baaish jeant jeh nyn yione lurg Bashtey, peccah noi yn Spyrryd Noo, as nagh vod v’er ny leih, Shen-y-fa cha vel gioot arrys dy v’er ny lhiettal veih nyn lheid as ta tuittym ayns peccah lurg Bashtey. Lurg dooin v’er gheddyn yn Spyrryd Casherick foddee mayd Coayll y ghrayse va er ny choyrt dooin, as tuittym ayns peccah; as liorish grayse Yee foddee mayd girree reesht as lhiassaghey nyn mea. As shen-y-fa t’adsyn dy v’er nyn gheyrey ta gra, nagh vod ad peccah y yannoo ny sodjey choud’s t’ad baghey ayns shoh, ny ta gobbal feaysley peccaghyn dauesyn ta dy firrinagh goaill arrys.",,
,,,
XVII. Of Predestination and Election.,17. Mychione Kiarail ro-laue Yee as yn Reih arryltagh echey jeh’n Vooinjer vees er nyn sauail.,,
"Predestination to Life is the everlasting purpose of God, whereby (before the foundations of the world were laid) he hath constantly decreed by his counsel secret to us, to deliver from curse and damnation those whom he hath chosen in Christ out of mankind, and to bring them by Christ to everlasting salvation, as vessels made to honour. Wherefore, they which be endued with so excellent a benefit of God be called according to God’s purpose by his Spirit working in due season: they through Grace obey the calling: they be justified freely: they be made sons of God by adoption: they be made like the image of his only-begotten Son Jesus Christ: they walk religiously in good works, and at length, by God’s mercy, they attain to everlasting felicity.","Ta Kiarail ro-laue Yee jeh deiney gys bea yn kiarail dy-bragh-farraghtyn echey, liorish (roish my va undinyn y theihll er nyn soiaghey,) t’eh dy kinjagh er chiarail, liorish e aigney keillit voinyn, dy eaysley veih mollaght as coayl-anmey dy-bragh-farraghtyn nyn lheid as t’eh er reih ayns Creest ass sheelnaue, as dy chur-lesh ad liorish Creest gys saualtys dy-bragh-farraghtyn, myr siyn jeant son ymmyd ooasle. Shen-y-fa t’adsyn t’er nyn mannaghey lesh lheid y gioot ooasle dy Yee, er nyn eam cordail rish kiarail Yee, liorish e Spyrryd gobbraghey ayns imbagh cooie: trooid grayse t’ad coyrt biallys da’n eam: t’ad er nyn seyrey dy nastee: t’ad jeant nyn gloan dy Yee liorish doaltanys: t’ad er nyn gaghlaa gys caslys e ynrican-er-ny-gheddyn Mac Yeesey Creest: t’ad gimmeeaght dy crauee ayns obbraghyn mie: as ec y jerrey, liorish myghin Yee, t’ad cheet gys maynrys dy-bragh-farraghtyn.","Ta Kiarail ro-laue Yee jeh deiney gys bea yn kiarail dy-bragh-farraghtyn echey, liorish (roish my va undinyn y theihll er nyn soiaghey,) t’eh dy kinjagh er chiarail, liorish e aigney keillit voinyn, dy eaysley veih mollaght as coayl-anmey dy bragh-farraghtyn nyn lheid as t’eh er reih ayns Creest ass sheelnaue, as dy chur-lesh ad liorish Creest gys saualtys dy-bragh farraghtyn, myr siyn jeant son ymmyd ooasle. Shen-y-fa t’adsyn t’er nyn mannaghey lesh lheid y gioot ooasle dy Yee, er nyn eam cordail rish kiarail Yee, liorish e Spyrryd gobbraghey ayns imbagh cooie: trooid grayse t’ad coyrt biallys da’n eam: t’ad er nyn seyrey dy nastee: t’ad jeant nyn gloan dy Yee liorish doaltanys: t’ad er nyn gaghlaa gys caslys e ynrican-er-ny-gheddyn Mac Yeesey Creest: t’ad gimmeeaght dy crauee ayns obbraghyn mie: as ec y jerrey, liorish myghin Yee, t’ad cheet gys maynrys dy-bragh-farraghtyn.",
"As the godly consideration of Predestination, and our Election in Christ, is full of sweet, pleasant, and unspeakable comfort to godly persons, and such as feel in themselves the working of the Spirit of Christ, mortifying the works of the flesh, and their earthly members, and drawing up their mind to high and heavenly things, as well because it doth greatly establish and confirm their faith of eternal Salvation to be enjoyed through Christ, as because it doth fervently kindle their love towards God: So, for curious and carnal persons, lacking the Spirit of Christ, to have continually before their eyes the sentence of God’s Predestination, is a most dangerous downfal, whereby the Devil doth thrust them either into desperation, or into wretchlessness[4] of most unclean living, no less perilous than desperation.","Myr ta smooinaghtyn crauee er Kiarail ro-laue Yee, as e reih arryltagh j’in ayns Creest, lane dy gherjagh millish, eunyssagh, as erskyn-insh, da sleih crauee, as da nyn lheid as ta gennaghtyn ayndoo hene bree Spyrryd Chreest, smaghtaghey obbraghyn yn eill, as nyn oltyn thallooinagh, as troggal nyn aignaghyn gys reddyn ard as flaunyssagh; chammah dy vel eh dy mooar niartaghey as shickyraghey nyn gredjue jeh Saualtys dy bragh-farraghtyn dy v’er ny chosney trooid Creest, as myrgeddin dy vel eh dy breeoil greesaghey nyn ghraih gys Jee: myr shen son sleih ta shirrey dy ve creeney erskyn ny ta scruit as jeh aigney foalley, as fegooish Spyrryd Chreest, dy reayll dy kinjagh roish nyn sooillyn, briwnys kiarail-ro-laue Yee, t’eh ribbey erskyn-towse dangeyragh, liorish ta’n drogh-spyrryd eddyr ceau ad ayns mee-hreishteil, ny ayns towse smoo dy neughlennid bea, chiart cha dangeyragh as mee-hreishteil.",,"[4] wretchlessness] i.e. recklessness, disregard, carelessness. The Manx avoids this, giving only ‘the greatest measure of unclean living.’"
"Furthermore, we must receive God’s promises in such wise, as they be generally set forth to us in holy Scripture: and, in our doings, that Will of God is to be followed, which we have expressly declared unto us in the Word of God.","Ny sodjey, shegin dooin goaill gialdynyn Yee er lheid yn aght as t’ad dy cadjin soit roin ayns Scriptyr Casherictk: as ayns nyn ymmyrkey-bea ta’n aigney shen dy Yee dy v’er ny eiyrt er ta dy baghtal er ny hoilshaghey dooin ayns Goo Yee.",,
,,,
XVIII. Of obtaining eternal Salvation only by the Name of Christ.[5],18. Mychione cosney Saualtys dy-bragh-farraghtyn ynrican liorish Ennym Chreest.,,"[5] It seems likely that it was the requirement to assent to this article that caused difficulty for Rev. Philip Moore, delaying his ordination to the ministry. ‘He was not ordained priest till 1739 [at the age of 34]. The reason of this appears to have been that he refused to assent to the dogma that it was impossible that the heathen and the unbaptised could be saved’ (Moore, Manx Worthies ‘Philip Moore’). "
"They also are to be had accursed that presume to say, That every man shall be saved by the Law or Sect which he professeth, so that he be diligent to frame his life according to that Law, and the light of Nature. For holy Scripture doth set out unto us only the Name of Jesus Christ, whereby men must be saved.","T’adsyn myrgeddin dy ve er nyn gheyrey ta goaill orroo dy ghra, dy bee dy chooilley ghooinney er ny hauail liorish y Leigh ny’n Credjue t’eh goaill rish, my t’eh tastagh dy ymmyrkey eh-hene cordail rish y Leigh shen, as soilshey ghooghys. Son ta Scriptyr Casherick soiaghey magh dooin ynrican ennym Yeesey Creest, liorish shegin da deiney ve er nyn sauail.",,
,,,
XIX. Of the Church.,19. Mychione yn Agglish.,,
"The visible Church of Christ is a congregation of faithful men, in the which the pure Word of God is preached, and the Sacraments be duly ministered according to Christ’s ordinance in all those things that of necessity are requisite to the same.","Ta’n Agglish foshlit Chreest sheshaght dy gheiney firrinagh, ayn ta Goo ghlen Yee er ny phreacheil, as ny Sacramentyn dy cooie shirveishit cordail rish oardagh Chreest ayns ooilley ny reddyn shen ta ymmyrchagh daue.","Tn Agglish foshlit Chreest sheshaght dy gheiney firrinagh, ayn ta Goo ghlen Yee er ny phreacheil, as ny Sacramentyn dy cooie shirveishit cordail rish oardagh Chreest ayns ooilley ny reddyn shen ta ymmyrchagh daue.",
"As the Church of Jerusalem, Alexandria, and Antioch, have erred; so also the Church of Rome hath erred, not only in their living and manner of Ceremonies, but also in matters of Faith.","Myr ta Agglish Yerusalem, Alexandria, as Antioch, er n’gholl er-shaghryn; myr shen ta Agglish yn Rome[6] myrgeddin er n’gholl er-shaghryn, cha nee ynrican ayns nyn mea as nyn oardaghyn, agh myrgeddin ayns cooishyn nyn gredjue.",,"[6] Agglish yn Rome] text Agglishyn Rome; which would seem to mean ‘the churches of Rome’; but NB Aspic y Rome ‘the Bishop of Rome’ in Art. 37, and y Raue ‘Rome’ in 18th-century Manx."
,,,
XX. Of the Authority of the Church.,20. Mychione Pooar yn Agglish.,,
"The Church hath power to decree Rites or Ceremonies, and authority in Controversies of Faith: And yet it is not lawful for the Church to ordain any thing that is contrary to God’s Word written, neither may it so expound one place of Scripture, that it be repugnant to another. Wherefore, although the Church be a witness and a keeper of holy Writ, yet, as it ought not to decree any thing against the same, so besides the same ought it not to enforce any thing to be believed for necessity of Salvation.","Ta pooar ec yn Agglish dy hoiaghey magh Oardaghyn er cheu-mooie, as dy reaghey Streeughyn mychione y Chredjue: as ny-yeih, cha vel eh cair da’n Agglish dy oardaghey nhee erbee ta noi Goo Yee; chamoo oddys ee cur bun er un ayrn jeh’n Scriptyr er lheid yn aght as dy gholl noi ayrn elley. Shen-y-fa ga dy vel yn Agglish feanish da, as freayll, ny Scriptyryn Casherick; ny yeih, myr nagh lhisagh ee oardaghey nhee erbee nyn oï, myr shen, er-lhimmey jeh ny Scriptyryn, cha lhisagh ee shirrey veg y ve er ny chredjal myr ymmyrchagh gys Saualtys.",,
,,,
XXI. Of the Authority of General Councils.,21. Mychione Pooar Coonceilyn Cadjin.,,
"General Councils may not be gathered together without the commandment and will of Princes. And when they be gathered together, (forasmuch as they be an assembly of men, whereof all be not governed with the Spirit and Word of God,) they may err, and sometimes have erred, even in things pertaining unto God. Wherefore things ordained by them as necessary to salvation have neither strength nor authority, unless it may be declared that they be taken out of holy Scripture.","Cha vel Coonceilyn Cadjin dy ve er nyn jaglym cooidjagh fegooish sarey as aigney Princeyn. As tra t’ad er nyn jaglym cooidjagh, (er-yn-oyr dy vel ad sheshaght dy gheiney j’eu nagh vel ooilley fo reill Spyrryd as Goo Yee,) foddee ad goll er-shaghryn, as ny cheayrtyn t’ad er n’gholl er-shaghryn, eer ayns reddyn bentyn rish Jee. Shen-y-fa cha vel bree ny pooar ayns reddyn soit magh lioroo myr ymmyrchagh gys Saualtys, mannagh vod ad ve focklyt magh myr goit ass ny Scriptyryn Casherick.","Cha vel Coonceilyn Cadjin dy ve er nyn jaglym cooidjagh fegooish sarey as aigney Princeyn. As tra t’ad er nyn jaglym cooidjagh, (er-yn-oyr dy vel ad sheshaght dy gheiney j’eu nagh vel ooilley fo reill Spyrryd as Goo Yee,) foddee ad goll er-shaghryn, as ny cheayrtn t’ad er n’gholl er-shaghryn, eer ayns reddyn bentyn rish Jee. Shen-y-fa cha vel bree ny pooar ayns reddyn soit magh lioroo myr ymmyrchagh gys Saualtys, mannagh vod ad ve focklyt magh myr goit ass ny Scriptyryn Casherick.",
,,,
XXII. Of Purgatory.,22. Mychione “Purgatory.”,,
"The Romish Doctrine concerning Purgatory, Pardons, Worshipping, and Adoration, as well of Images as of Reliques, and also invocation of Saints, is a fond thing vainly invented, and grounded upon no warranty of Scripture, but rather repugnant to the Word of God.","Ta Ynsagh ny Romanee mychione “Purgatory” Pardoonyn, Ooashley as Ammys da Jallooyn, chammah as da Relickyn, as myrgeddin Padjer gys ny Nooghyn, red fardailagh, dy ommijagh er ny ghedddyn magh, as gyn gruntit er undin erbee ayns y Scriptyr, agh er y cheu elley noi Goo Yee.",,
,,,
XXIII. Of Ministering in the Congregation.,23. Mychione Shirveish ayns y Cheeill.,,
"It is not lawful for any man to take upon him the office of publick preaching, or ministering the Sacraments in the Congregation, before he be lawfully called, and sent to execute the same. And those we ought to judge lawfully called and sent, which be chosen and called to this work by men who have publick authority given unto them in the Congregation, to call and send Ministers into the Lord’s vineyard.","Cha vel eh cair da dooinney erbee dy ghoaill er-hene yn oik jeh preacheil dy foshlit, ny shirveish ny Sacramentyn ayns y Cheeill, roish t’eh dy lowal er ny eam as er ny choyrt dy chooilleeney yn chooid cheddin. As ad shoh lhisagh shin jeeaghyn orroo myr dy lowal er nyn eam as er nyn goyrt, ta er nyn reih as er nyn eam gys yn obbyr shoh liorish deiney ta er nyn goyrt ayns pooar liorish yn Agglish dy eamagh as dy chur magh Shirveishee ayns garey-feeney yn Chiarn. ",,
,,,
XXIV. Of speaking in the Congregation in such a tongue as the people understandeth.,24. Mychione loayrt ayns y Cheeill ayns lheid y Chengey as ta’n pobble toiggal.,,
"It is a thing plainly repugnant to the Word of God, and the custom of the Primitive Church, to have publick Prayer in the Church, or to minister the Sacraments in a tongue not understanded of the people.","Te dy baghtal noi Goo Yee, as noi cliaghtey yn Agglish ayns y chied earish, dy ghoaill padjer cadjin ayns y Cheeill, ny dy hirveish ny Sacramentyn, ayns chengey nagh vel toiggit liorish y pobble.",,
,,,
XXV. Of the Sacraments.,25. Mychione ny Sacramentyn.,,
"Sacraments ordained of Christ be not only badges or tokens of Christian men’s profession, but rather they be certain sure witnesses, and effectual signs of grace, and God’s good will towards us, by the which he doth work invisibly in us, and doth not only quicken, but also strengthen and confirm our Faith in him.","Ta ny Sacramentyn ta er nyn oardaghey liorish Creest, cha nee ynrycan cowraghyn jeh goaill-rish Creesteenyn, agh ny sleaïe t’ad feanishyn shickyr as firrinagh, as cowraghyn breeoil dy ghrayse as aigney-mie Yee hooin; lioroo t’eh gobbraghey dy follit aynin, as cha nee ynrycan bioghey, agh myrgeddin niartaghey as shickyraghey nyn gredjue aynin.",,
"There are two Sacraments ordained of Christ our Lord in the Gospel, that is to say, Baptism, and the Supper of the Lord.","Ta daa Hacrament er ny oardaghey liorish Creest nyn Jiarn ayns y Tushtal; ta shen dy ghra, Bashtey as Shibber y Chiarn.",,
"Those five commonly called Sacraments, that is to say, Confirmation, Penance, Orders, Matrimony, and extreme Unction, are not to be counted for Sacraments of the Gospel, being such as have grown partly of the corrupt following of the Apostles, partly are states of life allowed in the Scriptures; but yet have not like nature of Sacraments with Baptism, and the Lord’s Supper, for that they have not any visible sign or ceremony ordained of God.","Cha vel yn queig shen dy cadjin enmyssit Sacramentyn, ta shen dy ghra, Goll-fo-laue Aspick, Jannoo Pennyss, Oik y Taggyrtys, Poosey, as Ooillaghey yn corp ec oor y vaaish, dy ve er nyn earroo mastey Sacramentyn y Tushtal; er-yn-oyr dy vel ad lheid as ta er naase ayns ayrn liorish geiyrt er ny Ostyllyn ayns aght neu-chooie, as ayns ayrn myr t’ad staydyn dy vea lowit ayns ny Scriptyryn: agh foast cha vel yn dooghys cheddin dy Hacramentyn oc rish Bashtey as Shibber y Chiarn; er-yn-oyr nagh vel courey ny oardagh foshlit oc, er ny phointeil liorish Jee.","Cha vel yn queig shen dy cadjin enmyssit Sacramentyn, ta shen dy ghra, Goll-fo-laue Aspick, Jannoo Pennyss, Oik y Taggyrtys, Poosey, as Ooillaghey yn corp ec oor y vaish, dy ve er nyn earroo mastey Sacramentyn y Tushtal; er-yn-oyr dy vel ad lheid as ta er naase ayns ayrn liorish geiyrt er ny Ostyllyn ayns aght neu-chooie, as ayns ayrn myr t’ad staydyn dy vea lowit ayns ny Scriptyryn: agh foast cha vel yn dooghys cheddin dy Hacramentyn oc rish Bashtey as Shibber y Chiarn; er-yn-oyr nagh vel courey ny oardagh foshlit oc, er ny phointeil liorish Jee.",
"The Sacraments were not ordained of Christ to be gazed upon, or to be carried about, but that we should duly use them. And in such only as worthily receive the same they have a wholesome effect or operation: but they that receive them unworthily purchase to themselves damnation, as Saint Paul saith.","Cha row ny Sacramentyn er nyn oardaghey liorish Jee dy vod mayd jeeaghyn orroo, ny cur lhieu ad mygeayrt marin, agh dy vod mayd jannoo ymmyd chooie jeu. As dauesyn ny-lomarcan ta goaill ad dy feeu ta’d vondeishagh: agh t’adsyn ta goaill ad dy neu-feeu cur lhieu orroo-hene kerraghey; myr ta’n Noo Paul gra.",,
"XXVI. Of the Unworthiness of the Ministers, which hinders not the effect of the Sacrament.","26. Mychione Neu-feeuid ny Shirveishee, nagh vel eh lhiettal vondeish y Sacrament.",,
"Although in the visible Church the evil be ever mingled with the good, and sometimes the evil have chief authority in the Ministration of the Word and Sacraments, yet forasmuch as they do not the same in their own name, but in Christ’s, and do minister by his commission and authority, we may use their Ministry, both in hearing the Word of God, and in receiving of the Sacraments. Neither is the effect of Christ’s ordinance taken away by their wickedness, nor the grace of God’s gifts diminished from such as by faith and rightly do receive the Sacraments ministered unto them; which be effectual, because of Christ’s institution and promise, although they be ministered by evil men.","Ga ayns Yn Agglish foshlit ta’n vooinjer veechrauee dy kinjagh ry-gheddyn mastey’n vooinjer chrauee, as ny cheayrtyn ta’n pooar smoo ec ny meechrauee ayns shirveish y Goo as ny Sacramentyn; ny-yeih myr nagh vel ad cooilleeney yn oik oc ayns yn ennym oc-hene, agh ayns ennym Chreest, as shirveish liorish y sarey as y phooar echeysyn, foddee mayd ymmyd y yannoo jeh’n chirveish oc, chammah ayns clashtyn Goo Yee, as ayns goaill ny Sacramentyn. Chamoo ta bree oardaghyn Chreest goit ersooyl liorish y veechraueeaght ocsyn, ny grayse giootyn Yee ny sloo orroosyn ta, liorish credjue as dy cooie, goaill ny Sacramentyn shirveishit orroo; ta breeoil er coontey oardagh as ghialdyn Chreest, ga dy vel ad shirveishit liorish drogh gheiney. ","Ga ayns Yn Agglish foshlit ta’n vooinjer veechraee dy kinjagh ry-gheddyn mastey’n vooinjer chrauee, as ny cheayrtyn ta’n pooar smoo ec ny meechrauee ayns shirveish y Goo as ny Sacramentyn; ny-yeih myr nagh vel ad cooilleeney yn oik oc ayns yn ennym oc-hene, agh ayns ennym Chreest, as shirveish liorish y sarey as y phooar echeysyn, foddee mayd ymmyd y yannoo jeh’n chirveish oc, chammah ayns clashtyn Goo Yee, as ayns goaill ny Sacramentyn. Chamoo ta bree oardaghyn Chreest goit ersooyl liorish y veechraueeaght ocsyn, ny grayse giootyn Yee ny sloo orroosyn ta, liorish credjue as dy cooie, goaill ny Sacramentyn shirveishit orroo; ta breeoil er coontey oardagh as ghialdyn Chreest, ga dy vel ad shirveishit liorish drogh gheiney. ",
"Nevertheless, it appertaineth to the discipline of the Church, that inquiry be made of evil Ministers, and that they be accused by those that have knowledge of their offences; and finally being found guilty, by just judgement be deposed.","Ny-yeih te bentyn rish reill yn Agglish dy bee feysht jeant mychione drogh hirveishee, as dy bee ad er nyn gassid lioroosyn ta tastagh jeh nyn loghtyn; as ec y jerrey, ta t’ad er nyn gheddyn dy ve oolee, dy bee yn oik oc goit voue liorish briwnys chairagh.",,
,,,
XXVII. Of Baptism.,27. Mychione Bashtey.,,
"Baptism is not only a sign of profession, and mark of difference, whereby Christian men are discerned from others that be not christened, but it is also a sign of Regeneration or new Birth, whereby, as by an instrument, they that receive Baptism rightly are grafted into the Church; the promises of forgiveness of sin, and of our adoption to be the sons of God by the Holy Ghost, are visibly signed and sealed; Faith is confirmed, and Grace increased by virtue of prayer unto God. The Baptism of young Children is in any wise to be retained in the Church, as most agreeable with the institution of Christ.","Ta Bashtey cha nee ynrican cowrey jeh nyn gredjue, as jeh’n lhiettrimys liorish ta Creesteenyn er nyn gronnaghey veih feallagh elley nagh vel er nyn mashtey, agh te myrgeddin cowrey jeh nyn ruggey-reesht; liorish, myr liorish saase, t’adsyn ta dy cooie er nyn mashtey soit stiagh ayns yn Agglish: ta ny gialdynyn jeh leih peccaghyn, as jeh nyn doaltanys myr cloan dy Yee liorish y Spyrryd Noo, dy foshlit signit as sealit; ta credjue er ny hickyraghey, as grayse er ny vishaghey liorish padjer gys Jee. Ta Bashtey Cloan aegey dy ve er ny reayll ayns yn Agglish er dy chooilley oyr, myr shen share ta cordail rish oardagh Chreest.",,
, ,,
XXVIII. Of the Lord’s Supper.,28. Mychione Shibber y Chiarn.,,
"The Supper of the Lord is not only a sign of the love that Christians ought to have among themselves one to another; but rather is a Sacrament of our Redemption by Christ’s death: insomuch that to such as rightly, worthily, and with faith, receive the same, the Bread which we break is a partaking of the Body of Christ; and likewise the Cup of Blessing is a partaking of the Blood of Christ.","Ta Shibber y Chiarn, cha nee ynrican cowrey jeh’n ghraih lhisagh ve ec Creesteenyn yn derrey yeh gys y jeh elley, agh ny sleaïe te ny Hacrament jeh nyn Gionnaghey-reesht liorish baase Chreest: myr shen t’adsyn ta goaill eh dy cooie, dy feeu, as lesh credjue, goaill ayrn jeh Corp Chreest ayns yn Arran t’er ny vrishey, as myrgeddin goaill ayrn jeh Fuill Chreest ayns y Chappan dy vannaght.",,
"Transubstantiation (or the change of the substance of Bread and Wine) in the Supper of the Lord, cannot be proved by holy Writ; but is repugnant to the plain words of Scripture, overthroweth the nature of a Sacrament, and hath given occasion to many superstitions.","Cha vod Transubstantiation (ny caghlaa stoo arran as feeyn) ayns Shibber y Chiarn ve er ny phrowal liorish y Scriptyr Casherick; agh te dy baghtal noi goan y Scriptyr, stroie dooghys y Sacrament, as te er choyrt oyr da ymmodee smooniaghtyn fardailagh.","Cha vod Transubstantiation (ny caghlaa stoo arran as feeyn) ayns Shibber y Chiarn ve er ny phrowal liorish y Scriptyr Casheric; agh te dy baghtal noi goan y Scriptyr, stroie dooghys y Sacrament, as te er choyrt oyr da ymmodee smooniaghtyn fardailagh.",
"The Body of Christ is given, taken, and eaten, in the Supper, only after an heavenly and spiritual manner. And the mean whereby the Body of Christ is received and eaten in the Supper is Faith.","Ta Corp Chreest er ny choyrt, er ny ghoaill, as er ny ee, ayns Shibber y Chiarn, ynrican lurg aght flaunyssagh as spyrrydoil. As ta’n saase liorish ta Corp Chreest er ny ghoaill as er ny ee ayns Shibber y Chiarn, Credjue.",,
"The Sacrament of the Lord’s Supper was not by Christ’s ordinance reserved, carried about, lifted up, or worshipped.","Cha row yn Sacrament jeh Shibber y Chiarn, liorish oardagh Chreest, dy ve er ny choyrt dy lhiattee, er ny choyrt lesh mygeayrt, troggit seose, ny er ny ooashlaghey.",,
,,,
XXIX. Of the Wicked which eat not the Body of Christ in the use of the Lord’s Supper.,29. Mychione ny Meechrauee nagh vel gee Corp Chreest ayns goaill Shibber y Chiarn.,,
