English,English Original,Manx,Notes,Page,Page1836,Page70th,Manx Original
"WE must not keep away from Christ on account of our stumblings and manifold faults; this would cast us under the law again, and bind us under condemnation; but we should humble ourselves directly before God, and seek earnestly for pardon through the blood of Christ. The longer we delay this, the worse our case will grow; and the sooner it is done, the sooner we shall have forgiveness. The Lord not imputing those sins to us which are sincerely repented of, our soul returns to its rest again. And instead of falling into carnal security, (as some may think,) it will rather strengthen our faith, and make us more watchful. Hasten, therefore, and come as soon and as well as thou canst. He will receive thee, even if thou canst but creep.",,"CHA negin dooin freayll ersooyl voish Creest er coontey nyn snapperal as ymmodee foiljyn; yinnagh shoh cur lesh shin fo’n leigh reesht as kiangley shin fo deyrey; agh lhisagh shin ginjillaghey shin hene chelleeragh kiongoyrt rish Jee, as dy jeean shirrey leih trooid fuill Chreest. Myr sodjey nee mayd cumrail myr smessey aasys nyn stayd, as myr s’leah ta shin dy yannoo eh myr s’leah yiow mayd leih. Myr nagh vel y Chiarn cur nyn lhieh ny peccaghyn shen ta shin dy firrinagh er ghoaill arrys er nyn son, ta nyn annym chyndaa reesht gys e ea. As ayns ynnyd tuittym ayns sauchys foalley (myr oddys paart smooinaghtyn) nee eh ny smoo niartaghey nyn gredjue as cur shin ny smoo er nyn arrey. Jean siyr er-y-fa-shen as tar cha leah as chammah as oddys oo. Gowee eh rhyt mannagh vod oo agh snaue.",,7,5,,
"Be persuaded to come just as you are; it is the very situation in which Christ receiveth sinners. Could you prove your state to be such, that mercy could not possibly be shown to you, it might excuse delay, that you might endeavour to be prepared, but this cannot be done. In the sight of God, your unfitness is no unfitness at all; the worse you are, the greater reason have you for an immediate application to Christ, and the more dangerous is delay.",,"Bee coyrlit dy heet kiart myr t’ou: son t’ou ’syn eer stayd shen ayn ta Creest goaill rish peccee. Dy voddagh oo soilshaghey dy vel yn stayd ayds lheid as nagh vod myghin roshtyn huggey, veagh leshtal ayd dy chur stiagh son lhiggey-shaghey, dy voddagh oo streeu dy yannoo oo-hene cooie, agh shoh cha vod oo y yannoo. Ayns shilley Yee cha vel yn an-chooieid ayd an-chooieid erbee,—myr smessey t’ou, myr smoo oyr t’ayd dy heet gys Creest fegooish cumrail, as myr smoo dangeyr t’ayns lhiggey shaghey.",,7,5,,
FREE JUSTIFICATION.,,SEYREY NASTEE.,,8,8,8,
"Their sins and iniquities will I remember no more. Heb. 10, 17. Jer. 31, 34. Is. 43, 25. Ez. 36, 25, 6, 7. Micah 7, 19.",,Er ny peccaghyn as y vee-chairys oc cha gooin-ym ny smoo. Heb. x. 17; Jer. xxxi. 34; Isai. xliii. 25; Ez. xxxvi. 25–27; Micah vii. 19.,,8,8,8,
"IN the free justification of a sinner before God, and giving him acceptance and peace of conscience, the gospel displays its power unto salvation.",,"AYNS seyrey nastee yn pheccagh kiongoyrt rish Jee as ayns coyrt da barrantys, as shee cooinsheanse ta’n sushtal soilshaghey e phooar gys Saualtys.",,8,8,8,
"It comes to the penitent transgressor as a ministration of righteousness,—as a word of reconciliation and peace. It opens the prison doors, and bids the captive go free. The power of the law was great, but in comparison with the gospel, the law was weak, and could make nothing perfect. The power of the law, was for destruction. The power of the gospel, is a life-giving power. The law could only hold down the man who was down before;—it could never give him life again. But the power to give life, is far greater than the power to kill. The gospel is thus mighty to pass by transgressions and sins, to set at liberty the souls that are bound, and to give boldness in the presence of the King of Saints to the poor captives of Satan. When the sinner’s heart is brought under the influence of the gospel, by the power of the Holy Spirit, it takes away the burden of guilt; it silences every accuser; it fills the believer with the confidence of hope; it forbids every weapon to prosper which is formed against him; and condemns every tongue which rises up in judgment against his soul. The justification which the gospel gives, is perfect and entire. The sins of a whole life, however accumulated, however aggravated, are blotted out in one moment, and that for ever. (Luke 7, 47.) Who shall lay any thing to the charge of God’s elect? It is God who justifieth. Who is he that condemneth? It is Christ who died;—yea, rather that is risen again;—who is at the right hand of God for ever; and where Christ is, there must his followers be also. [7]",,"Te cheet gys yn peccagh arryssagh myr shirveish dy ynrickys,—myr goo dy choardail as dy hee. Te fosley dorryssyn y pryssoon as cur reamys da’n chappee. Va pooar yn leigh mooar, agh ayns cosoylagh rish yn sushtal va’n leigh annoon, as cha voddagh eh jannoo nhee erbee slane ynrick. Va pooar yn leigh dy varroo. Ta pooar yn sushtal pooar ta coyrt bioys. Cha voddagh y leigh agh cummal fo dooinney tra v’eh heese,—cha voddagh eh chur da bioys reesht. Agh ta’n phooar dy choyrt bioys foddey erskyn yn phooar dy varroo. Ta’n sushtal myr shoh pooaral dy phardooney loghtyn as peccaghyn, dy hoiaghey ec reamys ny anmeenyn t’ayns geulaghyn, as dy chur dunnallys ayns fenish yn Ree dy Nooghyn, da cappee voghtey yn Drogh-spyrryd. Tra ta cree yn peccagh boght er ny chur lesh fo bree yn sushtal, liorish pooar yn Spyrryd Noo, te goaill ersooyl errey e loght; cur ny-host dy chooilley fer-chassid; te lhieeney yn credjuagh lesh yn barrantys dy hreishteil; te cur sheese dy chooilley ghreïe-caggee t’er ny gheddyn aarloo n’oi as deyrey dy chooilley hengey ta troggit seose ayns briwnys noi e annym. Ta’n seyrey ta’n sushtal dy choyrt seyrey fondagh as slane ynrick. Ta peccaghyn y slane bea, cre-theihll wheesh ayns earroo, cre-theihll cha eajee, dollit ass, ayns thullogh, as shen er son dy bragh. Luke vii. 47. “Quoi ver nhee erbee gys lieh cloan reiht Yee? She Jee ta seyrey. Quoi eh ta deyrey? She Creest hooar baase;—ny sodjey t’er n’irree reesht;—ta ec laue yesh Yee er son dy bragh; as raad ta Creest, shen y raad shegin da e eiyrtyssee ve myrgeddin. ","[7] 70th edn. lacks for ever, and has there also shall his servants be, rather than there must his followers be also; the Manx follows the version as in 1836.",8,8,8,
"In this total change in the relation of a sinner towards God, the gospel shows its power; it turns aside the edge of judgment, and rejoices in a victory over condemnation; and relieving a soul from fear,—from danger,—and from death,—it shows itself to be the power of God, unto Salvation. Sinner!—rejoice.",,"Ayns yn slane caghlaa shoh jeh stayd yn peccagh myr bentyn da Jee ta’n sushtal soilshaghey e phooar; te chyndaa ersooyl geyrid briwnys, as te goaill boggey ayns yn barriaght harrish deyrey; as ayns livrey annym veih aggle,—veih gaue—as veih baase,—te soilshaghey eh-hene dy ve pooar Yee gys Saualtys. Pheccagh!—Gow boggey.",,8,8,8,
SANCTIFICATION.,,CASHERICKYS.,,9,,9,
Sanctify the Lord God in your hearts. 1 Pet. iii. 15,,Jean-jee yn Chiarn Jee y Chasherickey ayns nyn greeaghyn. 1 Ped. iii.15.,,9,,9,
"MANY there are who willingly embrace the doctrine of justification by faith (Rom. iii. 28,) but are not quite so ready to cherish the equally important doctrine of sanctification, by the indwelling of the Holy Spirit in the heart (1 Cor. iii. 16, 17,) or in other words, to have Christ always within them as the true vine. (John xv. 4, 5.)",,"SHIMMEY t’ayn ta dy arryltagh lowal jeh’n ynsagh dy vel shin er nyn seyrey liorish credjue, (Rom. iii. 28,) agh cha vel ad cha arryltagh cheddin dy ghoaill rish yn ynsagh, ta jeh chiart wheesh dy hrimmid, dy vel shin er nyn gasherickey liorish y Spyrryd Noo baghey ayns y chree (1 Cor. iii. 16, 17), ny ayns focklyn elley, Creest dy ve kinjagh cheu-sthie j’eu myr y billey-feeyney firrinagh. (Ean xv. 4,5.)",,9,,9,
"No one has any right or authority from the holy scriptures, to think himself justified unless he be also sanctified, by a renewed walk and conversation. No out-ward reformation will avail; it must be an in-ward work, producing a hatred of every sinful thought, or word, or deed. We must not only avoid the appearance of evil, but we must also detest, and fight against, every evil propensity of our own sinful nature;— of the inner man, where no eye but that of God can possibly discern. The approbation or good opinion of our fellow sinners will sadly deceive us, unless we have an approving conscience, testifying our earnest longing desire to be sanctified from every defilement,—so that our walk may indeed be close with God.",,"Cha vel cairys ny reamys ec unnane erbee voish Goo Yee dy smooinaghtyn dy vel eh er ny heyrey, mannagh vel eh myrgeddin er ny chasherickey liorish bea noa as ellyn vie. Cha bee lhiasaghey bea erbee ­er-cheu-mooie fondagh: shegin da ve obbyr er-cheu-sthie, gobbraghey dwoaie da dy chooilley pheccah ayns smooinaght, raa, ny jannoo. Shegin dooin, cha nee ynrycan shaghney dy chooilley chaslys dy olkys agh shegin dooin dwoaie choyrt da, as caggey noi dy chooilley yeearree olk yn dooghys peccoil ain hene;—yn dooinney er-cheu-sthie, raad nagh vod sooill erbee agh sooill Yee fakin. Nee foayr ny goo mie nyn sheshey peccee dy treih molley shin, mannagh vel nyn gooinsheanse hene lhien, gymmyrkey feanish lesh nyn yeearree jeean dy ve er nyn gasherickey voish dy chooilley vroid, myr shen dy vod mayd dy firrinagh gimmeeaght myr ayns fenish Yee.",,9,,9,"Cha vel cairys ny reamys ec unnane erbee voish Goo Yee dy smooinaghtyn dy vel eh er ny heyrey, mannagh vel eh myrgeddin er ny chasherickey liorish bea noa as ellyn vie. Cha bee lhiasaghey bea erbee ­er-cheu-mooie fondagh: shegin da ve obbyr er-cheu-sthie, gobbraghey dwoaie da dy chooilley pheccah ayns smooinaght, raa, ny jannoo. Shegin dooin, cha nee ynrycan shaghney dy chooilley chaslys dy olkys agh shegin dooin dwoaie choyrt da, as caggey noi dy chooilley yeearree olk yn dooghys peccoil ain hene;—yn dooinney er-cheu-sthie, raad nagh vod sooill erbee agh sooill Yee fakin. Nee foayr ny goo mie nyn sheshey peccee dy treih molley shin, mannagh vel nyn gooinsheanse hene lhien, gymmyrkey feanish lesh nyn yeearree jeean dy ve er nyn gasherickey voish dy choilley vroid, myr shen dy vod mayd dy firrinagh gimmeeaght myr ayns fenish Yee."
"We must be completely separate from every thing unholy in practice or in thought; and we must also boldly dare the scoffs or railings of our old companions, or the world, if we would enjoy the favour of God, or live to his glory. (2 Tim. iii. 12.) Half measures will not do;—we must be all for God;—then our peace will flow as a river;—then shall we be “renewed in the spirit of our mind;”—then shall we put on the new man, which after God, is created in righteousness and true holiness—for without holiness no man  shall see the Lord.",,"Shegin dooin ve dy slane er nyn scarrey veih dy chooilley nhee mee-chrauee ayns jannoo ny ayns smooinaght; as shegin dooin myrgeddin dy dunnal soiaghey beg jeh craid as faghid nyn shenn chumraagyn ny yn seihll myr ta shin geearree dy ghoaill soylley jeh foayr Yee, ny dy vaghey gys e ghloyr, (2 Tim. iii. 12.) Shegin dooin ve ooilley-cooidjagh bio gys Jee;—eisht bee nyn shee myr yn awin; eisht bee mayd er nyn “yannoo ass-y-noa ayns spyrryd nyn aigney;” eisht ver mayd orrin “yn dooinney noa, ta lurg Jee er ny chroo ayns ynrickys as craueeaght firrinagh:” son fegooish casherickys cha jean dooinney erbee yn Chiarn y akin.",,9,,9,
"Careless professor!—beware how you trifle with holiness, or with sin:—the neglect of the one, or the practice of the other, will equally prove your ruin. James iv. 8. Awake to righteousness, and sin not; for many walk who are the enemies of the cross of Christ;—whose glory is in their shame;—ungodly men, whose end is destruction. Be ye not like unto them, but sanctify the Lord God in your heart, and keep yourselves in the love of God, unspotted from the world, looking for the mercy of our Lord Jesus Christ unto eternal life; and may God grant you this blessing,—for Christ’s sake alone. Amen.",,"Uss ta goaill rish yn credjue Creestee as foast baghey dy lhag-charailagh, bee er dty hwoaie kys t’ou jannoo meerioose er casherickys, ny cur rish peccah. Bee jannoo meerioose er y derrey yeh, ny cur rish y jeh elley, co-laik dty hoyrt-mow, Jamys iii. 8.[8] Dooisht gys cairys, as ny cur rish peccah: son ta ymmodee gimmeeaght, ta noidyn crosh Chreest, ta’n gloyr oc ayns nyn nearey; deiney mee-chrauee, ta’n jerrey oc toyrt-mow. Ny bee Uss goll roosyn, agh jean yn Chiarn Jee y chasherickey ayns dty chree, as freill oo-hene ayns graih Yee, glen veih broid y theihll, jeeaghyn son grayse nyn Jiarn Yeesey Creest gys y vea veayn: as dy giall Jee dhyt yn bannaght shoh er graih Chreest ny-lomarcan. Amen.  ",[8] l. Jamys iv. 8.,9,,9,
 ,,,,9,,9,
[10] (70th edition) ([10] 1836),,[10],,10,10,10,
PARDON FOR THE WORST OF SINNERS.,,PARDOON SON NY PECCEE SMESSEY.,,10,10,10,
"The Son of Man is come to seek and to SAVE that which mas LOST. Luke 19, 10.",,Ta Mac y dooinney er jeet dy hirrey as dy hauail shen ny va caillit. Luke xix. 10.,,10,10,10,
"THIS was the kind errand of the everlasting Son of God, the Messenger of Peace, the Reconciler between God and man. “Save the LOST!!”  There is something stupendously magnificent in the mercy here proclaimed. “Save the Lost?” . What?—The most abandoned?—the most sinful? Are these to be saved? Yes;—every one who comes to JESUS—will indeed be saved, for he has declared that all manner of sin and blasphemy shall be forgiven, to the true penitent— (Matt. 12, 31.) Paul, who had been a blasphemer, was pardoned and commissioned to preach the Gospel, to a lost world. Gal. i. 23—1. Tim. i, 12, to 16.[9]",,"SHOH va chaghteraght graysoil Mac dy bragh farraghtyn Yee, yn Chaghter dy hee, Eshyn ta jannoo cordail eddyr Jee as dooinney. “Dy hauail shen ny va caillit!!” Ta red ennagh erskyn insh yindyssagh as gloyroil ayns yn vyghin ayns shoh focklit magh. “Dy hauail shen ny va caillit!!” Cre? Yn vooinjer smoo creoghit, yn vooinjer smoo peccoil? Vel ad shoh dy ve er nyn sauail? Ta: bee dagh unnane ta cheet gys Yeesey dy jarroo er ny hauail: son t’eh er n’ockley magh dy “bee dy chooilley pheccah as raa mollaghtagh er ny leih” da’n arryssagh firrinagh. (Mian xii. 31.) Hooar Paul, va er ve ny hranlaasagh, myghin, as v’eh currit ayns pooar dy phreacheil yn Sushtal da seihll caillit. (Gal. i. 23. 1 Tim. i. 12–16.)","[9] The 1836 edition mentions Peter and Paul here, with a reference to John, in place of the reference to Gal. The Manx here matches the 70th edition version.",10,10,10,
"Look up then poor sinner, whoever thou art, or however deeply thou mayest have sinned against God, look up and believe in the Lord Jesus Christ, and thou shalt assuredly be saved, for He himself has declared, that he came to save such as you. Repent, then, that thy sins may be blotted out. Acts iii. 19.[10] Every true penitent will be pardoned; for the Lord hath no pleasure in the death of a sinner, but rejoiceth in mercy. Manasseh[11] was a great sinner,—a murderers; (2 Kings xxi. 16) but he repented, and was pardoned. Thousands of drunkards, swearers, and unbelievers have been pardoned, (on repentance) and received into the kingdom of God. Look up, then, poor trembling sinner; repent, and believe the willingness of God to receive you also into favour, and you will not be cast out. Nothing but unbelief can cause your ruin. Only come unto Jesus as a poor lost sinner, and salvation is yours—it is certain. Look to Christ, and be saved.",,"Jeeagh seose eisht, O pheccagh boght, quoi erbee oo-hene, ny cre-theihll wheesh as t’ou er n’yannoo peccah noi Jee: jeeagh seose, as jean credjal ayns y Chiarn Yeesey Creest, as bee oo son shickyrys er dty hauail: son T’eh-hene er n’ockley magh dy daink eh dy hauail dty lheids. Gow arrys er-y-fa shen, dy vod oo v’er dty ghlenney veih dty pheccaghyn. (Jannoo iii. 19.) Bee dy chooilley arryssagh firrinagh er ny leih: son cha vel taitnys erbee ec y Chiarn ayns baase peccagh, agh t’eh goaill boggey ayns myghin. Va Manasseh ny ard peccagh, ny ghunver, (2 Ree xxi. 16,) agh ghow eh arrys, as v’eh er ny phardooney. Ta thousaneyn dy veshtallee, dy lhooderyn, as dy vee-chredjuee, er ve er ny phardooney (er nyn arrys,) as goit stiagh ayns reeriaght Yee. Jeeagh seose eisht, O pheccagh boght er-creau; gow arrys as cred arryltys Yee dy ghoaill uss myrgeddin gys foayr; as cha bee oo er dty yiooldey magh. Cha vod nhee erbee agh mee-chredjue ve oyr dty hoyrt-mow. Ynrycan tar gys Yeesey, myr peccagh boght caillit, as vees saualtys lhiats,—te shickyr. Jeeagh gys Creest as bee er dty hauail.","[10] In 1836 the reference is to Acts 2, 12.
[11] In 1836, David and Manasseh are mentioned together.",10,10,10,
It pleased God to make this portion the means of conversion to a young man who had been a dissipated prodigal. He died rejoicing in Christ. To the Lord be all the praise.[12],,V’eh aigney Yee dy yannoo yn ayrn shoh saase dy hyndaa dooinney aeg v’er ny ve ny Vac stroialtagh erskyn twoaie. Hooar eh baase goaill boggey ayns Creest. Da’n Chiarn dy row ooilley yn ghloyr.,"[12] The 70th edition has a different last paragraph; here we put the paragraph from 1836, which the Manx matches.",10,10,10,
FORGIVENESS to the ENEMIES of GOD!,,LEIH DA NOIDYN YEE.,,11,13,5,
"Look unto me, and be ye saved, all ye ends of the earth. Isaiah 45. 22. Ye who were enemies to God!! Rom. 5. 10. Afar off, fulfilling the desires of the flesh and of the mind. Eph. 2. 3. 13. Seek ye the Lord. Isaiah 55. 6.",,"Jeeagh-jee hym’s, as bee-jee er nyn sauail, ooilley shiuish ardjyn y theihll, Is. xlv. 22. Shiuish va ayns stayd dy noidys gys Jee!! Rom. v. 10. Foddey jeh, cooilleeney yeearreeyn yn eill as yn aigney, Eph. ii. 3, 13. Shir-jee gys y Chiarn, Is. lv. 6.",,11,13,5,
"HEAR this blessed invitation, thou guilty, heavy-laden Sinner;—hear the voice of God. See him a God reconciled by the blood of Christ. Hear the voice of mercy extended to the very ends of the earth;—calling the Drunkard, the Blasphemer, the Infidel, the wicked of every denomination and degree;—calling every wandering stout-hearted Rebel to repent, and partake of that mercy which endureth for ever.",,"EAISHT rish yn cuirrey bannit shoh, O pheccagh oolee, trome-laadit:—eaisht rish coraa Yee! Cur-my-ner eh, ny Yee coardit liorish fuill Chreest. Eaisht rish coraa vyghin roshtyn eer gys king y thallooin;—geamagh er y Veshtyllagh, yn Lhooder, yn Mee-chredjuagh, ny mee-chrauee jeh dty chooilley cheint;—geamagh er dy chooilley noid er-shaghryn, ard-chreeagh, dy ghoaill arrys, as dy ghoaill ayrn jeh’n vyghin shen ta farraghtyn son dy bragh.",,11,13,5,
"Were the holy Angels to call forth all their highest powers, with all their loftiest strains of song, these could not express the vastness of the love of God to sinners!!",,"Dy beagh ny Ainleyn casherick dy ghreesaghey seose ny pooaraghyn syrjey oc, marish nyn giaulleeaght s’ooasle, cha voddagh ad shoh fockley magh mooadys graih Yee gys peccee!! ",,11,13,5,
“GOD—only knows the love of God.”,,“Ec Jee ta fys yn graih deyr Yee.”,,11,13,5,
"He alone knows the immensity of his own mercy,—but we know it to be fully sufficient for all our need,—and that no polluted sinner can come in vain, who comes to God by Jesus Christ.",,"Cha vel toiggal ec unnane erbee jeh graih Yee agh ec Jee hene.[13] Agh ta fys ainyn er dy vel eh slane fondagh son ooilley nyn ymmyrch,—as nagh vod peccagh neu-ghlen erbee cheet ayns fardail, ta cheet gys Jee liorish Yeesey Creest.",[13] In the original print this sentence is set at the end of the paragraph before “Ec Jee....”,11,13,5,
Do you then linger?—Do you tarry?—Do you halt?—Do you refuse an entrance into heaven?—Do you prefer the downward road to Hell!!!,,Vel oo eisht cumrail? Vel oo lhiggey-shaghey? Vel oo leaystey? Vel oo gobbal dy entreil stiagh ayns Niau? Vel oo goaill myr reih yn raad ta leeideil sheese gys Niurin!!,,11,13,5,
"O Sinner! Stay,—stay,—and turn to GOD. Look not at your sins, but look to Christ. To- morrow,—may be your last. Seek him to-day;—this very hour,—this very moment, —and escape for your life;—escape, before the flames of hell surround you, and your soul be lost for ever.",,"O pheccagh, fuirree ort,—as Chyndaa gys Jee. Ny jeeagh er dty pheccaghyn, agh jeeagh gys Creest. Foddee yn lhaa-mairagh ve dty lhaa s’jerree. Shir eh jiu; yn eer oor shoh,—yn eer thullogh shoh; as chea son dty vioys; chea, roish my nee lossaghyn niurin dty chruinnaghey mygeayrt, as dty annym ve caillit son dy bragh.",,11,13,5,
"Stay, sinner, on the gospel plains,",,Er aberyn y tushtal beayn,,11,13,5,
Behold the Son of God unfold,,Eaisht rish dty vochil bannee geam;,,11,13,5,
"The glories of his dying love,",,"Jeh bree e vaase, e hurranse hene",,11,13,5,
For ever telling—yet untold.,,Dyn scuirr t’eh soilshaghey yn feme.,,11,13,5,
"The Wicked pardoned. See Ezekiel c. 18, v. 21, to the end; also c. 33, v. 11. Examine these.",,"(Ny mee-chrauee er nyn leih: jeeagh gys Ezekiel xviii. 21, gys y jerrey; myrgeddin xxxiii. 11. Lhaih ad shoh dy tastagh.)",,11,13,5,
THE BROKEN HEARTED.,,YN VOOINJER HROME-CHREEAGH.,,12,9,12,
"The Lord hath sent me to heal the broken hearted; to preach deliverance to the captives, to set at liberty them that are bruised. Luke 4. 18.",,"Ta’n Chiarn er my choyrt dy laanaghey yn vooinjer hrome-chreeagh; dy phreacheil livrey-ys gys ny cappeeyn, dy chur reamys dauesyn ta broojit. Luke iv. 18.",,12,9,12,
"READER!—Thou mayest be a poor broken-hearted widow, mourning the loss of one dearer to thee than thine own life;—or thou mayest be a man of a tender heart, recently bereaved of one who was the delight of thine eyes— the partner of thy joys and sorrows. Well, my friend, whoever thou art, or whatever thy sorrows may be, here is one ready and willing to bear it all away, and heal thy broken heart; to turn thy mourning into songs of praise,[14] by the gift of Himself, as an ample return for all you have lost.",,"USS ta lhaih!—foddee oo ve dty ven-treoghe boght trome-chreeagh, dobberan son coayl fer va ny s’deyrey dhyt na dty vioys hene;—ny foddee oo ve dty ghooinney jeh cree meïygh, ta er y gerrid shoh er choayl unnane va taitnys dty hooillyn, parteeas dty voggey as dty hrimshey. My charrey, quoi erbee oo-hene, ny cre erbee ta dty heaghyn, ayns shoh ta Fer aarloo as arryltagh dy ghoaill eh ooilley ersooyl, as dy lheihys dty chree vrisht; dy  hyndaa dty ghobberan gys arraneyn dy voylley, liorish yn gioot Jeh-hene myr cooilleeney fondagh son ooilley ny t’ou er choayl.","[14] 1836 edition has dancing, instead of songs of praise here.",12,9,12,
"This very providence, dark and mysterious as it may appear in your present view, may be the very means of bringing you into the way of salvation, by bringing you to the footstool of mercy. Have you not neglected the best interests of your soul when all went well with you? Have you not frequently neglected opportunities of prayer and of praise? Have you not fixed your affections more on the creature than on the Creator?—Or have you not indulged in sinful pursuits instead of holiness? You may have been a drunkard, a swearer, or a backslider, and thus stand broken-hearted before the Lord: But is there no help? See the beginning of this portion, so exactly suited to thy melancholy case,—and cast thyself at the feet of him who came from heaven “ to set at liberty them that are bruised,—to preach deliverance to the captive, and to heal the broken-hearted;”  and, vile as you may have been, he will not cast you off, nor send you away without a blessing.",,"Foddee yn seaghyn shoh ta ard-charailys Yee er chur lesh ort, ga dy vod eh nish jeeaghyn dorraghey as erskyn dty hushtey, ve yn eer saase dy chur lesh oo gys raad y taualtys, liorish cur lesh oo gys stoyl-coshey dy vyghin. Nagh vel oo er ve meerioosagh er vondeishyn dy bragh-farraghtyn dty annym tra va ooilley dy mie mayrt? Nagh vel oo dy mennick er lhiggey-shaghey dy yannoo ymmyd vie jeh caaghyn dy phadjer as dy voylley? Nagh vel oo hoiaghey dty chree ny smoo er y cretoor na er yn Fer-croo? Er nonney nagh vel oo er n’eiyrt da drogh yeearreeyn ny sleaie na da casherickys? Foddee oo er ve dty veshtallagh, dty looder, ny dty chooyl-skyrraghtagh; as myr shen shassoo trome-chreeagh kiongoyrt rish y Chiarn. Agh nagh vel cooney erbee dty chour? Jeeagh gys toshiaght yn ayrn shoh, chiart cha cooie gys dty chooish hrimshagh,—as ceau oo hene ec ny cassyn echeysyn haink veih Niau dy chur reamys dauesyn ta broojit, dy phreacheil livrey-ys gys ny cappeeyn, as dy laanaghey yn vooinjer hrome-chreeagh; as treih as oddys oo er ve, cha jean eh tilgey oo jeh, ny chur oo ersooyl fegooish bannaght.",,12,9,12,"Foddee yn seaghyn shoh ta ard-charailys Yee er chur lesh ort, ga dy vod eh nish jeeaghyn dorraghey as erskyn dty hushtey, ve yn eer saase dy chur lesh oo gys raad y taualtys, liorish cur lesh oo gys stoyl-coshey dy vyghin. Nagh vel oo er ve meerioosagh er vondeishyn dy bragh-farraghtyn dty annym tra va ooilley dy mie mayrt? Nagh vel oo dy mennick er lhiggey-shaghey dy yannoo ymmyd vie jeh caaghyn dy phadjer as dy voylley? Nagh vel oo hoiaghey dty chree ny smoo er y cretoor na er yn Fer-croo? Er nonney nagh vel oo er n’eiyrt da drogh yeearreeyn ny sleaie na da casherickys? Foddee oo er ve dty veshtallagh, dty looder, ny dty chooyl-skyrraghtagh; as myr shen shassoo trome-chreeagh kiongoyrt rish y Chiarn. Agh nagh vel cooney erbee dty chour? Jeeagh gys toshiaght yn ayrn shoh, cha chiart cooie gys dty chooish hrimshagh,—as ceau oo hene ec ny cassyn echeysyn haink veih Niau dy chur reamys dauesyn ta broojit, dy phreacheil livrey-ys gys ny cappeeyn, as dy laanaghey yn vooinjer hrome-chreeagh; as treih as oddys oo er ve, cha jean eh tilgey oo jeh, ny chur oo ersooyl fegooish bannaght."
"Come leper, seize the present hour,",,"Louranagh! shirr yn oor ta ayn,",,12,9,12,
A Saviour’s grace to prove;,,Grayse dty Haualtagh meïygh;,,12,9,12,
"He can relieve, for he has power,",,"She eh ver feaysley as pardoon,",,12,9,12,
He will—for he is love.,,Son t’eh ny Yee dy ghraih.,,12,9,12,
Sinners can never be so willing to be healed as Christ is willing to heal them.,,Cha vod peccee ve dy bragh cha booiagh dy v’er nyn lhaanaghey as ta Creest booiagh dy laanaghey ad.,,12,9,12,
,,,,12,9,12,
REST TO THE WEARY,,FEA DA’N DEINAGH.,,13,12,13,
"Come unto me all ye that are weary, and heavy laden, and I will give you rest. Matt. xi. 28.",,"Tar-jee hym’s ooilley shiuish ta deinagh as trome laadit, as neem’s shiu y ooraghey. N. Mian xi. 28.",,13,12,13,
"THIS is a free invitation to every weary and heavy-laden sinner, made by him who alone is able to take away the load of guilt and sin; every person under the pressure of sin, not only may, but must come to Jesus, thus laden with guilt, if he hope to succeed for pardon. While we endeavour to prepare our way by holy qualifications, we rather fill it with stumbling-blocks, whereby our souls are hindered from attaining to the salvation of Christ. Christ would have us to believe on Him, who justifies the ungodly, and therefore he doth not require us to be godly before we believe; he came as a physician for the sick, and doth not expect they should recover their health in the least degree before they come to him. The vilest sinners are fitly prepared and qualified for this merciful[16] design, which is to shew forth the exceeding riches of his grace, pardoning our sins, and saving us freely, Eph. ii. 5–9. It is no affront to Christ, or slighting or contemning the justice and holiness of God, to come to him while we are polluted sinners; but rather it is an affronting and contemning the saving grace, merit, and fulness of Jesus, if we endeavour to make ourselves righteous and holy before we receive Christ himself, and all holiness and righteousness in him by grace.",,"TA shoh cuirrey nastee da dy chooilley pheccagh ta deinagh as trome laadit, currit liorishyn ta ynrycan pooaral dy ghoaill ersooyl yn errey dy loght as dy pheccah; foddys dy chooilley phersoon ta trome laadit lesh peccah cheet, as cha nee ynrycan foddys eh cheet, agh shegin da cheet gys Yeesey, myr shoh trome laadit lesh loght, my t’eh jerkal dy ve er ny phardooney. Choud as ta shin streeu dy yannoo yn raad ain aarloo liorish jannoo obbraghyn mie, ta shin lhieeney eh ny smoo lesh kip-snapperal, lioroo ta nyn anmeenyn er nyn lhiettal veih cosney saualtys Chreest. Ta Creest geamagh orrin dy chredjal Ersyn, ta seyrey ny mee-chrauee, as son yn oyr shen, cha vel eh shirrey orrin dy ve crauee roish ta shin credjal; haink eshyn myr fer-lhee dy laanaghey adsyn va ching, as cha vel eh jerkal dy jinnagh ad geddyn nyn slaynt ayns yn ayrn sloo roish t’ad cheet huggey. Ta ny peccee smessey ta gennaghtyn errey nyn loght ooilley cooidjagh aarloo son yn oyr myghinagh shoh, ta soilshaghey berchys erskyn-towse e ghrayse, ayns pardooney nyn loghtyn, as sauail shin dy nastee, Ephes. ii. 5–9. Cha vel eh cur mee-ooashley erbee er Creest, ny soiaghey beg jeh cairys as casherickys Yee, dy heet huggey choud as ta shin peccee broghe as treih; agh te ayns firrinys mee-ooashlaghey as soiaghey beg jeh grayse, toilchinys, as laanid Yeesey, my ta shin streeu dy yannoo shin hene cairagh as crauee, roish ta shin goaill Creest eh-hene, as dy chooilley chasherickys as cairys t’aynsyn liorish grayse.",[16] merciful missing in 1836.,13,12,13,
