English,Manx,Original,Notes
Desire to do rightly [right] and God will give you grace to do right [rightly].,Yeearree shiu dy yannoo cairys as nee Jee chur grayse diu dy yannoo cairagh.,Yeearree shiu dy yannoo cairys as nee Jee chur graase diu dy yannoo cairagh. ,
,,,
,,,
,,,
,,,
It is better to be remembered in the prayer of a good man than to be remembered in the will of a rich man.,Te ny share dy ve cooinit ayns padjer dooinney mie na dy ve cooinit ayns çhymney dooinney berçhagh.,Te ny share dy ve cooinyt ayns padjer dooinney mie ny dy ve cooinnyt ayns çhymney dooinney berchagh.,
,,,
,,,
,,,
,,,
,,,
,,,
The truth that dwells in [us] will shine out in our life.,"Nee yn irrynys ta cummal ayndin, soilshean magh ayns nyn mea.",Nee yn irrynys ta commal ayndyn soljean magh ayns nyn mea.,
,,,
,,,
,,,
,,,
Choose him for a friend that provokes you to good works.,Reih shiu eshyn son carrey ta griennagh shiu gys obgraghyn mie.,Reih shiu eshyn son carrey ta grinnagh shiu gys obraghyn mie.,
,,,
,,,
,,,
,,,
If you wish to be let with yourself then let with other people.,Myr ta shiu jerkal dy ve ymmyrkit lesh shiu hene jean shiu gymmyrkey lesh sleih elley.,My ta shiu jerkal dy ve ymmyrkit lesh shiu hene jean shiu gymmyrkey lesh sleih elley.,
,,,
,,,
,,,
,,,
The right love is to hate that which destroys souls.,Te yn ghraih cair dy chur dwoaie da shen ta stroie anmeeyn.,Te yn ghraih cair dy cur dwoaie da shen ta stroie anmeeyn.,
,,,
,,,
When the sun shines is the time to make up hay.,"Tra ta’n ghrian soishean, yn traa dy yannoo seose traagh.",Tra ta’n ghrain soljean yn tra dy yannoo seose traagh. ,
,,,
,,,
,,,
Praise the fine day in the evening.,Moyll yn laa mie fastyr.,Mooyl yn laa mie fastyr.,
,,,
,,,
"The more company the merrier, but the less the company the bigger shares.","Myr smoo ta’n çheshaght smoo ta’n ghennalys, agh myr sloo ta’n çheshaght smoo ny ayrnyn.","Myr smoo ta’n sheshaght smoo ta’n gennalys, agh myr sloo ta’n çheshaght smoo ny aynyn.",
,,,
,,,
,,,
It is said that ablack pig sees the wind.,Ta er ny ghra dy vel muck doo fakin yn gheay.,Ta er ny ghra dy vel muck ghoo fakin yn gheay.,
,,,
,,,
"It is said that the greed of seven parsons is in a man without children, and the greed of seven farmers in every parson.",Te er ny ghra dy vel saunt shiaght saggyrtyn ayns dooinney gyn cloan as dy vel saunt shiaght erinnee ayns dy chooilley haggyrt.,,
,,,
,,,
,,,
,,,
,,,
,,,
Behold a fair young woman on a wall.,Cur mer ner ben aeg aalin er boaley,,
,,,
,,,
The earliest bird catches the first worm.,Ta’n ushag s’moghey theiy yn chied dhiane.,Ta’n ushag s’moghey theih yn ched dhiane.,
,,,
,,,
Put thy foot on a worm and it will turn on thee.,Cur dty chass er dhiane as nee e chyndaa ort.,Cur dy chass er dhiane as nee e chindaa ort.,
,,,
,,,
A woman that makes companion [keeps company] with other men thinks little of her own man.,Ben ta freeal sheshaght rish deiney elley cha nel ee coontey monney jeh yn donney eck hene.,,
,,,
,,,
,,,
,,,
Deaths of wives and good luck for sheep will make a man rich.,Baase mraane bishaghey kirree. ,Baase mie mraane as luck my cherragh nee jannoo donney berchagh. ,
,,,
,,,
,,,
,,,
He that makes two errands with one journey is said to kill two birds with one stone.,Eshyn ta jannoo daa çhaghteraght lesh yn un jurnah ta marroo daa ushag lesh yn un chlagh.,Eshen ta jannoo daa haghteraght lesh yn un jurnah ta marroo daa ushag lesh yn un clogh.,
,,,
,,,
,,,
,,,
,Ta moddey bio ny share na lion [leion] marroo.,Ta moddey bio ny share ny lion marroo.,
,,,
It has been said that Manxmen are never wise until the day after the fair.,Te er ve grait nagh vel deiney Manninagh dy bragh creeney er gys laa lurg yn vargey.,Te er ve grayt nagh vel deinney Mannanagh dy bragh creeney er gys laa lurg yn vargey.,
,,,
,,,
,,,
,,,
When a woman’s apron rises she is getting fat.,Tra ta earpyn ben throggal b’ee gaase rouyr.,,
,,,
,,,
The hunters often go about at the Christmas.,Ta ny shelgeyryn mennick gholl mygheayr ec yn ollick.,,
,,,
,,,
,,,
,,,
"A man has his own will, but a woman has her own way.","Ta y aigney hene eck donney, agh ta y raad hene eck ben.",,
,,,
,,,
,,,
,,,
Women and young men are very apt to tell what secrets they know from the vanity of having been trusted. Trust not of these whenever you can help it.,Ta mraane as deiney aegey feer aarloo dy insh folliaghtyn ta toiggal oc jeu trooid yn fardalys dy vel ad er ve treishtit lhieu; ny treisht shiu veg jeu myr ta shiu abyl scapail eh.,Ta mraane as deinney agey feer aarloo dy insh folliaghtyn ta toiggal ock jiu trooid yn fardaalys dy vel ad er ve treishtit lieu. Ny treisht shiu veg jiu shoh myr ta shiu abyl scapail eh.,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
The man that minds his own work has plenty to do to keep everything right.,Yn dooinney ta jeeaghyn lurg e obbyr hene ta palçhey echey dy yannoo dy reayll dy-chooilley nhee kiart.,Yn dooinney ta jeaghyn lurg y obbyr hene ta palchey eckeh dy yannoo dy reeayl dy chooilley nhee kart.,
,,,
,,,
,,,
,,,
,,,
If you would grow poor without knowing it put labourers to work and go [you] to sleep.,"My yinnagh shiu gaase boght gyn-yss diu, cur shiu labyreeyn gys obbyr as ghow shiu dty chadley.",My yannagh shiu gaase boght gynnys diu cur shiu labyreeyn gys obbyr as ghow shiu dy chadley.,
,,,
,,,
,,,
He that makes more of you than he is wont either means to cheat you or wants you.,Eshyn ta jannoo ny smoo jiu na v’e chliaghtey t’eh kiarail dy volley shiu ny laghal [laccal] shiu.,Eshyn ta jannoo ny smoo jiu ny ve chlaghtey te kaarail dy volley shiu ny laghal shiu.,
,,,
,,,
,,,
,,,
A still tongue is better than speaking evil.,Ta çhengey ny host ny share share na olk y ghra.,Ta chingey ny host ny share share ny olk y ghra.,
,,,
,,,
The woman who puts a bridle on her tongue does not do much slander.,Yn ven ta cur streean er y chingey cha vel ee jannoo monney cardyrys.,,
,,,
,,,
,,,
,,,
When the wind is from the east and the rain from the west there is no shelter by hedge or bush.,Tra ta’n gheay voish yn niar as yn fliaghey voish yn neeyr cha vel fastee rish cleigh ny hummag.,,
,,,
,,,
,,,
,,,
Far as the sun shines in on it St. Bride’s day so far will the snow come in before May day.,Choud as hig yn ghrain stiagh laa Breegey hig yn snaghtey stiagh rosh laa baldyn.,,
,,,
,,,
,,,
,,,
A wet Christmas a fat churchyard.,Ollick vog rellick vak.,,
,,,
The ghost of a scare-crow. ,Scaa bogane ushag.,,
,,,
Lhannan shee - a fairy woman that used to haunt men.,Lhannan shee - benn ferish va claghtey lhantyn gys deiney.,,
,,,
,,,
Death stroke.,arraghey baash.,,
,,,
cowhouse.,Bwane.,,
,,,
cows’ house.,Thie ollee,,
,,,
"Horses house, stable.",Thie ny ghabble.,,
,,,
needful.,Ymmyrchagh.,,
,,,
"swearing, take an oath.",Lon oaiagh,,
,,,
Treasures.,Tashtaghyn.,,
,,,
Chronicles.,Recortyssyn,,
,,,
Robbers.,Roosteyryn.,,
,,,
A yoke of oxen.,Quing dy ghew.,,
,,,
The straw saddle for a horse to cary a sack of meal or corn on.,Brelheig,,
,,,
The homes [hames] for the horse.,Shlishaghyn cabbyl.,,
,,,
A spotted dog.,Moddey breck.,,
,,,
"A great big stick, a club.",Stouyr,,
,,,
martingale.,Streean volgagh.,,
,,,
Sheaf of oats.,Bunney flaghad [phlaggad].,,
,,,
Rye bread.,Arran shoggle.,,
,,,
Spawn herrings.,Scaddan chorrey.,,
,,,
Blind dog-fish.,Ghobbag doayll.,,
,,,
,,,
Ten thousand your neighbours’ faults are of less consequence to us than the least fault in ourselves.,Ta jeih thousaneyn jeh ny foaljyn smoo ta ayns nyn nabooyn jeh ny sloo dy voadyn dooinyn ny yn foayl sloo ta aynin hene.,,
,,,
,,,
Whoever seeks a friend without imperfections will never find what he seeks.,Quoi erbee ta shirrey son charrey ta fegoish foayl cha vod eh dy bragh gheddyn eh.,,
,,,
,,,
As careless as the dogs. [ There is not the regard of the dogs on thee.]    ,Cha vel scansh y voddee ort.,,
,,,
,,,
With the ancient is wisdom.,Marish y chenndeeagh ta creenagh.,,
,,,
,,,
Long is the night till morning.,S’loayr yn oie gys moghrey.,,
,,,
,,,
A split stick will give two blows and a nip.,Maidjey schelt nee cur daa wooilley as minnag.,,
,,,
,,,
"A captives meat, bread and water.","Beagey kymagh, arran as ushtey.",,
,,,
,,,
The Christmas comes with merry cheer.,Ta’n ollick cheet lesh gien feer vie.,,
,,,
,,,
Common.,Cadjin.,,
,,,
Freely.,Nastee.,,
,,,
Shelter or shadow from the sun.,Fyneragh.,,
,,,
Feeble.,Marvaanag,,
,,,
Stupid.,Bolvane.,,
,,,
A great storm washing the limpets off the rocks.,Ghall baaraagh.,,
,,,
A spotted ox.,Stot breck.,,
,,,
A white goat.,Ghoar vane.,,
,,,
Two ends of a burnt stick.,Daa yerrey maidjey losht.,,
,,,
Corn for sowing.,Arroo correy.,,
,,,
The big boy of the wind - the captain of the faeries.,Gilley mooar ny gheayee.,,
,,,
,,,
A ball of woollen yarn.,Bluggan snaie olley.,,
,,,
Dragging behind [sledge car].,Chaar sleeade,,
,,,
A load of heath.,Bart connee.,,
,,,
The story hill.,Cronk ny skeeal.,,
,,,
[The hill of watching] the watching hill.,Cronk ny arrey.,,
,,,
Wind from the sea.,Gheay varrey.,,
,,,
Wind off the land.,Gheay jeh halloo.,,
,,,
An ale house.,Thie lhonney.,,
,,,
Manx ale [ale-drink].,Jogh lune.,,
,,,
A landlady in an ale house.,Ben oast.,,
,,,
Rainbow.,Goltwoaie.,,
,,,
Fox hill.,Cronk shynnagh.,,
,,,
The bull’s well.,Chibbyr yn tarroo.,,
,,,
A sack of beans.,Poghey ponrey.,,
,,,
A sack of peas.,Poghey pisheyragh.,,
,,,
"A French ride, a ride upon a person’s shoulders with your legs round his neck.",Markiagh Frangagh.,,
,,,
Tied with a stick.,Kialt* lesh maidjey.,,
Crying [wailing],Bardooney,,
,,,
Lamentation,Dhobberan,,
,,,
Easter hollie [holiday],Feealey ny chaisht,,
,,,
An illegal child.,Lhanoo thammag,,
,,,
"Roasting, making a kela* when the women sit at the fire to warm and lift their clothes up to their knees that’s the bravag or kill.*","Gressey, jannoo bravag.",,
,,,
,,,
,,,
An old boat.,Shen vaadey.,,
,,,
Pease pudding.,Possash fishyragh.,,
,,,
Mashed potatoes.,Praasyn broojyt.,,
,,,
Buttermilk.,Bainey ghort.,,
,,,
A ram with one stone.,Rea lhea vaggleagh.,,
,,,
The swallow.,Gollan gheaye.,,
,,,
The corn creak.,Eean raip.,,
,,,
Swift.,Skybyltey.,,
,,,
Morning.,Vadran.,,
,,,
Shears to clip sheep.,Joush dy loamyrt.,,
,,,
A hook to pull heather.,Creegane connee.,,
,,,
Scythe.,Yiarn foalder as*,,
,,,
A foolish man.,Dooinney ommyjagh.,,
,,,
Committing adultery.,Brishey poosey.,,
,,,
Stealing a kiss.,Gheig paaig.,,
,,,
Ravening as wickedness.,Thranlaase as olkys.,,
,,,
Live frost.,Boi-rioee.,,
,,,
Sicknesses.,Aslantyn.,,
,,,
Rebellion.,Meevialys.,,
,,,
,,,
Rain is the mother of wind.,Fliaghey moir gheay.,,
,,,
,,,
Terror in the land of the living.,Atchym ayns cheer ny bioee.,,
,,,
,,,
Thou shalt not suffer a woman to teach.,Cha sur oo ben dy insaghey.,,
,,,
,,,
"A man in love is a fool, and an old man in love is the worse of fools.","Ta dooinney ayns graih ny blebbin, as shen dooinney ayns graih te yn blebbin smoo jeh ooilley.",,
,,,
,,,
,,,
,,,
He that makes haste to be rich shall not be without sin.,Eshyn ta jannoo siyr dy ve berchagh cha bee eh gyn loght.,,
,,,
,,,
When the well runs dry we know what is the want of water.,Tra ta’n chibbyr roie chyrrym ta fyss ain cre ta laghal ushtey.,,
,,,
,,,
Never begin a day’s work without your breakfast.,Ny gow toshaght lesh obbyr laa fegooish brishey dy chrostey.,,
,,,
,,,
Foolish speaking is the father of poverty.,Baaraill ommyjagh ta ayr boghnyd.,,
,,,
,,,
,,,
,,,
The bollan for holly ’eve,Bollan oie houney.,,
,,,
Dirty thing.,Red broagh.,,
,,,
A clean thing.,Red glen.,,
,,,
A drover’s staff.,Lyrg immanagh.,,
,,,
Playing funny tricks.,Cloie ny minueyn,,
,,,
The man in the moon.,Dooinney yn ease.,,
,,,
The woman you love the best.,Yn ven share shenney lhat.,,
,,,
The fairest woman in the country.,Yn ven s’aalin ayns y cheer.,,
,,,
Fiery chariot.,Fainagh aileagh.,,
,,,
Lapwing.,Earkon.,,
,,,
Starling.,Trutlag,,
,,,
Little wren.,Drean beg.,,
,,,
Children of dogs.,Chloan ny moddey.,,
,,,
Sea weeds is good manure for the land.,Ta famlagh lhassagh mie son y thalloo.,,
,,,
An article or articles of clothing.,Gubyl ny gubblyn.,,
,,,
Good tackling.,Cullee vie.,,
,,,
Heath* for besoms.,Conney sceeb.,,
,,,
Candlemas day.,Morrey ny gingle.,,
,,,
A measuring line.,Thoushan.,,
,,,
A sheep’s head.,Kione baagh kerragh.,,
,,,
Hit him with the dish cloth.,Bwooil eh lesh un clood jyss.,,
,,,
Say abb without stirring your chin.,Abbyr abb as ny gleashee dy cab.,,
,,,
The border of the garment.,Rumbyl yn garmad.,,
,,,
Prudent.,Froosagh.,,
,,,
Windy.,Clavenagh.,,
,,,
Blasting wind.,Fowanagh.,,
,,,
Cold.,Feearagh.,,
,,,
Grinning.,Gerrysh,,
,,,
Rowing.,Gymmyrt.,,
Spiteful.,Gaunylsagh.,,
,,,
Croaking.,Chriogyragh,,
,,,
Neighing.,Shilternee.,,
,,,
Adulterer.,Mardragh.,,
,,,
Whore.,Streebagh.,,
,,,
Feebleness.,Marvaamys.,,
,,,
It looks very dirty on the sea.,Te jeaghyn feer crowagh er yn cheayn.,,
,,,
Cross.,Fargagh.,,
,,,
Water from a stream.,Ushtey farran.,,
,,,
Running water.,Ushtey roie.,,
,,,
Hateful.,Fyddagh.,,
,,,
After all.,Fu yerrey.,,
,,,
A male deer.,Feeiah fyrryn.,,
,,,
A female deer.,Feeiah bworrin.,,
,,,
Lonely.,Faadane.,,
,,,
Female.,Bworrinagh.,,
,,,
Making music.,Jannoo bingys.,,
,,,
Wasteful.,Jymmyltagh.,,
,,,
Broosing gorse.,Broo ashyn.,,
,,,
Grasshopper.,Lhemyder faiyr.,,
,,,
Foolishness.,Ommjys.,,
,,,
A lantern glimpse.,Soiljey londyrnee.,,
,,,
A bribe.,Solaghey laue.,,
,,,
Steering before the wind.,Sturey rosh yn gheay.,,
,,,
Perverse.,Camlaagagh.,,
,,,
In covetousness and greed.,Ayns saynt as follysyd.,,
,,,
Wantonness and sin.,Rauanys as peccah.,,
,,,
Floods of water.,Thooillaghyn dy ushtey.,,
,,,
Disobedient hearts.,Chreeghyn mee viallagh.,,
Sarcastic.,Craidollagh.,,
,,,
Proud.,Mooaralagh.,,
,,,
Pride.,Mooaralys.,,
,,,
Tom Hal - dog.,Thom Hal moddey.,,
,,,
Cold potatoes.,Potassyn feearey.,,
,,,
Pease pottage.,Poshagh fisheragh.,,
,,,
Milk boiled after the second time [of milking] after a cow has calved. It thickens like a pudding.,Grisnews.,,
,,,
,,,
Ragman.,Dooinney ny frytlagyn.,,
,,,
Satyr.,Phoinoddery.,,
,,,
Helmet.,Barn caggee.,,
,,,
Kettle.,Pot airkagh,,
,,,
Likeness.,Co-chaslys.,,
,,,
Indignation.,Jymmoose.,,
,,,
Ash tree.,Billey unjin.,,
,,,
Light supper.,Shibber eddrym.,,
,,,
Wild sage.,Chrau ghlagh.,,
,,,
Wormwood.,Yllymer.,,
,,,
Hemlock.,Nahaue.,,
,,,
Foxglove.,Slaggan shlieu.,,
,,,
The spider’s web.,Eggey yn dhoo olley.,,
,,,
Abundance.,Sonnys.,,
,,,
Old Christmas day.,Shen laa yn ollick.,,
,,,
Little Christmas day or New Year’s day.,Laa yn ollick beg.,,
,,,
,,,
The windows of Heaven turns on hinges of love.,Ta innagyn Niau chyndaa er jeushanyn dy ghraih.,,
,,,
Peace is the well which the stream of joy runs from.,Shee yn chibbyr ta’n strooan dy gherjagh roie voish.,,
,,,
,,,
A gossip’s mouth is the devil’s postbag.,Yn beeal tutler poagey scrieu yn jowl.,,
,,,
,,,
They that sow seeds of kindness will reap a harvest of love.,Adsyn ta cur rassynyn dy aigney mie nee ad buin* fouyr dy ghraih.,,
,,,
,,,
He is not a fisherman that catch nothing.,Cha vel eh yeesteyr nagh vel tayrtyn veg.,,
,,,
,,,
It is harder to begin at the third hour than at the first hour.,Te ny s’dollee dy ghoill toshaght eck yn trass ooar ny eck yn ched ooar.,,
,,,
,,,
"A wise man thinks all he says, but a fool says all he thinks.","Ta dooinney creeney smooinaght ooilley ny te gra, agh t’an omodan gra ooilley ny te smooinaght.",,
,,,
,,,
When men are rightly occupied their amusement grows out of their work.,Tra te dhinney ghobbyragh dy cairagh ta nyn daitnys gaase ass nyn obbyr.,,
,,,
,,,
"If people zealously do what is right, in time to come they like doing it.",My ta sleih jannoo shen ny ta cairagh lesh jeenid* ayns tra bee e taitnys daue.,,
,,,
,,,
While you seek new friends cultivate the old.,Chouds ta shin shirrey chaarjyn noa cum shiu gys y çhen.,,
,,,
,,,
"A man should never be ashamed to own his fault when he has been wrong, which is only saying in other words that he is wiser to-day than he was yesterday.",Cha lhissagh dhonney erbee ve nearagh dy ghoaill rish y oyl tra t’eh er ve camm cre* te agh gra ayns ghoan elley dy vel eh ny s’creeney jiu ny ve jea.,,
,,,
,,,
The great[est] pleasure in life is [in] doing what people say you cannot do.,Yn taitnys smoo ayns bea te jannoo shen t’an sleih elley gra nagh vod mayd.,,
,,,
,,,
The weaknesses  of old age are not a fit subject for laughter since they must at last be the portion of us all.,Cha vel annoonydyn shen eash oyr cooie son geraghtee niar* as shegin daue ve yn ayrn ain ooilley eck y jerrey.,,
,,,
,,,
Right does no harm to any man.,Cha vel cairys jannoo assee da dhoinney erbee.,,
,,,
,,,
"Blessed are they who are born females,","Bannyt adsyn ta ruggyrt bworryn,",,
They are safe from every wind and tempest.,T’ad sauchey veih dagh gheay as durryn.,,
,,,
,,,
,,,
It is better to wait for the top of a wave than for the churchyard style.,Te ny share dy farkiagh er baare faarkey ny er keam relcey.,,
,,,
,,,
This is not the place of our rest.,Cha nel shoh boall yn fea ain.,,
,,,
,,,
It is better to be poor and honest than to be rich and lying.,Te ny share dy ve boght as onneragh ny dy ve berchagh as breagagh.,,
,,,
,,,
Whatever laws the Manxmen make they are sure to rue the same.,Cre erbee ny leighyn ta dheiney Mananagh jannoo t’ad shicker dy ve arrysagh jeh.,,
,,,
,,,
My seven small curses on thee.,My hiaght mynney mollagh ort.,,
,,,
,,,
When the sun sets [go to bed] and when the bird rises [get up],Tra lhieys yn ghrian as tra irrys yn eean,,
,,,
,,,
,,,
,,,
The old folks had this proverb about the time to go to bed and the time to get up. This was supposed to be after old Patrick’s Day which is the twenty eighth  of March.,,,
, ,,
My curse for ever on Jem the smith. My bare burning on Jem the smith.,My vollagh dy braagh er Jem y gaue. My lostey loam er Jem y gaue.,,
,,,
,,,
[This was said by the cat after being gelded by Jem who had been provoked at the mischief done by the tomcat to his platters in the night.],,,
"The cat then ‘sat on the wall near the house shouting all day, and Jem allowed that he understood what the cat was saying in the Manx language.’",,,
,,,
,"Piyr dy vragyn er my chassyn toshee as piyr dy phumpyn er my chassyn jeree, ve gholl shiar bair yn Rowaney cur aile ass my cloghyn baney.",,
,,,
,Graih ben as y treisteil.,,
,Scrieut sy joan nee ad falleal.,,
,,,
Hoary heads is the beauty of old men; and the glory of young men is their strength.,Kione lhea aalid shen ghinney as gloayr dhinney aagey agh nyn niart.,,
,,,
,,,
Modesty is the beauty of a woman.,Oauyd aalid ben.,,
,,,
,,,
"As a jewel of gold in a swine’s snout, so is a fair woman without discretion.",Myr cliegeen dy airh auns stroin muickey myr shen ta ben aalin fegoois ymmyrkey mie.,,
,,,
,,,
Sunlight is the best light in Ireland.,Soiljey yn ghrain yn soilshey share ayns Neryn.,,
,,,
,,,
When big Barrule will have a cap Maghol head will get share of that.,Tra ta bayrn er Barrule yiow kione Vaghyl arn jeh shen.,,
,,,
,,,
"When the snow lies on Bushel’s house, it will be a while before it thaws.",Tra t’an snightey lhie er thie Bushel bee e tammylt rosh nee e thinnu.*,,
,,,
,,,
"A soldier’s supper, piss and go to bed.","Shibbyr sidoor, mooin as gholl dy lhie.",,
,,,
,,,
The fishermen have no balls or boat suppers nowadays. The old customs are all run out.,Cha vel giens ny burt baathey eck ny yeeasteyryn ayns ny laghyn shoh. ta ny shen clightaghyn ooilley roiet ass.,,
,,,
,,,
,,,
,,,
Fresh eel and butter.,Astan oor as eeym.,,
,,,
,,,
Look on the young men courting that give but little heed.,Jeagh ghillyn aagey sooirree nagh vel cur monney geeil.,,
If they get a wife with a portion people will talk indeed.,My yow ad ben lesh toghyr yn sleih ves* jiu pleeadeil.,,
,,,
,,,
,,,
When their is a circle on the sun it is a sgn of wind and rain.,Tra ta bwoillee er yn ghrian te toor fliaghey as gheay,,
,,,
,,,
It is better to do good than it is to do evil.,Te ny share dy yannoo mie ny te dy olk.,,
,,,
,,,
"When the day lengthens, the cold strengthens.",Tra ta’n laa gaas lauyr ta’n feeragh gaase ny strosey.,,
,,,
,,,
When the north wind blows it is a sign of frost.,Tra t’an gheay twoaie sheedey te cowrey dy rio.,,
The snow and the frost on the mountains were lost.,Sniaghtey as rio ny sleityn va fo.,,
,,,
,,,
,,,
Many good seamen are sleeping[in death] on the bottom of the ocean.,Ta ymmydee dieney-cheayn mie ny chadley er grunt ny marrey.,,
,,,
,,,
This world is a wild wilderness.,Ta’n seihll shoh ny aasagh lhiayn.,,
,,,
,,,
"Many men, many minds.",Ymmodee dheiney ymmodee aignaghyn.,,
,,,
,,,
"Though a man cannot write or read, he likes a book in his house indeed.",Gha nagh vel dhonney son scrieu ne lhaih te booiagh lhioar ve sy hie ny yeih.,,
,,,
,,,
Marry a woman and then try how you will get done with her.,Poost ben as esht streau cren aght yiow rea ree.,,
,,,
,,,
Where the dog ate the sheep.,Raad j’ee yn moddey yn cherrey.,,
,,,
,,,
Where the fox leapt.,Raad lhym y shynnagh.,,
,,,
,,,
,,,
Work and wages.,Obbyr as faill.,,
,,,
Work and rest.,Obbyr as eaish.,,
,,,
A riding horse.,Chabbyl markee.,,
,,,
A he goat.,Bock ghoar.,,
,,,
Hostler.,Gilley ny ghabble.,,
,,,
Pair of stockings.,Piyr oshyr.,,
,,,
The roots of the tree.,Frauyn y villey.,,
,,,
A horse stumbling from side to side.,Gymmyltey chabble.,,
,,,
A bitey horse.,Chabbyl mingagh.,,
,,,
Therefore my friends there was like this but part.,Shen y fa my charjyn cha row myr shoh agh paart.,,
,,,
Swans on Clay Head.,Ollaghyn er kione ny cray.,,
,,,
A shepherd of sheep.,Bochil kerragh.,,
,,,
A big gathering.,Chaglym mooar.,,
,,,
Lovers.,Gammanyn.,,
,,,
Steersman.,Shioalteyr.,,
,,,
Needlework.,Obbyr snaidey.,,
,,,
A ship carpenter.,Seyr lhuing,,
,,,
A pilot.,Fer oaylagh.,,
,,,
Steer’sman.,Stuirder.,,
,,,
An army.,Sheshaght chaggee.,,
,,,
Skilful.,Schleioil.,,
,,,
A road full of hills.,Raaid lane dy oghteeyn.,,
,,,
A dumb river.,Awin valloo.,,
,,,
Horse’s shoe,Crow chabbil.,,
,,,
A scallop shell.,Shlig roak.,,
,,,
Hermit crab.,Mathag maagagh.,,
,,,
John the brown coat.,Juan y jaggad keere.,,
,,,
Deep glen.,Lhon dowin.,,
,,,
Titania the name of the Queen of the fairies.,Titania ennym ben reign ny fereshyn.,,
Lobster.,Gymmagh.,,
,,,
Sow pig.,Muck arkagh.,,
,,,
A young pig.,Ark vuick.,,
,,,
Crab.,Parthon.,,
,,,
Grumbling and complaining.,Troghernagh as plaiynt.,,
,,,
Chipping wood.,Scrissey fuygh.,,
,,,
Sawing wood.,Saueal fuygh.,,
,,,
I have cut my finger.,Ta mee er gairey my vair.,,
,,,
The jawbone of an ass.,Craue keel assyl.,,
,,,
A vessel’s rudder.,Sturey.,,
,,,
Ashamed.,Leodaghey.,,
,,,
A heifer’s tail.,Famman y gouney.,,
The hawk.,Shirragh ny gark.,,
,,,
Heights of Cornaa.,Brigyn Cornaa.,,
,,,
A spotted porpoise that travels much faster than a steamer and leaps out of the water six or seven times to the height of five or six yards.,Sharkiagh breck.,,
,,,
,,,
A pig market.,Margey muck.,,
,,,
A lonesome place.,Boall fadane.,,
,,,
A besom on them.,Scheeb orroo.,,
,,,
A short life to them.,Gare ny heihll orroo.,,
,,,
Cock without shame.,  Kellagh dyn nearey.,,
,,,
Impudent strumpet.,  Strumpag ghaaney.,,
,,,
A brown maid.,Doosy rie,,
,,,
A cake of barley bread.,Byreen dy arran oarn.,,
,,,
The big fat barley bird.,Ushag wooar rouyr ny oarn.,,
,,,
,,,
,,,
"Salt, salt, saltness the taste of every meat.","Sollan, sollan saljys blass dy chooilley vee.",,
,,,
,,,
The fairy said don’t molest [meddle with] me. and I will not molest [i.e. meddle with] thee.,Dooyrt yn bogane ny cur eaie orryms as cha derryms eaie ort.,,
,,,
,,,
One can lead a horse to the water but ten can not make him drink.,"Nee fer leeideil cabbyl gys yn ushety, agh cha vod jeih cur er giu.",,
,,,
,,,
Where there is many counselors there is safety.,Raaid te ymmydee fir coyrlee ta sauchys.,,
,,,
,,,
When the dog keeps his tail between his hind legs it shows that he is guilty or disappointed.,Tra ta’n moddey cummal y amman eddyr y chassyn jerrey te jeaghyn dy vel e oolie.,,
,,,
,,,
We spend our time in the midst of dangers.,Ta shin cheau nyn draa mastey danjeeryn.,,
,,,
,,,
,Tra t’an gheay coall y bree,,
,Tha dagh nhee eck shee.,,
,,,
,Va lhioar ec moor nagh reu rieu dhonney lheih.,,
,More had a book that no man ever read.,,
,[he had a virgin daughter] (Fargher’s explanation.),,
,,,
,Cre erbee yn ard t’an gheay shen laa sourey shen yn ard bee ee daa ayrn jeh’n vlien.,,
,,,
"I fancy many of those old things never comes to pass now for they say the Island is gone further north than it used to be, and that will make a great difference in the weather. And the old folks lore must be wrong about the weather.",,,
,,,
"I have heard a yarn about an old lady that lived in a house by herself with one female servant. And she was pretty well off, and the maid servant was sleeping with her mistress. One night they heard the window getting opened and some person or persons coming in so they thought it was a burglar but they lay still in bed and pretended they heard nothing, but the old lady said to the maid aloud, Screeb my greem, my graih, neose as seose rish clash my hoaney. And she repeated that several times. But the burglars when they had got all they wanted went away and did not molest the old lady and the maid, but they plundered the house. A few days after that, the old lady sent the maid to the next village on some message and as she was going through the village she heard some one behind the wall saying, Screeb my greem, my graih, neose as seose rish clash my hoaney. She got to a place where the wall was lower, and she peeped over and there she saw a man that she knew very well. So she went on and did not take any notice but he called, Screeb my greem, my graih, neose as seose rish clash my hoaney, behind the wall as long as she was in hearing. So she knew that he was one of the burglars and when she got home she told her mistress about it and they sent word to the constables in the town to go and arrest this man. So he was taken and put in prison, and when his trial came on he confessed that he was guilty and told who was with him when he plundered the old lady’s house. So the other robbers were caught and sentenced to transportation for life. And it was through what the old lady said to the maid in their hearing, ",,,
"Scratch my back, my love, up and down the hollow of my bottom.","Screeb my greem, my graih, neose as seose rish clash my hoaney. ",,
,,,
,,,
,,,
,"Ta mee er clashtyn ad gra er fakin yn ease noa yn ched cheayrt, “Dy bannee Jee yn ease noa, dy bannee Jee mish.” Troor cheayrtyn.",,
,,,
,Nagh doghan erbee cheet orroo choad as vagh yn ease shen ayn.,,
,Va naboo dou hene gra shen eck fakin yn ease noa choud as ve bio.,,
,,,
,Ta mee slieu my corran dy gayre,,
,Dy yiarrey yn coonlagh marish yn faiyr.,,
