Manx,English,Manx Original,Notes
"And concerning the hardness of Scripture; he that is so weak that he is not able to brook strong meat, yet he may suck the sweet and tender milk, and defer the rest until he wax stronger, and come to more knowledge.","As mychione doilleeys ny Scriptyryn, eshyn ta cha annoon nagh vel niart echey dy ymmyrkey bee lajer, ny-yeih foddee eh jiole yn bainney millish as meiygh, as chur shiaghey yn chooid elley derrey t’eh gaase ny ’stroshey, as roshtyn gys tushtey smoo:","As mychione doilleeys ny Scriptyryn, eshyn ta cha annoon nagh vel niart echey dy ymmyrkey bee lajer, ny-yeih foddee eh jiole yn bainey millish as meiygh, as chur shiaghey yn chooid elley derrey t’eh gaase ny ’stroshey, as roshtyn gys tushtey smoo:",
"For God receiveth the learned and unlearned, and casteth away none, but is indifferent unto all.","son ta Jee goaill yn vooinjer ynsit as neu-ynsit, as cha vel eh tilgey ersooyl fer erbee, son cha vel eh soiaghey jeh persoonyn.",,
"And the Scripture is full, as well of low valleys, plain ways, and easy for every man to use and to walk in, as also of high hills and mountains, which few men can climb unto.","As ta’n Scriptyr lane chammah jeh coanyn imlee, raadyn jeeragh as aashagh da dy chooilley ghooinney dy hooyll ayn, as myrgeddin jeh croink as sleityn ard, nagh nhimmey oddys roshtyn huc.",,
"And whosoever giveth his mind to Holy Scriptures with diligent study and burning desire, it cannot be, saith St. John Chrysostom, that he should be  left without help.","As quoi-erbee ta coyrt e aigney gys ny Scriptyryn Casherick lesh tastey geyre as yeearree jeean, cha vod eh ve, ta Juan Chrysostom gra, dy bee eh faagilt dyn cooney.",,
"For either God Almighty will send him some godly doctor to teach him – as he did to instruct the Eunuch, a nobleman of Ethiopia, and treasurer unto Queen Candace; who having affection[8] to read the Scripture, although he understood it not, yet for the desire that he had unto God’s Word, God sent his Apostle Philip to declare unto him the true sense of the Scripture that he read –","Son eddyr ver Jee ooilley-niartal fer-ynsagh crauee dy ynsaghey eh, myr hug eh fer dy ynsaghey yn eunuch, dooinney ooasle jeh Ethiopia, fo’n currym echey va ooilley tashtaghyn ben-reïn Candace, as fer va aggindagh dy lhaih ny Scriptyryn, ga nagh row eh dy slane toiggal ad, ny-yeih son y ghralh v’echey er Goo Yee, hug Jee e Ostyl Philip dy osley da bree firrinagh yn Scriptyr v’eh lhaih:",,[8] affection 1810] 1817 a great affection
"or else, if we lack a learned man to instruct and teach us, yet God himself from above will give light unto our minds, and teach us those things which are necessary for us, and wherein we be ignorant.","ny, my ta shin fegooish dooinney ynsit dy chur toiggal dooin, nee Jee hene velh’n yrjid soilshey y choyrt da nyn aignaghyn, as gynsaghey dooin ny reddyn shen ta ymmyrchagh er nyn son, as jeu ta shin mee-hushtagh.",,
"And in another place Chrysostom saith, that man’s human and worldly wisdom, or science, is not needful to the understanding of Scripture; but the revelation of the Holy Ghost, who inspireth the true meaning unto them that with humility and diligence do search therefore. ","As ayns boayl elley ta Chrysostom gra, nagh vel tushtey seihltagh gheiney ymmyrchagh dy chur toiggal dooin Jeh ny Scriptyryn, agh bree yn Spyrryd Casherick, ta choyrt toiggal firrinagh dauesyn ta shirrey toiggal lesh injillid-aigney as tastey geyre. ",,
"He that asketh shall have, and he that seeketh shall find, and he that knocketh shall have the door opened.","“Eshyn ta geearree, yiow eh; as eshyn ta shirrey, nee eh feddyn; as dasyn ta cronkal, bee’n dorrys er ny osley.” (Mian vii. 8.)",,
"If we read once, twice, or thrice, and understand not, let us not cease so; but still continue reading, praying, asking of others: and so, by still knocking, at the last, the door shall be opened, as St. Augustine saith. Matt. vii. ","My ta shin lhaih un cheayrt, daa cheayrt, ny tree cheayrtyn, as gyn toiggal, ny lhig dooin scuirr, agh foast tannaghtyn lhaih, goaill padjer, as briaght jeh feallagh elley; as myr shoh, liorish dy kinjagh cronkal, bee yn dorrys foshlit ec y jerrey; myr ta Augustin gra.",,
"Although many things in the Scripture be spoken in obscure mysteries, yet there is nothing spoken under dark mysteries in one place, but the self-same thing in other places is spoken more familiarly and plainly, to the capacity both of learned and unlearned.","Ga dy vel ymmodee reddyn ayns ny Scriptyryn loayrit ayns aght follit; ny-yeih cha vel nhee erbee loayrit dy follit ayns un ynnyd, nagh vel yn chooid cheddin focklit magh ny s’baghtal as ny s’cronnal ayns ynnydyn elley, myr shen dy vod eh v’er ny hoiggal liorish y vooinjer ynsit as neu-ynsit.",,
No man is excepted from the knowledge of God’s word.[9],Cha vel chied ec dooinney erbee dy hannaghtyn ayns meehushtey jeh Goo YEE.,,[9] word 1810] 1817 will
"And those things, in the Scripture, that be plain to understand, and necessary for salvation, every man’s duty is to learn them, to print them in memory, and effectually to exercise them; and, as for the dark mysteries, to be contented to be ignorant in them, until such time as it shall please God to open those things unto him.","As ny reddyn shen ayns ny Scriptyryn ta aashagh dy v’er ny hoiggal, as ymmyrchagh son saualtys, te currym dy chooilley ghooinney dy ynsaghey ad, dy hashtey ad seose ayns e chooinnaghtyn, as dy breeoil dy chooilleeney ad: as son ny folliaghtyn dorraghey, dy ve booiagh dy ve gyn tushtey jeu, derrey ta Jee fakin eh cooie dy osley ny reddyn shen da.",,
"In the mean season, if he lack either aptness or opportunity, God will not impute it to his folly: but yet it behoveth not, that such as be apt should set aside reading, because some others be unapt to read: nevertheless, for the hardness of such places, the reading of the whole ought not to be set apart.","Son y traa t’ayn, my t’eh laccal niart ny caa, cha der Jee shoh gys e lhieh: agh foast cha vel eh cooie dy jinnagh adsyn ta fondagh scuirr dy lhaih, er-yn-oyr dy vel feallagh elley fegooish yn tushtey shen; ny-yeih cha lhisagh yn slane Scriptyr ve er ny choyrt dy lhiattee er coontey dorraghys lheid ny ayrnyn jeh.",,
"And briefly to conclude: as St. Augustin saith, By the Scripture all men be amended; weak men be strengthened, and strong men be comforted.","As ayns fockle, liorish ny Scriptyryn, myr ta Augustin gra, foddee dy chooilley ghooinney ve jeant ny shiare: ny annoonee v’er nyn niartaghey, as y vooinjer lajer v’er nyn gerjaghey.",,
What persons would have ignorance to continue.,Quoi adsyn bailliu dy jinnagh meehushtey tannaghtyn.,,
"So that surely none be enemies to the reading of God’s word, but such as either be so ignorant, that they know not how wholesome a thing it is; or else be so sick, that they hate the most comfortable medicine, that should heal them; or so ungodly, that they would wish the people still to continue in blindness and ignorance of God.","Myr shen cha vel feallagh erbee noi lhaih Goo Yee, agh adsyn ta cha mee-hushtagh nagh vel ad toiggal cre cha follan as t’eh; er-nonney ta cha ching dy vel ad coyrt feoh da’n medshin share; ny cha mee-chrauee dy vel eh yn yeearree oc, dy vod yn pobble tannaghtyn ayns dorraghys as mee-hushtey jeh Jee.",,
The Holy Scripture is one of God’s chief benefits.,Ta ny Scriptyryn Casherick unnane jeh Giootyn s’ooasle Yee.,,
"The right reading, use, and fruitful studying in Holy Scripture.",,,
Psalm i.,,,
"Thus we have briefly touched some part of the commodities of God’s holy Word, which is one of God’s chief and principal benefits, given and declared to mankind here on earth.","     Myr shoh ta shin er ghoaill tastey jeh paart jeh vondeishyn Goo Casherick Yee, ta unnane jeh ny ard toyrtyssyn dy Yee er ny coyrt da sheelnaue ayns shoh wass er y thalloo.",,
"Let us thank God heartily for this his great and special gift, beneficial favour, and fatherly providence.","Lhig dooin cur booise creeoil da Jee son shoh e yhooit[10] mooar as ooasle, foayr graysoil, as ard-charail ayroil.",,[10] yhooit] i.e. ghioot
Let us be glad to receive this precious gift of our heavenly Father.,Lhig dooin dy arryltagh goaill yn gooit costal shoh jeh nyn Ayr flaunyssagh.,,
"Let us hear, read, and know these holy rules, injunctions and statutes of our Christian religion, and upon that we have made profession to God at our baptism.","Lhig dooin clashtyn, lhaih, as toiggal ny oardaghyn, saraghyn, as raueyn casherick shoh jeh nyn gredjue Creestee, as ny gialdynyn ta shin er n’yannoo gys Jee ec nyn mashtey.",,
"Let us with fear and reverence lay up, in the chest of our hearts, these necessary and fruitful lessons; let us night and day muse, and have meditation and contemplation in them; let us ruminate and, as it were, chew the cud, that we may have the sweet juice, spiritual effect, marrow, honey, kernel, taste, comfort, and consolation of them.","Lhig dooin lesh arrym as aggle crauee, stoyral seose ayns tashtaghyn nyn gree, ny lessoonyn ymmyrchagh as vondeishagh shoh: lhig dooin oie as laa smooinaghtyn orroo dy dowin ayns nyn gree; lhig dooin myr dy beagh eh caigney-cheeilley orroo, dy vod mayd gheddyn yn soo millish, yn bree spyrrydoil, smuir, mill, blass, as gerjagh jeu.",,
"Let us stay, quiet, and certify our consciences with the most infallible certainty, truth, and perpetual assurance of them.","Lhig dooin shickyraghey nyn gooinsheansyn as coyrt ad gys fea lesh y firrinys smoo, as y shickyrys dy bragh-farraghyn jeu.",,
"Let us pray to God, the only Author of these heavenly studies, that we may speak, think, believe, live, and depart hence, according to the wholesome doctrine and verities of them.","Lhig dooin guee gys Jee, yn ynrican Fer-toyrt jeh ny Scriptyryn flaunyssagh shoh, dy vod mayd smooinaghtyn, loayrt, credjal, baghey, as paartail, cordail rish yn ynsagh follan oc.",,
"And, by that means, in this world we shall have God’s defence, favour, and grace, with the unspeakable solace of peace, and quietness of conscience; and after this miserable life, we shall enjoy the endless bliss and glory of heaven:","As liorish jannoo myr shoh, bee ain ’sy theihll shoh coadey, as foayr, as grayse Yee, lesh gerjagh sheeoil erskyn-insh, as kiunid ayns nyn goomsheansyn; as, lurg y vea hreih shoh, yiow mayd soylley jeh maynrys as gloyr dy bragh farraghtyn Niau:",,
"which he grant us all that died for us all, Jesus Christ: to whom, with the Father and the Holy Ghost, be all honour and glory, both now and everlastingly. Amen.","shen dy ghiall eshyn dooin, whooar baase er nyn son ooilley, Yeesey Creest: huggeysyn, marish yn Ayr as y Spyrryd Noo, dy row dy chooilley ooashley as gloyr, nish as dy bragh. Amen.",,
