English,Manx,Manx Orginal,Page,Notes
Q. What are the Relations which Christ is described by here in the Creed?,Q. Cre ta ny staydyn lioroo ta coontey er ny choyrt jeh Creest ayns shoh ayns y Chrea?,,25,
"A. They are two, the one relating to God the Father, as he is his only Son; the other to us, as he is our Lord.","A. T’ad jees; yn derrey yeh bentyn rish Jee yn Ayr, myr t’eh e ynrycan Vac; yn jeh elley rooinyn, myr t’eh nyn Jiarn.",,26,
Q. How is Christ the only Son of God?,Q. Kys ta Creest ynrycan Mac Yee?,,26,
"A. As he derived his Essence from the Father, and was conceived and born of a pure Virgin, by the extraordinary Power of God.","A. Myr ren eh yn dooghys echey y gheddyn veih’n Ayr, as dy row eh er ny yentyn as er ny ruggey jeh moidyn ghlen, liorish pooar er-skyn towse Yee.",,26,
Q. How do you prove that Christ is the only Son of God?,Q. Kys t’ow prowal dy nee Creest ynrycan Mac Yee?,Q. Kys t’ow prowal dy nee Creest ynrycan Mac Yee,26,
"A. From John i. 18. No man hath seen God at any time; the only begotten Son which is in the bosom of the Father, he hath declared him.","A. Veih Ean i. 18 Ca vel unnane erbee er vakin Jee ec traa erbee; yn ynrycan Mac v’er ny gheddyn, ta ayns oghrish yn Ayr, eshyn t’er ny hoilshaghey eh.",,26,
"1 John iv. 9. In this was manifested the love of God towards us; because that God sent his only begotten Son into the world, that we might live through him.","1 Ean iv. 9. Ayns shoh va graih Yee er ny hoilshaghey dooinyn, er-yn-oyr dy ren Jee e ynrycan Vac y choyrt gys y theihll, dy voddagh shin ve bio trooid echyssyn [sic].","1 Ean iv. 9. Ayns shoh va graih Yee er ny hoilshaghey dooinyn, er-yn-oyr dy ren Jee e ynrycan Vac y choyrt gys y thehill, dy voddagh shin ve bio trooid echyssyn [sic].",26,
Q. How is Christ said to be our Lord? ,Q. Kys ta Creest er ny ghra dy ve nyn Jiarn?,,26,
"A. He is in a particular manner the Lord and Head of his Church; having all power given unto him in Heaven and earth, Matt. xxviii. 18.","A. T’eh ayns aght er-lheh Chiarn as kione e Agglish; liorish dy vel dy-chooilley phooar er ny chur da ayns niau as er y thalloo, Mian xxviii. 18.",,26,
 ,,,26,
,,,27,
SECT. V.,SECT. V.,,27,
,,,27,
Of Christ’s Humiliation.,Mychione stayd injil Chreest.,,27,
,,,27,
Q. What is the next Thing relating to Christ?,Q. Cre ta’n nah red bentyn rish Creest?,Cre ta’n nah red bentyn rish Creest?,27,
A. His Humiliation and Exaltation.,A. Yn injillid as yn yrjid echey.,,27,
Q. Wherein doth this Humiliation consist?,Q. Cre ayns ta’n injillid shoh lhie?,,27,
"A. In his becoming Man, and suffering Death.",A. Ayns dy daink eh dy ve ny ghooinney as dy hurr eh baase.,A. Ayns dy daink eh dy ve ny ghooinney dy hurr eh baase.,27,
Q. How was Christ made Man?,Q. Kys va Creest jeant ny ghooinney?,,27,
"A. By the Union of the human Nature to the divine, in one Person.","A. Liorish unnaneys y dooghys dooinney gys y vree flaunyssagh, ayns un phersoon.",,27,
Q. How do you prove that Christ did thus become Man?,Q. Kys t’ow prowal dy ren Creest myr shoh cheet dy ve ny ghooinney?,,27,
A. From John i. 14. The Word was made flesh.,A. Veih Ean i. 14. Va’n goo er ny yannoo ny eill.,,27,
"Gal. iv. 4. God sent forth his Son, made of a woman.","Gal. iv. 4. Ren Jee e Vac y choyrt, ruggit jeh ben.",,27,
"Heb. ii. 16. Verily he took not on him the nature of angels, but he took on him the seed of Abraham.",Heb. ii. 16. Ayns firrinys cha ghow eh er dooghys ainlyn; agh ghow eh er dooghys Abraham.,,27,
Q. How did Christ take on him our Nature?,Q. Kys ren Creest yn dooghys ainyn y ghoaill er?,,27,
"A. By being conceived by the Holy Ghost, and born of the Virgin Mary.","A. Liorish v’er ny yentyn liorish y Spyrryd Noo, as er ny ruggey jeh’n Voidyn Moirrey.",,27,
Q. What Proof have you of our Lord’s conception by the Holy Ghost?,Q. Cre’n phrowal t’ayd dy row nyn Jiarn er ny yentyn liorish y Spyrryd Noo?,,27,
A. From Matt. i. 20. Fear not to take unto thee Mary thy wife; for that which is conceived in her is of the holy Ghost.,A. Veih Mian i. 20. Ny gow aggle Moirrey yn ven ayd y ghoaill; son shen t’er ny yentyn ayn-jee te jeh’n Spyrryd Noo.,,28,
"Luke i. 35. The holy Ghost shall come upon thee, and the Power of the highest shall overshadow thee; therefore also that holy thing which shall be born of thee, shall be called the son of God.","Luke i. 35. Hig yn Spyrryd Noo ort, as nee pooar yn er syrjey scadoo y hilgey harryd; shen-y-fa bee yn red casherick shen myrgeddin vees er ny ruggey jeed, enmyssit Mac Yee.",,28,
Q. How do you prove that Christ was born of a Virgin?,Q. Kys t’ow prowal dy row Creest er ny ruggey jeh Moidyn?,,28,
"A. From Matt. i. 22, 23. Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying, Behold a virgin shall be with child, and shall bring forth a son. ","A. Veih Mian i. 22, 23. Nish va ooilley shoh jeant, dy voddagh shen ve cooilleenit va’n Chiarn er loayrt liorish y phadeyr, gra, Cur-my-ner, bee lhiannoo ec moidyn, as ver ee mac son y theihll.",,28,
Q. Why was Christ conceived by the Holy Ghost?,Q. Cre’n-fa va Creest er ny yentyn liorish y Spyrryd Noo?,,28,
A. That he might take our Nature without the Corruption of it.,A. Dy voddagh eh yn dooghys ainyn y ghoaill er fegooish y vroïd echey.,,28,
"Q. Why did Christ thus take our Nature, and become Man?","Q. Cre’n-fa ren Creest myr shoh yn dooghys ain y ghoaill er, as cheet dy ve ny ghooinney?",,28,
"A. That he might fully discharge his Office of a Mediator, so that he might die; and being one of the same Nature with those he died for, might redeem all Mankind.","A. Dy voddagh eh dy-slane cooilleeney yn oik echey dy ve eddyr Jee as dooinney, myr shen dy voddagh eh baase y gheddyn; as myr v’eh unnane jeh’n un dooghys roosyn er nyn son hurr eh baase, dy voddagh eh ooilley sheelnaue y chionnaghey reesht.",,28,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,28,
"A. From Heb. ii. 9. Jesus was made a little lower than the angels for the suffering of death, [crowned with glory and honour,][14] that he by the grace of God should taste death for every man.","A. Veih Heb. ii. 9. Va Yeesey, va jeant son tammylt ny s’inshley na ny ainlyn, liorish surranse baase, coamrit lesh gloyr as ooashley; dy voddagh eh liorish grayse Yee blashtyn er y baase son dy-chooilley ghooinney.",,29,"[14] This phrase is omitted in Lewis’s Catechism, restored in the Manx."
"Heb. ii. 17. It behoved him to be made like unto his brethren, that he might be a merciful [and faithful] [15] high Priest in things pertaining to God, to make reconciliation for the sins of the people.","Heb. ii. 17. Ve cooie da dy ve jeant casley rish e vraaraghyn; dy voddagh eh ve ny ard-saggyrt myghinagh as firrinagh, ayns reddyn bentyn rish Jee, dy yannoo lhiasaghey son peccaghyn y pobble:",,29,"[15] This phrase is omitted in Lewis’s Catechism, restored in the Manx."
Q. Why did our Saviour suffer Death?,Q. Cre’n-fa ren nyn Saualtagh baase y hurranse?,,29,
"A. To deliver Mankind by the infinite Price of his Blood, from the Punishment that was due for our Sins, and to reconcile his Father to us by satisfying his Justice, he offering himself a Sacrifice for us.","A. Dy livrey sheelnaue liorish leagh erskyn towse e uill, veih’n kerraghey va cair da nyn beccaghyn, as dy yannoo e Ayr coardit rooinyn liorish jannoo lhiasaghey gys e chairys, eshyn chebbal eh hene ny oural er nyn son.",,29,
Q. How is this proved from Scripture to be the End of our Saviour’s Sufferings?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr dy ve oyr surranse nyn saualtagh?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr dy ve oyr suraanse nyn saualtagh?,29,
"A. From Gal. iii. 13. Christ hath redeemed us from the curse of the law, being made a curse for us.","A. Veih Gal. iii. 13. Ta Creest er livrey shin veih mollaght y leigh, eh hene jeant ny vollaght er nyn son:",A. Veih Gal. iii. 13. Ta Creest er livrey shin veih mollaght y leigh eh hene jeant ny vollaght er nyn son:,29,
"Rom. v. 10. When we were enemies, we were reconciled to God by the death of his son.","Rom. v. 10. Tra va shin ayns stayd dy noidjys, va shin coardit rish Jee liorish baase e Vac:[17]",,29,"[17] va] text my va; corrected in Errata, p. 91. (The text as originally printed was extracted from the Biblical verse without being adequately adapted to the context. In the Bible: For if, when we were enemies, we were reconciled to God by the death of his Son, much more, being reconciled, we shall be saved by his life. Son choud as va shin ayns stayd dy noidys, my va shin coardit rish Jee liorish baase e Vac: foddey smoo, myr ta shin nish goit stiagh gys shee, vees mayd er nyn sauail liorish e vioys.)"
Heb. ix. 26. He put away sin by the sacrifice of himself.,Heb. ix. 26. Ren eh cur ersooyl peccah liorish jannoo eh hene ny oural.,,29,
1 John ii. 2. He is the propitiation for our sins.,1 Ean. ii. 2. She eshyn yn lhiasaghey son nyn beccaghyn.,,29,
Q. Why is Christ said to suffer under Pontius Pilate?,Q. Cre’n-fa ta Creest er ny ghra dy hurranse fo Pontius Pilate?,,30,
"A. To signify the Time of his Death, and the Accomplishment of the Prophecies concerning it.",A. Dy chowraghey traa yn baase echey; as cooilleeney dy-chooilley phadeyrys mychione echey.,,30,
Q. Who was Pontius Pilate?,Q. Quoi va Pontius Pilate?,,30,
"A. He was a Governor of Judea, under Tiberius the Roman Emperor.","A. V’eh ny chiannoort er Judea, fo Tiberius ard-fer-reill y Raue.",,30,
Q. What sort of Death did Christ suffer?,Q. Cre’n keint dy vaase ren Creest surranse?,,30,
A. He was Crucified.,A. V’eh er ny chrossey?,,30,
Q. How was that done?,Q. Kys va shen jeant?,,30,
"A. By nailing him to a Cross of Wood set upright in the Ground, and so hanging him upon it, till he there languished and died.","A. Liorish treiney eh gys crosh dy fuygh soit seose jeeragh ayns y thalloo, as myr shen croghey er eh, derrey hooar eh baase.",,30,
Q. How came he to die this Death?,Q. Kys haink eh dy hurranse yn baase shoh?,,30,
A. In order to shew the heinous Nature of Sin.,A. Dy hoilshaghey dooghys eajee peccah.,,30,
Q. How does this shew the heinous Nature of Sin?,Q. Kys ta shoh soilshaghey dooghys eajee peccah?,,30,
"A. Because this Death was of the worst sort, it was most infamous, painful, and accursed.","A. Er-yn-oyr dy nee shoh va’n baase smessey oddagh y ve, myr ve smoo scammyltagh, piandagh, as mollaghtagh.",,30,
Q. Why is it said that our Saviour died?,Q. Cre’n-fa te er ny ghra dy hurr nyn saualtagh baase?,,30,
"A. To shew that his Body, when alive, was vitally united to his Soul.","A. Dy hoilshaghey dy row yn corp echey tra ve bio, ayns unnaneys rish e annym.",,30,
Q. Why is it said that he was buried?,Q. Cre’n-fa te er ny ghra dy row eh er ny oanluckey?,,30,
"A. To shew the Certainty of his Death, and give Testimony to the Truth of his Resurrection.","A. Dy hoilshaghey shickyrys yn baase echey, as dy ymmyrkey feanish gys firrinys yn irree-seose-reesht echey.",,31,
Q. What is meant by his descending into Hell?,Q. Cre t’er ny hoiggal liorish e gholl sheese gys niurin?,,31,
A. The Disposal of his Soul in its State of Separation from the body. |,A. Yn ynnyd hie yn annym echey huggey tra ve er ny scarrey veih’n challin.,,31,
Q. How do you prove that Christ descended into Hell?,Q. Kys t’ow prowal dy ren Creest goll sheese gys niurin?,,31,
"A. From Acts ii. 25, 27. David speaketh concerning him, Thou wilt not leave my soul in hell.","A. Veih Jannoo ii. 25, 27. Ta David loayrt jeh, Cha vaag oo m’annym ayns niurin.",,31,
SECT. VI.,SECT. VI.,,31,
,,,31,
Of Christ’s Exaltation.,Mychione yrjid stayd Chreest.,,31,
,,,31,
Q. Wherein does our Saviour’s Exaltation consist?,Q. Cre ayns ta stayd ard nyn Saualtagh shassoo?,,31,
"A. 1st, In his Resurrection. 2d, His Ascension. 3d, His Glorification. 4th, His coming to Judgment.","A. Hoshiaght, Ayns e Irree-seose-reesht. ",,31,
,"Yn nah ynnyd, Ayns e gholl seose gys niau. ",,31,
,"Yn trass ynnyd, Ayns e stayd dy ghloyr. ",,31,
,"Yn chiarroo ynnyd, Ayns y cheet echey gys briwnys.",,31,
Q. What is the Resurrection of Christ?,Q. Cre ta irree-seose-reesht Chreest?,,31,
A. It is the restoring him to Life by the Union of the self-same Soul to the self-same Body.,A. Te yn troggal echey hene gys bioys liorish unnaneys yn eer annym cheddin gys yn eer chorp cheddin.,,31,
Q. When did our Lord rise?,Q. Cre’n traa ren nyn Jiarn girree?,,32,
"A. On the third Day after he died, which was the first Day of the Week, which is thence called the Lord’s Day.","A. Er y trass laa lurg e vaase, va yn chied laa jeh’n chiaghtin, ta er-dy-henney enmyssit laa yn Chiarn.",,32,
Q. Why did our Lord rise from the Dead?,Q. Cre’n-fa ren nyn Jiarn girree veih ny merriu?,,32,
A. To assure us that he had finally completed the whole Work of our Redemption.,A. Dy hickyraghey shinyn dy vel eh dy-fondagh er chooilleeney slane obbyr y chionnaghey-reesht ain.,,32,
"Q. How do you prove from Scripture, that this was the End of our Saviour’s Resurrection?","Q. Kys t’ow prowal veih’n Scriptyr, dy nee shoh va oyr Irree-seose-reesht nyn Saualtagh?","Q. Kys t’ow prowal veih’n Scriptyr, dy nee shoh va oyr Irree-seose-reesht nyn Saualtagh",32,
A. From Rom. iv. 25. Who was raised again for our justification.,A. Veih Rom iv. 25. V’eh er ny hroggal reesht dy heyrey shin.,,32,
"Rom. viii. 34: Who is he that condemneth? It is Christ that died, yea rather, that is risen again.","Rom. viii. 34. Quoi eh ta deyrey? she Creest hooar baase, ny sodjey, t’er n’irree reesht.",,32,
Q. What do you mean by saying that Christ ascended into Heaven?,"Q. Cre t’ow toiggal liorish gra, dy jagh Creest seose gys niau?",,32,
"A. I mean, that he did actually go up thither in a visible and triumphant manner.","A. Ta mee toiggal, dy jagh eh son firrinys seose gys shen ayns aght cronnal, as pooaral.",,32,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,32,
"A. From Acts i. 9. While they beheld, he was taken up, and a cloud received him out of their sight.","A. Veih Jannoo i. 9. V’eh er ny hroggal seose vowsyn va jeeaghyn er, as ghow bodjal eh ass nyn shilley.",,32,
"Eph. iv. 8. When he ascended up on high, he led captivity captive [and gave gifts unto men].[18]","Eph. iv. 8. Tra hie eh seose er yn yrjey, ren eh cappeeys y leeideil ayns barriaght, as hug eh gioottyn da deiney.",,32,[18] The Manx completes the verse with a clause that is absent from Lewis’s Catechism.
Q. What is meant by his sitting at the right Hand of God?,Q. Cre t’er ny hoiggal liorish dy vel eh ny hoie ec laue yesh Yee?,,32,
"A. By it is meant, that Christ is advanced to the highest Dignity and Authority under God the Father.","A. Liorish ta er ny hoiggal, dy vel Creest er ny hroggal seose gys yn ooashley as y phooar syrjey fo Jee yn Ayr.",,33,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,33,
"A. From 1 Pet. iii.22. Who is gone into heaven, and is on the right hand of God; angels, and authorities, and powers being made subject unto him.","A. Veih 1 Phed. iii. 22. Ta er gholl seose gys niau, as ta ec laue yesh Yee; aianlyn, as ard-reillyn, as pooaraghyn jeant biallagh huggey.",,33,
"Eph. i. 20, 21. He raised him from the dead, and set him at his own right hand in the heavenly places, far above all principality, and power, and might, and dominion.","Eph i. 20, 21. Eh t’eh er hroggal veih ny merriu; as er hoiaghey ec e laue yesh hene ayns ny ynnydyn flaunyssagh, foddey er-skyn dy-chooilley ard-ooashley, as pooar, as niart, as reill.",,33,
"Heb. x. 12. This man, after he had offered one sacrifice for our sins, for ever sat down on the right hand of God.","Heb x. 12. Ta’n dooinney shoh, erreish da v’er hebbal un oural son peccaghyn, son dy-bragh er hoie sheese ec laue yesh Yee.",,33,
"Q. This Phrase then, of the right hand of God, does not imply that God has Hands? &c.","Q. Cha vel eh dy v’er ny hoiggal liorish y raa shoh eisht, ec laue yesh Yee, dy vel laueyn ec Jee? &c.",,33,
"A. No: this way of speaking is only used in Condescension to us; for God is a Spirit, and hath no Body, nor Parts of a Body.","A. Cha vel: Ta’n aght shoh dy haggloo lurg cliaghtey deiney dy vod eh v’er ny hoiggal liorin; son ta Jee ny Spyrryd, as dyn corp, ny ayrn erbee dy chorp.",,33,
Q. What does Christ do at the right Hand of God?,Q. Cre ta Creest jannoo ec laue yesh Yee?,,33,
"A. He appears in the Presence of God for us, as our Mediator, Intercessor, and Advocate.","A. T’eh shassoo ayns fenish Yee, myr eshyn ta eddyr Jee as shinyn, as jannoo accan er nyn son, as loayrt ayns y lieh ain.",,33,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,34,
"A. From Heb. ix. 24. Christ is entred into heaven itself, now to appear in the presence of God for us.","A. Veih Heb. ix. 24. Ta Creest er n’gholl stiagh ayns niau hene, nish dy hassoo ayns fenish Yee er nyn son:[19]",,34,"[19] Here and elsewhere the Manx Bible quotation ends with a colon, showing it is transferred directly from the Manx Bible translation."
"Rom. viii. 34. Christ who is at the right hand of God, who also maketh intercession for us.","Rom. viii. 34. Creest ta ec laue yesh Yee, ta myrgeddin loayrt ayns y lieh ain.",,34,
"1 John ii. 1. We have an advocate with the Father, Jesus Christ the righteous.","1 Ean. ii. 1. Ta fer ain ta loayrt er nyn son rish yn Ayr, Yeesey Creest yn fer-cairagh.",,34,
Q. Is Christ the only Mediator?,Q. Nee Creest ynrycan ta loayrt eddyr Jee as shinyn?,,34,
"A. Yes: There is one Mediator between God and men, the man Christ Jesus, 1 Tim. ii. 5.","A. She: Ta ayn un er ta loayrt eddyr Jee as deiney, yn dooinney Creest Yeesey, 1 Tim. ii. 5.",,34,
Q. Why are the words Father Almighty added here?,Q. Cre’n-fa ta ny focklyn Ayr Ooilley-niartal soit sheese ayns shoh?,,34,
"A. To shew us the Truth and Fulness of all that Authority and Dominion to which Christ, as our Mediator, is advanced.","A. Dy hoilshaghey dooinyn firrinys as slane towse ooilley yn phooar shen as y reill huggey ta Creest, myr eshyn ta loayrt eddyr Jee as shinyn, er ny hroggal seose.",,34,
Q. Whence shall Christ come to Judgment?,Q. Cre veih nee Creest cheet gys briwnys?,,34,
A. From Heaven.,A. Veih Niau.,,34,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,34,
A. From 1 Thess. iv. 16. The Lord himself shall descend from heaven.,A. Veih 1 Thess. iv. 16. Hig y Chiarn hene neose veih Niau.,,34,
Q. Whom shall Christ judge?,Q. Quoi nee Creest briwnys?,,34,
"A. All Men, the Quick, those who shall then be alive, and the Dead.","A. Dy-chooilley ghooinney, ny bio, adsyn vees ec y traa shen bio, as ny merriu.",,34,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,35,
A. From Acts x. 42. It is he which was ordained of God to be the judge of quick and dead.,A. Veih Jannoo. x. 42. She eshyn liorish oardagh Yee ta dy ve briw ny bio as ny merriu,,35,
Q. For what shall he judge them?,Q. Cre hon nee eh ad y vriwnys?,,35,
A. For all Things whether secret or open.,A. Son dy-chooilley nhee edyr follit ny foshlit.,,35,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,35,
"A. From 2 Cor. v. 10. We must all appear before the judgment-seat of Christ, that every one may receive the things done in his body, according to that he hath done, whether it be good or bad.","A. Veih 2 Cor. v. 10. Shegin dooin ooilley shassoo fenish stoyl-briwnys Chreest, dy vod dy-chooilley unnane ve cooilleenit son ny reddyn ta jeant ayns y challin, cordail rish shen ny t’eh er n’yannoo, lhig eh ve mie ny sie.",,35,
"Eccl. xii. 14. God shall bring every work into judgment with every secret thing, whether it be good, or whether it be evil.","Eccles. xii 14. Nee Jee dy-chooilley obbyr y chur lesh gys briwnys, marish dy-chooilley nhee follit, edyr eh ve mie ny sie.",,35,
SECT. VII.,SECT. VII.,,35,
,,,35,
"Of God the Holy Ghost, and the remaining Articles of the Creed.","Mychione Jee yn Spyrryd Noo, as y chooid elley jeh banglaneyn y Chrea.",,35,
,,,35,
Q. Who is the Holy Ghost?,Q. Quoi yn Spyrryd Noo?,Quoi yn Spyrryd Noo?,35,
A. He is the Third Person in the sacred Trinity.,A. T’eh yn trass phersoon ayns y Trinaid casherick.,,35,
Q. How is this proved?,Q. Kys ta shoh er ny phrowal?,,36,
"A. From Matt. xxviii. 19. Baptizing them in the name of the Father, and of the Son, and of the Holy Ghost.","A. Veih Mian xxviii. 19. Bashtey ad ayns ennym yn Ayr, as y Vac, as y Spyrryd Noo.",,36,
Q. What do you mean by the word Ghost?[20],,,36,[20] This question-answer pair elucidating that English ghost = spirit has no relevant counterpart in the Manx.
A. Ghost is the same with Spirit.,,,36,
Q. Why is he called the Holy Ghost?,Q. Cre’n-fa t’eh er ny enmys yn Spyrryd Noo?,,36,
"A. Because of his Office, which is in Christ’s stead to sanctify, or to make holy the Church.","A. Er-yn-oyr dy nee yn oik echey eh, ayns ynnyd Chreest, dy chasherickey yn Agglish.",,36,
Q. How do you prove that our Sanctification proceeds from the Holy Ghost?,Q. Kys t’ow prowal dy nee liorish y Spyrryd Noo ta shin er ny chasherickey?,,36,
"A. From 1 Cor. vi. 11. But ye are washed, but ye are sanctified, but ye are justified in the name of the Lord Jesus, and by the spirit of our God.","A. Veih 1 Cor. vi. 11. Agh va shiu er nyn niee, agh ta shiu er nyn gasherickey, agh va shiu er nyn seyrey ayns ennym y Chiarn Yeesey, as liorish Spyrryd yn Jee ain.",,36,
Q. What do you mean by the Church?,Q. Cre t’ow toiggal liorish yn Agglish.,,36,
A. I mean a Society of Persons called by God to the Profession of true Religion.,A. Ta mee toiggal sheshaght dy phersoonyn er nyn eam liorish Jee dy ghoaill orroo yn credjue firrinagh.,,36,
Q. What does the word Catholick signify?,,,36,
A. It signifies Universal.,,,36,
Q. Why is the Term Catholick applied to the Christian Church?,"Q. Cre’n-fa ta’n fockle slane[21] (ta shen, roshtyn er ooilley) soit sheese myr bentyn gys yn Agglish Chreestee?",,36,"[21] The Manx question alludes to the Manx version of the third section of the Creed: Ta mee credjal ayns y Spyrryd Noo; Yn slane Agglish casherick; Sheshaght ny Nooghyn; Leih peccaghyn: Irree-seose reesht y challin; As y vea dy-bragh farraghtyn, where slane corresponds to catholick = universal in Lewis’s English."
"A. To distinguish it from the Jewish Church, which was confined to one Nation, whereas the Christian Church is extended to all Nations.","A. Dy chowraghey ee veih Agglish ny Hewnyn, nagh row goaill stiagh agh un ashoon, son wheesh as dy vel yn agglish Chreestee roshtyn gys dy-chooilley ashoon.",,36,
Q. How is the Church said to be Holy?,Q. Kys ta’n Agglish er ny ghra dy ve casherick?,,36,
"A. As it is dedicated to God by Covenant and Profession, and is thereby obliged to be holy.","A. Myr t’ee er ny chasherickey gys Jee liorish conaant, as goaill-rish yn Credjue firrinagh,  as t’ee er-y-fa shen fo kiangley dy ve casherick.",,36,
Q. What are the Privileges belonging to the Holy Catholick Church?,Q. Cre ta ny vondeishyn ta bentyn gys y slane Agglish Casherick?,,37,
"A. They are four; 1st, The Communion of Saints. 2d, The Forgiveness of Sins. 3d, The Resurrection of the Body. And 4th,of  The Life everlasting.","A. T’ad kiare; Hoshiaght, Sheshaght ny nooghyn. Yn nah ynnyd, Leih peccaghyn. Yn trass, Irree-seose-reesht y challin. As y chiaroo ynnyd, Yn vea dy-bragh farraghtyn.",,37,
Q. What is the first Privilege?,Q. Cre ta’n chied vondeish?,,37,
A. The Communion of Saints.,A. Sheshaght ny nooghyn.,,37,
Q. How is the word Saints to be understood?,Q. Kys ta’n fockle Nooghyn dy v’er ny hoiggal?,,37,
"A. It is most properly to be understood of those, who are the true and living Members of Christ’s Church, namely, such as do answer the End of their Calling by a lively Faith, and holy Conversation.","A. Te ayns yn aght s’cooie dy v’er ny hoiggal jeusyn, ta nyn oltyn firrinagh as bioal jeh Agglish Chreest, ta shen dy-ghra, lheid as ta gansoor oyr nyn eam liorish credjue bioal, as ymmyrkey-bea crauee.",,37,
Q. In what does this Communion consist?,Q. Cre ayns ta’n cheshaght shoh shassoo?,,37,
"A. In a Fellowship in all Acts of divine Worship, Piety, and Charity; and in a Partaking of in common the Privileges and Benefits of the Gospel.","A. Ayns dy vel ad jannoo sheshaght ayns dy-chooilley ayrn jeh shirveish Yee, as craueeaght, as graih; as ayns commeeys cadjin jeh vondeishyn as bannaghtyn y tushtal.",,37,
Q. What are those Privileges which Christians have thus in common amongst them?,Q. Cre ta ny vondeishyn shoh ta myr shoh ec Creesteenyn ayns commeeys ny mast’oc?,,37,
"A. They are, their making all but one Body or Church; their being all sanctified by one Spirit; their having all one Hope of their Calling; one Lord, one Faith, one Baptism, one God and Father of all.","A. T’ad, nagh vel ad ooilley jannoo agh un chorp ny un agglish; dy vel ad ooilley er ny chasherickey liorish un Spyrryd; dy vel oc ooilley un treishteil jeh nyn eam; un Chiarn,  un chredjue, un vashtey, un Jee as Ayr jeh ooilley.",,37,
Q. How do you prove this Communion of Saints to be the Privilege of the Church?,Q. Kys t’ow prowal yn cheshaght shoh dy nooghyn dy ve cairys yn agglish?,,38,
"A. Acts ii. 42. They continued stedfastly in the apostles doctrine and fellowship, and in breaking of bread, and in prayers.","A. Jannoo. ii 42. Ren ad tannaghtyn ayns ynsagh as sheshaght ny ostyllyn, as ayns brishey arran, as ayns padjeryn.",,38,
"1 Cor. xii. 26. Whether one member suffer, all the members suffer with it.","1 Cor. xii. 26. Edyr un olt dy hurranse, ta ooilley ny oltyn surranse marish.",,38,
"Eph. iii. 6. That the gentiles should be fellow-heirs, and of the same body, and partakers of his promise in Christ by the gospel.","Eph. iii. 6. Dy row ny ashoonyn-quaagh dy ve co-eiraghyn, as jeh’n un chorp, as dy ghoaill ayrn cooidjagh jeh e yialdyn ayns Creest, liorish y sushtal.",,38,
Q. What is the second Privilege of the Church?,Q. Cre ta’n nah vondeish ta ec yn Agglish?,,38,
A. Forgiveness of Sin.,A. Leih peccaghyn.,,38,
Q. What is Sin?,Q. Cre ta peccah?,,38,
A. Sin is the Transgression of the Law of God.,A. Peccah brishey leih Yee.,,38,
Q. What is the Punishment due to Sin?,Q. Cre ta’n kerraghey cair da peccah?,Q. Cre ta’n kerraghey cair dy peccah?,38,"sc. da peccah, as 6 lines below."
A. Death temporal and eternal.,A. Baase seihltagh as dy-bragh beayn.,,38,
Q. What Proof have you of this?,Q. Cre’n phrowal t’ayd jeh shoh?,,38,
A. From Rom. vi. 23. The wages of sin is death.,A. Veih Rom. vi. 23. Faill peccah yn baase.,,38,
Matt. xxv. 46. These [the Wicked] shall go away into everlasting punishment.,"Mian xxv. 46. Hed ad shoh (ta shen dy ghra, yn vee-chrauee[23]) ersooyl gys y kerraghey dy-bragh farraghtyn.",,38,"[23] yn vee-chrauee] One might expect ny mee-chrauee ‘the wicked’, but yn vee-chrauee f. sg. (collective) is quite well attested, from Coyrle Sodjey to the Bible (alongside ny mee-chrauee m. pl.)."
Q. What is the Forgiveness of Sin?,Q. Cre ta leih peccaghyn?,,38,
A. It is God’s not exacting the Punishment due to Sin from those that have committed it.,"A. Te dy vel Jee meigh-chreeagh ayns cooilleeney yn kerraghey cair da peccah, orroosyn t’er yannoo eh.",,38,
Q. On what Terms is Sin forgiven? ,Q. Cre ta ny conaantyn orroo ta peccah er ny leih?,,39,
A. On Condition of our Faith and Repentance.,A. Er conaant nyn gredjue as arrys.,,39,
Q. How is this proved from Scripture?,Q. Kys ta shoh er ny phrowal veih’n Scriptyr?,,39,
"A. From Acts xxvi. 18. That they may receive forgiveness of sins, by faith that is in me.","A. Veih Jannoo xxvi. 18. Dy vod ad leih peccaghyn y gheddyn, liorish y credjue ta aynyms.",,39,
Luke xxiv. 47. That repentance and remission of sins should be preached in his name among all nations.,Luke xxiv. 47. Arrys as leih peccaghyn dy ve’r nyn breacheil ayns yn ennym echey mastey dy-chooilley ashoon.,,39,
