English,Manx,Page,Manx Original,Notes
"M. God does not deal with all exactly in the same way. But take heed you do not depend too much upon these privileges. You were early baptized; but search your heart and life. Have you not lived for a long time together as without God in the world? Instead of renouncing the world, the flesh, and the devil, have you not followed and been led by them? Have you not been led by the world in judging of things according to the opinions of men, in opposition to the word of God? Have you not in many things conformed to its customs contrary to the commands of God? Have you not frequently obeyed your carnal lusts and inclinations so as to violate frequently the pure law of God, if not by actual offences, yet by indulging evil thoughts, and living in lesser sins without concern? And has not the devil been for a considerable time your master, leading you to offend God by profaning his holy name and holy day; and that for the sake of such trifling pleasure, as plainly argues his ascendancy over you? And have you not continued still in these things with little or no concern, hoping, notwithstanding, that all would be well? Nay, is not this still in some measure your case? —I see you acknowledge it is, it is plain then your baptismal vow and covenant are broken, and there is an absolute necessity of turning unto God, and beginning all anew.","B. Cha vel Jee prowal dy chooilley unnane ayns yn un aght; agh bee er dty hwoaie nagh der oo rour barrant er dty vondeishyn cheumooie. Ronsee dty chree as dty vea. Nagh vel oo er cheau lane jeh dty hraa myr “fegooish Jee ayns y theihll.” Ayns ynnyd cur cooyl rish y seihll, yn eill, as y drogh-Spyrryd, nagh vel oo er n’eiyrt er y theihll ayns soiaghey jeh reddyn cordail rish smooniaghtyn deiney as noi bree ghoo casherick Yee? Nagh vel oo dy mennic er chummey oo hene gys cliaghtaghyn y theihll noi saraghyn YEE? Nagh vel oo dy mennic er chur raad da sayntyn ny foalley, as myr shoh er vrishey leigh YEE, liorish drogh smooniaghtyn almoraght as meehushtey, mannagh vel oo er n’yannoo shen liorish ard loghtyn? As nagh vel oo er ve foddey ayns shirveish y drogh-Spyrryd t’er hayrn oo dy vrasnaghey JEE liorish brishey e laa casherick as goaill e ennym casherick ayns fardail; as shen er graih lheid yn eunys fardalagh as ta soilshaghey ro-chronnal dy vel oo fo yn reill echey? As nagh vel oo er hannaghtyn foast ayns ny reddyn shoh, treishteil ny-yeih dy bee ooilley dy mie mayrt? Nagh nee shoh yn cooish ayds eer ’sy traa t’ayn? Ta mee fakin nagh vel oo gobbal. T’eh cronnal eisht dy vel eh ymmyrchagh dhyt dy hyndaa gys JEE as dy ghoaill arrys ass-y-noa.",7,"B. Cha vel Jee prowal dy choilley unnane ayns yn un aght; agh bee er dty hwoaie nagh der oo rour barrant er dty vondeishyn cheumooie. Ronsee dty chree as dty vea. Nagh vel oo er cheau lane jeh dty hraa myr “fegooish Jee ayns y theihll.” Ayns ynnyd cur cooyl rish y seihll, yn eill, as y drogh-Spyrryd, nagh vel oo er n’eiyrt er y theihll ayns soiaghey jeh reddyn cordail rish smooniaghtyn deiney as noi bree ghoo casherick Yee? Nagh vel oo dy mennic er chummey oo hene gys cliaghtaghyn y theihll noi saraghyn YEE? Nagh vel oo dy mennic er chur raad da sayntyn ny foalley, as myr shoh er vrishey leigh YEE, liorish drogh smooniaghtyn almoraght as meehushtey, mannagh vel oo er n’yannoo shen liorish ard loghtyn? As nagh vel oo er ve foddey ayns shirveish y drogh-Spyrryd t’er hayrn oo dy vrasnaghey JEE liorish brishey e laa casherick as goaill e ennym casherick ayns fardail; as shen er graih lheid yn eunys fardalagh as ta soilshaghey ro-chronnal dy vel oo fo yn reill echey? As nagh vel oo er hannaghtyn foast ayns ny reddyn shoh, treishteil ny-yeih dy bee ooilley dy mie mayrt? Nagh nee shoh yn cooish ayds eer ’sy traa t’ayn? Ta mee fakin nagh vel oo gobbal. T’eh cronnal eisht dy vel eh ymmyrchagh dhyt dy hyndaa gys JEE as dy ghoaill arrys ass-y-noa.",
P. How must I begin anew?,F. Cre’n aght ta mee dy ghoaill arrys ass-y-noa?,8,,
"M. By acknowledging that by your departure from God you have brought yourself to a State of sin and misery: alienated from God, inclined to evil, and therefore at Enmity with God in your heart; and that for these things you deserve his wrath, and stand on the brink of ruin, covered with guilt.","B. Liorish goaill-rish dy vel oo er choyrt lhiat oo hene ayns stayd dy pheccah as dy hreihys liorish treigeil JEE; dy vel oo dty Yoarree da bea YEE; graihagh er olk, as shen-y-fa ec noidys rish JEE ayns dty chree; as son ny reddyn shoh dy vel oo toilloo kerraghey; dy vel oo shassoo er broogh Niurin; as dy vel oo coodyt lesh loght.",8,"B. Liorish goaill-rish dy vel oo er choyrt lhiat oo hene ayns stayd dy pheccah as dy hreihys liorish treigeil JEE; dy vel oo dy Yoarree da bea YEE; graihagh er olk, as shen-y-fa ec noidys rish JEE ayns dty chree; as son ny reddyn shoh dy vel oo toilloo kerraghey; dy vel oo shassoo er broogh Niurin; as dy vel oo coodyt lesh loght.",
"P. I am willing to forsake all sin, turn to God, and do better. Will that do?","F. Ta mee aggindagh dy hyndaa veih dy chooilley pheccah, dy chur mee hene seose gys JEE, as dy yannoo ny share son y traa ta ry heet.",8,,
"M. These are good resolutions, but they do not seem to proceed from a right principle. You would forsake sin, and do better, I see, with some secret dependence upon your amendment and doings, that these will fit you for acceptance, and gain you an interest in Christ: But this is a legal spirit of self-dependence, a going about to establish your own righteousness. When I see you acknowledge yourself sinful, vile, and base, and, like Job, abhorring yourself; when I see you sensible that you are unworthy of the least mercy, and unable of yourself to do any good thing; when I see you renouncing your best deeds as defiled by sin, casting yourself before God as lost and helpless; having no hope in yourself, but supported only by the promise of Salvation made in Jesus Christ; when this is not only the Language of the tongue, but these convictions are deeply impressed on the Heart— when this is your case, I shall think a real work of grace is begun in your soul.","B. T’ad shoh chiarailyn mie agh cha vel ad jeeaghyn dy ve gruntyt er undin cairagh. Yinnagh oo peccah y hreigeil, as dty vea y lhiassaghey, ta mee fakin lesh cheint dy varrant er dty lhiassaghey-bea, dy jean eh cosney ayrn dhyt ayns Chreest; agh t’ou myr shoh shirrey dy hoiaghey seose yn cairys ayd hene. Tra ta mee fakin dy vel oo ghoaill-rish dy vel oo peccoil, boght as treih, as lurg sampleyr Yob dwoaie ayd ort hene. Tra ta mee fakin dy vel oo gennaghtyn dy vel oo neufeeu jeh’n vyghin sloo, as fegooish niart dy yannoo veg y vie jeed-hene; tra ta mee fakin oo chur seose dty obbraghyn share, myr sollit lesh peccah, tuittym sheese kionfenish Jee, myr cailt as dyn cooney, fegooish barrant erbee ort hene, agh er ny chummal seose ynrycan liorish ghialdyn y taualtys jeant ayns Yeesey Chreest, tra t’ou fockley-magh yn ennaghtyn shoh jeh dty neu-feuid cha nee ny lomarcan lesh dty veillyn agh voish dty chree, eisht neem smooniaght dy vel dy jarroo obbyr dy ghrayse er ghoaill toshiaght ayns dty annym.",8,,
P. Why this is advising me to despair!,F. Ta shiu liorish shoh choyrt choyrle dou dy chur mee-hene seose dys meehreishteil.,8,,
"M. Indeed I would have you despair of all help from yourself, or on account of any thing you have done, or can do; for till then, you will not sufficiently value Jesus Christ, nor fly to him as your only Saviour, who came to preach deliverance to the captives, and to bind up the broken hearted."," B. Yinnin dy jarroo choyrlaghey oo dy ve meehreishteilagh jeh cooney erbee voyd hene er coontey nhee erbee t’ou er n’yannoo, ny oddys oo jannoo; son derrey t’eh myr shoh mayrt, cha jean oo soiagh dy liooar jeh nyn Jiarn Yeesey Chreest ny chea huggey myr dty ynrycan Saualtagh “haink dy phreacheil livreys gys ny Cappeeyn, as dy laanaghey yn vooinjer hrome-chreeagh.”",9,,
"P. I believe all this may be necessary for a notorious sinner, or an heathen; but I have lived in some fear of God, attended at Church, and always believed.","F. Ta mee chredjal dy vel ooilley shen ymmyrchagh da ard pheccee as Anchreesteenyn; agh ta mish er veaghey ayns aggle ennagh roish Jee, as ta mee er haaghey yn thie echey, as er chredjal yn Sushtal.",9,,
"M. I doubt you never believed at all, properly speaking: but of this I will talk more with you another time; at present, it is plain your repentance has not been real. ","B. Ta mee goaill aggle nagh row rieau chredjue firrinagh ayd, agh jeh shoh nee’m loayrt ny smoo rhyt cheayrt elley. T’eh nish cronnal nagh vel dty arrys er ve firrinagh. ",9,,
"You never saw and felt your danger; consequently could never be so desirous of escaping it as is necessary. You always flattered yourself with some hopes that your state was safe, or certainly would be, when you lived a little better; which was at bottom depending on yourself. And with respect to the other branches of repentance, such as forsaking sin—it is evident to yourself you have lived without concern in some lesser habitual sins; and, as for turning to God, you were never sensible, that in the stream of your affections, and the general course of your life, you were turned from him. —Indeed (though you seem not to know it) the ruling principle in you, and every natural man, is a principle of sin and corruption. Instead of seeking to please God, you have all along been seeking to please yourself; to procure some gratification to corrupted nature, such as sensual delights, riches, worldly esteem, ease, or the like. This hath been the acting principle throughout your whole conduct, instead of obeying that command, Do all to the glory of God. Nay, if you search narrowly, you will find in your heart an enmity against God. For so saith the apostle, Rom. viii. 7. the carnal mind (and such is every man’s by nature) is enmity against God. And this enmity shews itself in opposing God’s will, by doing what he hath forbidden, and leaving undone what he hath commanded; and also in flying from God as your enemy, and endeavouring to hide yourself from him like Adam. Have you not passed days and weeks without one serious thought of God, though you were all that time receiving mercies at his hand? Have you not banished and suppressed such thoughts, when they have arisen in your mind? Have you not fled from serious thoughts of God and eternity, as enemies to your peace, and drowned them in worldly cares, vain conversation, and idle amusements? Have you not thus fled from God? ",,9,,
"You know you have. —Hitherto (suffer me to be plain with you) you have gone wrong, and have been insensible of your danger; deceived yourself, and spoken peace to your soul, when there was no peace. Now consider what you have heard from me, read your Bible, examine yourself, and pray unto God to give you a sense of your real state, and a right judgment in all things. ","Gys y traa t’ayn t’ou er n’holl er shaghryn, as er ve meehushtagh jeh dty ghaue, er volley oo hene, as er loayrt shee rish dty annym tra nagh row shee erbee. Nish smooinee er shen t’ou er clashtyn voym’s; ronsee ny Scriptyryn; feysht oo hene; as guee er Jee dy chur ennaghtyn dhyt jeh dty stayd firrinagh, as tushtey cairagh ayns dy chooilley nhee.",9,"Gys y traa t’ayn t’ou er n’holl er shaghryn, as er ve meehushtagh jeh dty ghaue, er volley oo hene, as er loayrt shee rish dty annym tra nagh row shee erbee. Nish smooinee er shen t’ou er clashtyn voym’s; ronsee ny Scriptyryn; feysht oo hene; as guee er Jee dy chur ennaghtyn dhyt jeh dty stayd firrinagh, as tushtey cairagh ayns dy choilley nhee.",
DIALOGUE II.,YN NAH AYRN.,9,,
,,9,,
"[6]M. I was in hopes of seeing you before now, neighbour, that we might have an opportunity of talking together again on the same important subject.","B. Va mee jerkal dy akin oo roish nish Naboo, dy voddagh caa er ve ain dy loayrt ry-cheilley reesht er y cooish vooar va shin loayrt jeh roïe.",9,,"[6] In the 1790 edition these first three paragraphs of Dialogue II are much abbreviated, with the bits of conversational flavouring cut out. The Manx more closely resembles the text of the 1788 version."
"P. Indeed, Sir, if I may make so bold, I must say I did not like what you said so well, as to desire to hear any more of it. And I should not have come to you now, had it not been for something I heard in your sermon yesterday.","F. Dy ghra yn irriney, cha ghow mee wheesh dy haitnys ayns shen dooyrt shiu roïe dy row aigney aym dy chlashtyn ny smoo jeh; chamoo va mee er jeet dy yeeaghyn shiu nish, er-be son red ennagh cheeayll mee ayns y charmane eu jea.",9,"F. Dy ghra yn irriney, cha ghow mee wheesh dy haitnys ayns shen dooyrt shiu roïe dy row aigney aym dy chlashtyn ny smoo jeh; chamoo va mee er jeet dy yeeaghyn shiu nish, er-be son red ennagh cheeayl mee ayns y charmane eu jea.",
"M. I like your honest plainness very well, neighbour. But in what was it that I offended you?","B. S’mie lhiam dy vel oo loayrt lesh lheid y reamys, Naboo. Agh cre ayn hug mee corree ort?",9,,
"P. I thought you bore too hard upon me, and I was afraid you would make me melancholy.","F. Smooinee mee dy row shiu cheet ro-chreoi orrym, as va mee goaill aggle dy jinnagh shiu chur orrym ve groymagh as sou-aignagh.",9,,
M. Do not you think that what I said proceeded from love to your soul? ,B. Nagh vel oo smooniaght dy nee er graih dty annym loayr mee ny reddyn shen?,9,,
"P. I really believe, it did.",F. Dy firrinagh ta mee chredjal dy nee.,9,,
M. Do you think I said any thing that was not true?,B. Vel oo smooniaght dy dooyrt mee veg agh yn irriney?,9,,
"P. I did think so then. You seemed to judge too hardly of me, and to put me on a level with the worst of men. But I am now convinced that what you said was all true.", F. Smooinee mee ec y traa shen dy dooyrt shiu ny smoo na va chiart. Va shiu jeeaghyn dy vriwnys ro-chreoi jeem as dy yannoo mee corrym rish yn vooinjer s’peccoil; agh ta mee nish fakin dy row ooilley ny dooyrt shiu dy slane firrinagh.,10,,
M. What has produced this change of your sentiments?,B. C’red t’er n’obbraghey yn caghlaa shoh ayns dt’aigney?,10,,
"P. Your yesterday’s sermon about the Day of Judgment. I have been very uneasy ever since I heard it. For I am greatly afraid, that, if the Day of Judgment was now come, it would find me unprepared. And then——the Lord have mercy upon my poor soul!","F. Yn sharmane eu jea er laa ny briwnys. Ta mee er ve dy mooar seaghnit neayr’s ren mee chlashtyn eh. Son ta mee ayns laane aggle dy darragh laa ny briwnys s’yn oor shoh dy beign ry-gheddyn neu-aarloo er y hon; as eisht, Hiarn jean myghin er my annym!",10,,
M. It would be too late then to cry and hope for mercy. But what was it particularly that made you form such judgment of yourself?,B. Veagh eh ro-anmagh eisht dy hirrey myghin. Agh c’red va shen er-lheh hug ort jannoo lheid y vriwnys jeed hene?,10,,
"P. You shewed us from the twenty-fifth chapter of St. Matthew, that judgment begins with a separation of the godly from the wicked; and this separation was owing to a separation made in this life, when the righteous were taken from among the wicked, by leaving the works and the society of the ungodly. I was not sensible any such change had been wrought in me, and am therefore afraid I am still in the state of sin, in which, you told us, all men are by nature.","F. Ren shiu soilshaghey dooin veih’n queiggoo chabdil as feed jeh’n Sushtal liorish y Noo Mian, dy vel briwnys goaill toshiaght liorish scarrey yn chloan cairal veih ny meechrauee, as dy daink shoh voish scarrey va jeant ’sy vea ta nish ayn tra va’n vooinjer crauee goit veih mastey ny meechrauee, liorish choyrt chooyl rish ny obbraghyn as y cheshaght oc. Cha ren mee gennaghtyn lheid y caghlaa aynym-pene, as shen-y-fa ta mee ghoaill aggle dy vel mee foast ayns y stayd shen dy pheccah ayn ren shiu ginsh dooin dy vel dy chooilley ghooinney liorish dooghys.",10,,
"M. You have great reason to be afraid. I told you that those would be esteemed righteous on that day, who had fled to the Lord Jesus Christ for righteousness to justify them, and had been made holy by the spirit of God, creating in them a new heart, and had evidenced this change by an holy conversation through the remaining part of their life, how many or great soever their sins had been: and that the wicked were those that had lived and died without faith in Christ, and the indwellings of God’s spirit, however orderly and decent their conduct was.","B. Ta lane oyr ayd dy ghoaill aggle. Dooyrt mee riu dy nee adsyn ny lomarcan veagh coontit ynrick as cairal er y laa shen v’er hea gys y Chiarn Yeesey son ynrickys dy heyrey ad; v’er nyn gasherickey liorish Spyrryd YEE ren cree noa y croo cheusthie jeu, as v’er hoilshaghey yn caghlaa shoh liorish ymmyrkey casheric trooid y chooid elley jeh nyn mea, cre-erbee ny pheccaghyn v’ad roïe kyndagh jeu; as dy row ny meechrauee yn vooinjer va er veaghey as er gheddyn baase fegooish chredjue ayns Chreest, as bree yn Spyrryd Casherick, cre erbee cha kiart as oddagh ad y ve ayns nyn ymmyrkey er-cheumooie.",10,,
"P. Ay, that it was that terrified me. You told us, that the most upright man had committed sins enough to condemn him, if he died without an interest in Christ, and without being accepted as righteous through him. But if this mercy and acceptance through Jesus Christ were obtained before death, no man’s sins would be remembered against him on that day. And to prove this, you shewed us, that in the proceedings of the last day, as related by St. Matthew, no sins of the righteous are mentioned by the Judge, nor any good deeds of the wicked.","F. Shen ve hug aggle aynym’s; Ren shiu ginsh dooin dy row yn dooinney s’ynrick er chur rish peccaghyn dy liooar dy gheyrey eh, dy beagh eh dy gheddyn baase fegooish ayrn ve echey ayns toilchinys Chreest, as fegooish soiagh ve jeant jeh myr ynrick ny hrooidsyn. Agh dy beagh yn vyghin as y taualtys shoh trooid Yeesey Chreest er ny cosney roish baase, cha jinnagh peccaghyn dooinney erbee cheet noi er y laa shen; as dy phrowal shoh ren shiu soilshaghey dooin veih’n coontey jeh yn laa jerrinagh myr t’eh soit magh liorish y Noo Mian nagh vel yn Briw jannoo imraa erbee jeh peccaghyn ny [sic] chloan chairagh, ny jeh obbraghyn mie ny meechrauee.",10,"F. Shen ve hug aggle aynym’s; Ren shiu ginsh dooin dy row yn dooinney s’ynrick er chur rish peccaghyn dy liooar dy gheyrey eh, dy beagh eh dy gheddyn baase fegooish ayrn ve echey ayns toilchinys Chreest, as fegooish soiagh ve jeant jeh myr ynrick ny hrooisyn. Agh dy beagh yn vyghin as y taualtys shoh trooid Yeesey Chreest er ny cosney roish baase, cha jinnagh peccaghyn dooinney erbee cheet noi er y laa shen; as dy phrowal shoh ren shiu soilshaghey dooin veih’n coontey jeh yn laa jerrinagh myr t’eh soit magh liorish y Noo Mian nagh vel yn Briw jannoo imraa erbee jeh peccaghyn ny [sic] chloan chairagh, ny jeh obbraghyn mie ny meechrauee.",
"M. The wicked, that is, they that lived and died without an humbling sense of their natural corruption and actual sins, so as never by faith to fly for refuge to God’s mercy in Christ, have, properly speaking, no good works to be mentioned, for all they do is from a wrong principle;[7] either from selfish and worldly ends, or in order to gain an interest in Christ, and pardon of their sins on account of their doings; which is seeking salvation by the law of works. On this account their works are not regarded, being not done in faith; nor proceeding from a principle of love; which principle none have till they are one with Christ, John xvii. 21. who is the true vine, and believers are the branches deriving life from him, John xv. 1. and without whom we can do nothing acceptable in God’s sight, John xv. 5. On the other hand, the righteous being themselves accepted through Christ, their sins are not mentioned because long before forgiven and blotted out: and their imperfect services, being accepted through Jesus their High Priest, who bears the iniquity of their holy things, receive at the hands of the bountiful Judge a reward of grace. So that that which principally distinguishes the godly from the ungodly, is, that the one is accepted as righteous, and has obtained forgiveness through Christ, according the new or gospel covenant: the other, never being deeply sensible of his sinful lost state (indeed too proud to acknowledge it) hath not applied for the mercy represented in the gospel, and so at the day of judgement stands on the foundation of the old covenant or law of good works, which requires perfect obedience: consequently he is without a Mediator, and without forgiveness, and therefore must be condemned.","B. Cha nod imraa dy jarroo ve jeant jeh obbraghyn mie ny meechrauee, son cha vel veg nyn lheid ocsyn ta ceau nyn mea as gheddyn baase fegooish ennaghtyn arryssagh jeh broid nyn ghooghys as nyn ymmodee-filley peccaghyn as nagh vel rieau er hirrey myghin Yee ayns Chreest liorish chredjue.—Ta dy chooilley nhee t’ad jannoo jeant lesh spyrryd-aigney neu-cooie, eddyr dy chosney vondeish ennagh seihltagh, ny dy gheddyn ayrn ayns Chreest as leih nyn peccaghyn er coontey nyn yannoo; ta shoh dy hirrey saualtys liorish y leigh dy obbraghyn, as shen-y-fa cha vel soiagh jeant jeh nyn obbraghyn, myr nagh vel ad jeant ayns chredjue, ny cheet woish graih; as ny grayseyn shoh cha nod dy bragh v’ec sleih derrey t’ad jeant unnane marish Chreest ta’n “Billey-feeney firrinagh,” as Chredjuee ny banglaneyn er nyn mioghey liorish; as n’egooish cha nod mayd veg y yannoo ta booisal ayns shilley YEE—Er y laue elley, myr ta soiagh jeant jeh’n cloan cairagh trooid Chreest, cha vel imraa jeant jeh nyn beccaghyn, er-yn-oyr dy vel ad er nyn leih daue, as er ve dollyt ass foddey er-dy-hienney, as nyn shirveish annoon soit jeh trooid Yeesey Chreest nyn Ard Saggyrt ta “gymmyrkey loghtyn nyn reddyn casherick,” choud’s t’ad gheddyn leagh jeh grayse veih laueyn y Vriw ta feoiltagh ayns mieys. Shen, eisht, ta jannoo yn ard lhiettrymys eddyr y dooinney crauee as y dooinney meechrauee she, dy vel yn derrey yeh er ny heyrey as cosney leih e pheccaghyn trooid Chreest cordail rish Conaant y Tushtal; choud’s nagh vel yn jeh elley rieau er n’akin e stayd peccoil as cailt, ny er hirrey yn vyghin chebbit ayns y Tushtal, as myr shen ec laa ny briwnys nee eh shassoo er undin y chenn Chonaant ny leigh dy obbraghyn ta shirrey slane biallys dys dy chooilley nhee ta scruit ayns y leigh, as shen-y-fa t’eh fegooish fer dy loayrt er eh hon , fegooish leih, as fegooish pardoon. ",11,,"[7] For The true principle from which good works proceed, see the 11th, 12th, and 13th Articles of the Church of England. [The 1788 edition expands this footnote, and gives the text of the three articles verbatim. The 1763 edition has no footnote here.]"
"P. But then, why are works mentioned at all on that day, as we find they are?",F. Cre hon eisht ta obbraghyn loayrit jeu eddyr er y laa shen?,12,,
"M. I gave you two reasons for this: First, Because, though they are not the ground of any man’s acceptance, yet they shew a man to be in a justified state; for we cannot bear the fruit of holiness, unless we are in and abide in Christ, John xv. 4. And they who do not act righteously deceive themselves if they think themselves righteous: so that good works serve to distinguish believers from unbelievers. Secondly, Because the different degrees of fruitfulness[8] makes a difference between the godly themselves, so that God is pleased graciously to confer upon them different degrees of glory. That any man is at all saved is owing to his faith in the Redeemer: His degree of glory is proportioned to his fruitfulness and diligence in the vineyard. .","B. Hug mee daa oyr son shoh. Hoshiaght, ga nagh vel ad undin jeh saualtys dooinney erbee, ny-yeih t’ad prowal dy vel dooinney er ny heyrey, son cha nod mayd messyn casherickys y ymmyrkey mannagh vel shin ayns Chreest as tannaghtyn aynsyn. As ta’n vooinjer nagh vel jannoo cairys molley ad hene my t’ad smooniaght dy vel ad cairagh. Myr shoh ta obbraghyn mie scarrey eddyr credjuee as yn vooinjer veechredjuagh. ’Sy nah ynnyd, Er yn oyr dy vel ny caghlaaghyn ayns towse nyn mess jannoo lhiettrimmys eddyr yn chloan chairagh hene, myr shen dy vel Jee dy graysoil coamrey ad lesh caghlaaghyn towse dy ghloyr. Dy vel dooinney erbee er ny hauail t’eh liorish e chredjue ayns y Fer-kionnee; agh ta towse e ghloyr corrym rish y vess t’eh cur magh ayns y Garey feeyney.",12,,[8] 1790 faithfulness
"P. I have always thought that we christians were all believers, one as much as another: And that, at the day of judgment, they would be reckoned godly that lived orderly and uprightly, among whom I reckoned myself, and all that were better than I; and that the profane and ungodly, and all that were secretly wicked and ill-designed, would he condemned. Indeed, I had always some fears that I was not good enough; I did not know how great a number would be acknowledged righteous; but I thought I stood a better chance than many, or most that I knew.","F. Va mee cliaghtey smooniaghtyn dy row shinin Chreesteenyn ooilley Credjuee, fer chammah as fer elley, as ec laa ny briwnys dy beagh adsyn goit myr y vooinjer crauee va er cheau nyn mea dy sheelt as dy cairal as nyn mast’oc shoh va mee soiaghey meehene as ooilley ny va beaghey ny share na mee: as dy row ny drogh-yantee as ny meechrauee as ooilley va chur rish peccah dy follit, as va soit er jannoo olk, dy ve er nyn gheyrey as er nyn gerraghey. Va dy jarroo dy kinjagh cheint dy aggle orrym nagh row mee crauee dy liooar. Cha row mee toiggal cre’n aght oddagh ymmodee v’er nyn earroo mastey yn chloan cairagh; agh va mee smooniaghtyn dy row mee hene ayns stayd share na’n chooid smoo jeh my Ainjyssee.",12,,
M. You did not learn this from the word of God. But what think you now?,B. Cha nee woish Ghoo YEE dynsee oo shoh. Agh c’red t’ou smooniaghtyn nish?,12,,
"P. I see that all depends upon my obtaining, whilst on earth, mercy, and forgiveness of all that is past; and that not on account of any thing done by me, but through faith in Jesus Christ. But what that faith is I know not: This I know, that I have been all along out of the way.","F. Ta mee fakin dy vel ooilley lhie er cosney, choud’s ta mee er y thalloo, myghin as leih jeh ooilley ny t’er n’holl shiaghey, as shen cha nee er coontey veg ta mee hene er n’yannoo, agh trooid credjue ayns Yeesey Chreest; agh c’red ta’n credjue shen cha vel mee toiggal; shoh ta fys aym er, dy vel mee er ve ooilley yn traa shoh mollyt as er-shaghryn.",12,"F. Ta mee fakin dy vel ooilley lhie er cosney choud’s ta mee er y thalloo myghin as leih jeh ooilley ny t’er n’holl shiaghey, as shen cha nee er coontey veg ta mee hene er n’yannoo, agh trooid credjue ayns Yeesey Chreest; agh c’red ta’n credjue shen cha vel mee toiggal; shoh ta fys aym er, dy vel mee er ve ooilley yn traa shoh mollyt as er-shaghryn.",
"M. Indeed I think you have; and it is high time for you to awake, and seek the Lord in earnest, lest he cut you off in the midst of your sins, and appoint you your portion where is weeping, and wailing, and gnashing of teeth.","B. Dy firrinagh ta mee smooinaghtyn dy vel oo; as t’eh ard traa dhyt dy ghoostey as dy hirrey yn Chiarn lesh jeeanid aigney er aggle dy bee oo giarit “ayns mean dty pheccaghyn, as dy jean oo dty chronney y gheddyn raad ta “keaney, as dobberan, jehas [sic: ?jeir as] snaggeraght feeacklyn.”[9]",13,,"[9] Usually it is just ‘weeping and gnashing of teeth’ keayney as snaggeraght feeacklyn; in Yn Fer-Raauee Creestee p. 34 we have ‘weeping and wailing, and gnashing of Teeth’ rendered keaney as trimshey, as snaggeraght feeacklyn. l. as ?"
"P. Pray, Sir, tell me, what I must do to be saved?",F. Ta mee guee erriu dy insh dou cre t’orrym dy yannoo dy cosney saualtys?,13,,
M. What think you of your past life?,B. C’red t’ou smooniaght jeh dty vea t’er nholl shiaghey?,13,,
"P. I see that I have been daily offending God, by breaking his commandments, and pleasing myself, not him; and that now I stand under the guilt of thousands of sins, the least of which were enough to condemn me.","F. Ta mee fakin dy vel mee gagh laa er vrasnaghey corree YEE liorish brishey e annaghyn as jannoo my aigney hene, as cha nee yn aigney echeysyn; as dy vel mee nish fo loght thousaneyn dy pheccaghyn, jeu ta eer yn ’nane sloo dy liooar dy my gheyrey, ",13,,
M. What think you of your good deeds?,,13,,
"P. I have none to think about. I see sin in every thing I do. My pride, on account of my being not so bad as others, my worldliness, my vanity, and trifling spirit in prayer and hearing sermons, were enough to condemn me, ",[10],13,,[10] [omission: skipped from first enough to condemn me to the second]
if I had done nothing else.,[10] mannagh row shaghrynys erbee elley ayns my ymmyrkey.,13,,[10] [omission: skipped from first enough to condemn me to the second]
M. And what do you intend to do?,B. As c’red t’ou chiarail dy yannoo?,13,,
"P. I will do better, I will strive against sin, I will pray.","F. Neem mee hene y ymmyrkey ny share; neem streeu noi peccah, as padjer y ghoaill.",13,,
"M. But all these duties, you say, have been heretofore mixed with sin; how then do you hope they will make you accepted now? Or could you do these things ever so well, all is your necessary bounden duty: The good deeds you may do, cannot make amends for past offences. On all those accounts, by the deeds of the law shall no man living be justified.","B. Agh va ooilley ny currymyn shoh t’ou ghoaill rish sollit lesh peccah ’sy traa t’er n’holl shiaghey; kys eisht t’ou jerkal dy bee soiagh jeant jeu nish? Ny dy beagh niart ayd dy chooilleeney ny currymyn shen ayns yn aght share, t’ou ynrycan jannoo dty churrym kianlt. Cha nod ny obbraghyn crauee t’ou cooilleeney jannoo lhiassaghey son loght dty vea t’er n’holl shiaghey. Son ooilley ny oyryn shoh, “liorish obbraghyn y leigh cha bee dooinney erbee bio er ny heyrey.” ",13,,
P. I see no way—If ever there was a lost soul I am he—What shall I do?,"F. Cha vel mee fakin raad erbee dy scapail; my va rieau annym cailt, Mish y dooinney. Cred oddyms jannoo?",13,,
