English,Manx,Manx Original,English Original,Notes,Page
"The one office of charity is, to cherish good and harmless men; not to oppress them with false accusations; but to encourage them with rewards to do well, and to continue in well doing; defending them with the sword from their adversaries.","Ta’n derrey oik dy ghraih, dy ooraghey deiney crauee as gyn loght; gyn dy yannoo tranlaase orroo liorish plaiyntyn aggairagh; agh dy ghreinnaghey ad liorish leaghyn dy yannoo mie, as dy hannaghtyn ayns jannoo mie; coadey ad liorish y chliwe veih nyn noidyn.","Ta’n derrey oik dy ghraih, dy ooraghey deiney crauee as gyn loght; gyn dy yannoo tranlaase orroo liorish plaiyntyn aggairagh; agh dy ghriennaghey ad liorish leaghyn dy yannoo mie, as dy hannaghtyn ayns jannoo mie; coadey ad liorish y chliwe veih nyn noidyn.",,,9
"And the office of bishops and pastors is, to praise good men for well doing, that they may continue therein;[10] and to rebuke and correct by the word of God the offences and crimes of all evil-disposed persons. For the other office of charity is, to rebuke, correct, and punish vice, without regard of persons; and is to be used against them only that be evil men, and malefactors or evil-doers.","As she oik Aspickyn as Saggyrtyn eh, dy voylley deiney crauee son jannoo mie, dy choyrt oghsan as dy smaghtaghey liorish Goo Yee loghtyn as peccaghyn dy chooilley unnane ta soit er olk. Son yn oik elley dy ghraih te dy choyrt oghsan, dy smaghtaghey, as dy cherraghey peccah, fegooish soiaghey jeh persoonyn; as ta shoh dy ve cooilleenit noi ocsyn ny lomarcan ta drogh yantee.",,,[10] ‘that they may continue therein’ is omitted in the translation.,10
"And that it is as well the office of charity to rebuke, punish, and correct them that be evil, as it is to cherish and reward them that be good and harmless, St. Paul declareth, writing to the Romans; saying, That the high powers are ordained of God, not to be dreadful to them that do well, but unto malefactors; to draw the sword to take vengeance of him that committeth the sin.","As dy vel eh oik graih chammah dy chur oghsan, dy smaghtaghey, as dy cherraghey ny mee-chrauee; as te dy choadey yn vooinjer ynric as oney, as dy choyrt leagh daue, ta’n Noo Paul fockley magh ayns e screeuyn gys ny Romanee, gra, “Dy vel ny pooaraghyn syrjey er nyn bointeil liorish Jee cha nee dy ve oyr aggle da obbraghyn mie, agh da drogh obbraghyn, dy hayrn y chliwe dy ghoaill cooilleen ersyn ta cur rish peccah.” (Rom. xiii. 1, 3, 4.)[11]",,,"[11] Only ‘oyr aggle da obbraghyn mie, aghda drogh obbraghyn’ is an exact quotation.",10
And St. Paul biddeth Timothy stoutly and earnestly to rebuke sin by the word of God. 1 Tim. v.,As ta’n Noo Paul cur saarey da Timothy dy choyrt oghsan geyre da peccah liorish Goo Yee (1 Tim. v. 20.),,,,10
"So that both offices should be diligently executed, to fight against the kingdom of the devil; the Preacher with the word, and the Governor with the sword: else they love neither God nor them whom they govern; if, for lack of correction they wilfully suffer God to be offended, and them whom they govern to perish.","Myr shen dy lhisagh dagh oik v’er ny cooilleeney dy imneagh dy chaggey noi’n reeriaght dy ghorraghys; yn Preachoor lesh y goo, as yn Fer-reill lesh y chliwe; er aght elley cha vel graih oc er Jee ny orroosyn ta fo nyn reill; my t’ad jeh nyn yioin lhiggey da Jee v’er ny vrasnaghey liorish lhiggey shaghey dy ghoaill kerraghey, as yn vooinjer ta fo nyn reill dy herraghtyn.","Myr shen dy lhisagh dagh oik v’er ny cooilleeney dy imneagh dy chaggey noi’n reeriaght dy ghorraghys; yn Preachoor lesh y goo, as yn Fer-reill lesh y chliwe; er aght elley cha vel graih oc er Jee ny orroosyn ta fo nyn reill; my t’ad jeh nyn yioin lhiggey da Jee v’er ny vrasnaghey liorish lhiggey shaghey dy ghoaill kerraghey, as yn voinjer ta'd fo nyn reill dy herraghtyn.",,,10
"For as every loving father correcteth his natural son when he doth amiss, or else he loveth him not; so all governors of realms, countries, towns, and houses should lovingly correct them which be offenders under their governance, and cherish them which live innocently; if they have any respect either unto God and their office, or love unto them of whom they have governance.","Son myr ta dy chooilley Ayr graihagh smaghtaghey e vac dooghyssagh tra t’eh jannoo dy olk, er nonney cha vel eh graihagh er; myr shen lhisagh dy chooilley Chiannooyrt jeh reamyn, cheeraghyn, baljyn, as thieyn, dy graihagh smaghtaghey adsyn fo nyn relll ta cur-rish olk, as coadey adsyn ta baghey gyn loght, my ta sooill oc eddyr gys ooashley Yee ny gys nyn oik, ny graih orroosyn ta fo nyn gurrym.","Son myr ta dy chooilley Ayr graihagh smaghtaghey e Vac dooghyssagh tra t’eh jannoo dy olk, er nonney cha vel eh graihagh er; myr shen lhisagh dy chooilley Chiannooyrt jeh reamyn, cheeraghyn, baljyn, as thieyn, dy graihagh smaghtaghey adsyn fo nyn relll ta cur-rish olk, as coadey adsyn ta baghey gyn loght, my ta sooill oc eddyr gys ooashley Yee ny gys nyn oik, ny graih orroosyn ta fo nyn gurrym.",,,10
"And such rebukes and punishments of them that offend must be done in due time; lest by delay the offenders fall headlong into all manner of mischief; and not only be evil themselves, but also do hurt unto many men, drawing others, by their evil example, to sin and outrage after them; as one thief may both rob many men, and also make many thieves; and one seditious person may allure many, and annoy a whole town or country.","As shegin da ymmyd ve jeant ayns tra jeh lheid y kerraghey orroosyn ta jannoo olk, er aggle liorish lhiggey shaghey dy jean ny drogh yantee tuittym ayns dy chooilley cheint dy olk: as cha nee ynrycan ve peccoil ayns nyn ymmyrkey hene, agh myrgeddin jannoo skielley da ymmodee, tayrn feallagh elley, liorish nyn ghrogh hampleyr, dy chur rish peccah, myr oddys un vaarliagh chammah roostey ymmodee, as myrgeddin cur er ymmodee dy ve nyn roosteyryn; as foddee un traitoor tayrn ymmodee geiyrt er as boirey slane ard-valley ny cheer.","As shegin da ymmyd ve jeant ayns tra jeh lheid y kerraghey orroosyn ta jannoo olk, er aggle liorish lhiggey shaghey dy jean ny drogh yantee tuittym ayns dy chooilley cheint dy olk: as cha nee ynrycan ve pecoil ayns nyn ymmyrkey hene, agh myrgeddin jannoo skielley da ymmodee, tayrn feallagh elley, liorish nyn ghrogh hampleyr, dy chur rish peccah, myr oddys un vaarliagh chammah roostey ymmodee, as myrgeddin cur er ymmodee dy ve nyn roosteyryn; as foddee un traitoor tayrn ymmodee geiyrt er as boirey slane ard-valley ny cheer.",,,11
"And such evil persons that be so great offenders of God and the commonweal, charity requireth to be cut off from the body of the commonweal, lest they corrupt other good and honest persons; like as a good Surgeon cutteth away a rotten and festered member for love he hath to the whole body, lest it infect other members adjoining unto it.","As ta graih shirrey dy yiarey jeh lheid ny drogh yantee veih corp y theay as ta jannoo lheid ny ard-loghtyn noi Jee as y theay; er aggle dy jeannagh ad milley sleih cairagh: myr ta fer-lhee mie giarey jeh olt yngyragh er graih yn slane corp, er aggle dy jeannagh eh coyrt mow oltyn elley er gerrey da.",,,,11
"Thus it is declared unto you, what true charity or Christian love is, so plainly that no man need to be deceived: which love whosoever keepeth, not only towards God, whom he is bound to love above all things, but also toward his neighbour, as well friend as foe, it shall surely keep him from all offence of God, and just offence of man.","Myr shoh te inshit diu cre ta ghiastyllys firnnagh as graih Chreestee, cha baghtal nagh lhiass da dooinney erbee ve mollit: yn ghraih cheddin quoi erbee ta freayll chammah gys Jee, er t’eh kianlt dy ve graihagh erskyn dy chooilley nhee, agh myrgeddin gys e Naboo, eddyr y ve carrey ny noid; nee eh dy shickyr freayll eh veih kerraghey erbee veih Jee ny veih dooinney.","Myr shoh te inshet diu cre ta ghiastyllys firnnagh as graih Chreestee, cha baghtal nagh lhiass da dooinney erbee ve mollit: yn ghraih cheddin quoi erbee ta freayll chammah gys Jee, er t’eh kiault dy ve graihagh erskyn dy chooilley nhee, agh myrgeddin gys e Naboo, eddyr y ve carrey ny noid; nee eh dy shickyr freayll eh veih kerraghey erbee veih Jee ny veih dooinney.",,,11
"Therefore bear well away this one short lesson; that by true Christian charity, God ought to be loved, above all things; and all men ought to be loved, good and evil, friend and foe; and to all such we ought, as we may, to do good; those that be good, of love to encourage and cherish, because they be good; and those that be evil, of love to procure and seek their correction and due punishment, that they may thereby either be brought to goodness, or at the least, that God and the commonwealth may be the less hurt and offended.","Shen-y-fa cooinnee-jee er yn un lessoon giare shoh: Dy vel graih firrinagh as Creestee kianley shin dy ve graihagh er Jee erskyn dy chooilley nhee; as dy lhisagh graih v’er ny choyrt da dy chooilley ghooinney, mie as sie, carrey as noid; as da ooilley nyn lheid lhisagh shin mie y yannoo myr ta caa ain: yn vooinjer ta mie, veih graih daue er-yn-oyr dy vel ad mie, dy niartaghey as dy gherjaghey ad; as yn vooinjer ta olk, dy hirrey yn smaght as y kerraghey cooie oc veih graih daue, dy vod ad er yn aght shen eddyr v’er nyn dayrn gys craueeaght; ny ec y chooid sloo, dy vod aggair sloo ve jeant da Jee as y theay.",,,,12
"And if we thus direct our life by Christian love and charity, then Christ doth promise and assure us that he loveth us; that we be the children of our heavenly Father; reconciled to his favour; very members of Christ; and that, after this short time of this present and mortal life, we shall have with him everlasting life in his everlasting kingdom of heaven.","As my ta shin myr shoh gymmyrkey shin hene cordail rish graih as ghiastyllys Creestee, eisht ta Creest coyrt shickyrys dooin dy vel eh graihagh orrin; dy vel shin cloan nyn Ayr flaunyssagh, goit stiagh ayns foayr rishyn, oltyn firrinagh Chreest, as lurg earish ghiare yn vea varvaanagh shoh yiow mayd yn vea dy bragh farraghtyn marish ayns e reeriaght dy bragh farraghtyn ayns Niau.",,,,12
"Therefore to him, with the Father, and the Holy Ghost, be all honour and glory, now and ever. Amen.","Shen-y-fa Huggeysyn marish yn Ayr as y Spyrryd Noo, dy row dy chooilley ooashley as gloyr nish as er son dy bragh. Amen.","Shen-y-fa Huggeysyn marish yn Ayr as y Spyrryd Noo, dy row dy chooilley ooashley as gloyr nish as er son yd bragh. Amen.",,,12
,"London: printed by Ellerton and Henderson, Johnson’s Court and Gough Square, for the Prayer-Book and Homily Society; and sold at the Society’s House, Salisbury Square",,,,12
,"Price 1d., or 5s. per hundred.",,,,12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
